cell_index,cell_type,source,title
88,markdown,md:# heading,6.3 Bar charts for distribution (per categorical)
89,code,code:# comment,3.2.2 Univariate: Categorical: Bar charts for distribution
90,markdown,md:# heading,3.3 🔗 **Bivariate Exploration** **(logical flow)** between your exploratory and statistical notebooks.
91,code,code:# comment,# Complete Bivariate Analysis Code
93,markdown,md:# heading,🧱 **Continuous × Categorical Explorer**
94,markdown,md:# heading,🧱 **Categorical × Categorical Interaction Explorer**
95,markdown,md:# heading,🧭 Placement in Your Outline
96,code,code:# comment,3.3.3 Churn vs. Category / distribution of churn within each category
97,code,code:# comment,4.1.1 Compute absolute counts of each target class.
98,markdown,md:# heading,**7️⃣ Target Variable (Churn) — Class Imbalance Analysis**
99,code,code:# comment,"4.2.1 Bar and Pie, Donut, Annotated"
100,code,code:# comment,Unique Values in Categorical Columns
103,code,code:# comment,7.3 Evaluate imbalance impact on modeling
104,markdown,md:# heading,**5.5 Apply and Compare Resampling (Optional)**
107,markdown,md:# heading,**8: Binary vs Continuous Feature Analysis**
108,code,code:# comment,6️⃣ Binary vs Continuous Analysis
109,markdown,md:# heading,🧭 Recommended Placement
110,markdown,md:# heading,🌐 9. **Feature Relationships & Trends**
111,markdown,md:# heading,🔗 **Section 9 — Feature Relationships & Trends**
112,markdown,md:# heading,🔗 **Section 9 — Feature Relationships & Trends**
113,markdown,md:# heading,🧭 10. **Preliminary Insights & Hypotheses** /# Key observations & notes (quick bullets you can edit)
115,markdown,md:# heading,What it does:
117,markdown,md:<title>,Data Validation — Report Index
118,markdown,md:# heading,[💻 Code snippet if needed]
119,markdown,md:# heading,📁 Suggested repo layout
120,markdown,md:# heading,📦 `requirements.txt` (minimal but comfy)
121,markdown,md:# heading,-*- coding: utf-8 -*-
122,code,code:# comment,0.0 🧩 Extract and Save All Code Cells From This Notebook
123,code,code:# comment,🧾 Inline Script (no functions)
124,code,code:# comment,## 🧠 Optional — Run inside a notebook instead of CLI
