check,columns_with_forbidden,count_0,count_1,detail,full_row_dupes,imbalance_ratio,label,level,max_cardinality,max_null_pct,mem_mb,n_auto_detected_ids,n_binary,n_binary_numeric,n_categorical,n_cols,n_cols_all_null,n_cols_any_null,n_cols_constant,n_columns,n_expected,n_extra,n_flags,n_id_from_config,n_ids,n_missing,n_non_unique,n_numeric,n_protected_columns,n_range_viol_cols,n_required,n_rows,section,status,timestamp
Dtype enforcement check,,,,,,,,info,,,,,,,,,,,,,6.0,,,,,,,,,,,,2.1.5,WARN,2025-11-14 15:59:47.436330
Schema drift,,,,,,,,info,,,,,,,,,,,,,6.0,16.0,,,,0.0,,,,,,,2.1.6,OK,2025-11-14 15:59:47.453233
Schema drift,,,,,,,,info,,,,,,,,,,,,,,16.0,,,,0.0,,,,,,,2.1.6,OK,2025-11-14 15:59:47.465043
Feature role classification,,,,,,,,info,,,,,1.0,,16.0,,,,,,,,,,,,,3.0,,,,,2.1.7,OK,2025-11-14 15:59:47.503979
Missingness baseline,,,,,,,,info,,0.156,,,,,,,,,,,,,,,,,,,,,,,2.1.8,OK,2025-11-14 15:59:47.521124
Schema drift,,,,,,,,info,,,,,,,,,,,,,6.0,16.0,,,,0.0,,,,,,,2.1.6,OK,2025-11-14 16:01:27.637163
Schema drift,,,,,,,,info,,,,,,,,,,,,,,16.0,,,,0.0,,,,,,,2.1.6,OK,2025-11-14 16:01:35.287873
Feature role classification,,,,,,,,info,,,,,1.0,,16.0,,,,,,,,,,,,,3.0,,,,,2.1.7,OK,2025-11-14 16:01:35.313885
Missingness baseline,,,,,,,,info,,0.156,,,,,,,,,,,,,,,,,,,,,,,2.1.8,OK,2025-11-14 16:01:35.327151
Schema drift,,,,,,,,info,,,,,,,,,,,,,6.0,16.0,,,,0.0,,,,,,,2.1.6,OK,2025-11-14 16:02:00.309691
Schema drift,,,,,,,,info,,,,,,,,,,,,,,16.0,,,,0.0,,,,,,,2.1.6,OK,2025-11-14 16:02:01.434154
Binary vs continuous audit,,,,,,,,info,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.1.9,OK,2025-11-14 16:02:21.612646
Feature cardinality summary,,,,,,,,info,7043.0,,,,,,,,,,,,,,,,,,,,,,,,2.1.10,OK,2025-11-14 16:02:21.633761
Schema consistency report,,,,,,,,info,,,,,,,,,,,,22.0,,,,,,,,,,,,,2.1.11,OK,2025-11-14 16:02:21.654197
Token hygiene,0.0,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,2.2,OK,2025-11-14 16:02:35.589100
Numeric integrity & outliers,,,,,,,,info,,,,,,,,,,,,,,,,,,,,3.0,,0.0,,,2.3,OK,2025-11-14 16:02:48.967683
Feature role classification,,,,,,,,info,,,,,1.0,,16.0,,,,,,,,,,,,,3.0,,,,,2.1.7,OK,2025-11-14 16:17:59.996990
Missingness baseline,,,,,,,,info,,0.156,,,,,,,,,,,,,,,,,,,,,,,2.1.8,OK,2025-11-14 16:18:02.057954
Dtype enforcement check,,,,,,,,info,,,,,,,,,,,,,6.0,,,,,,,,,,,,2.1.5,WARN,2025-11-14 16:50:04.251626
Dtype enforcement check,,,,,,,,info,,,,,,,,,,,,,6.0,,,,,,,,,,,,2.1.5,WARN,2025-11-14 16:50:04.276596
Schema drift,,,,,,,,info,,,,,,,,,,,,,6.0,16.0,,,,0.0,,,,,,,2.1.6,OK,2025-11-14 16:53:18.360084
Schema drift,,,,,,,,info,,,,,,,,,,,,,,16.0,,,,0.0,,,,,,,2.1.6,OK,2025-11-14 16:53:19.687532
Feature role classification,,,,,,,,info,,,,,1.0,,16.0,,,,,,,,,,,,,3.0,,,,,2.1.7,OK,2025-11-14 16:53:38.080085
Section 2 overview,,,,Initial Section 2 setup and dataset shape,,,,info,,,,,,,,22.0,,,,,,,,,,,,,,,,7043.0,2.0.1,INFO,2025-11-14 17:36:40.537613
Config & constants validation for Section 2,,,,All required config roots present and Section 2 constants registered.,,,,info,,,,,,,,,,,,,,,,,,0.0,,,,,4.0,,2.0.2,OK,2025-11-14 17:36:43.180895
Dataset ingestion & preview,,,,"Dataset already loaded in Section 1; recorded shape, memory footprint, and dtype counts for Section 2.",,,,info,,,0.772,,,,,22.0,,,,,,,,,,,,,,,,7043.0,2.0.4,OK,2025-11-14 17:36:54.320141
Row/column baseline summary,,,,"Computed baseline per-column stats (null %, unique counts, constant flags) and saved to baseline_summary.csv.",,,,info,,,,,,,,22.0,0.0,1.0,0.0,,,,,,,,,,,,,7043.0,2.0.5,OK,2025-11-14 17:36:54.370009
Identifier detection & registration,,,,"Auto-detected potential ID columns (high uniqueness, name hints) and merged with config-driven IDs into protected_columns.yaml.",,,,info,,,,1.0,,,,,,,,,,,,1.0,,,,,2.0,,,,2.0.6,OK,2025-11-14 17:36:54.444557
Dependency registry build,,,,Registered Section 2 nodes (2.0.x infra + 2.1–2.9 pipeline) into section2_registry.json.,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,2.0.7,OK,2025-11-14 17:36:58.358570
Sanity preview printout,,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,OK,2025-11-14 17:37:00.938430
