,customerID,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,SeniorCitizen_flag_text,Senior_flag,pseudo_start,tenure_months_bucket,_logic_repair_applied
StreamingMovies,0.0,0.0,0.12847328485374301,0.14032703840776659,0.1767185801568631,0.261851736104624,0.7159109936243645,0.7081084537230841,0.7135841181041668,0.7359590442515681,0.7162300529878513,0.7709672064683412,1.0,0.23807786293405958,0.3316830659468126,0.27392100652443274,0.23033511670038812,0.18820892981039025,0.18820892981039025,0.0,0.20458743276192096,0.0
Contract,0.0,0.0,0.29555940365507605,0.24363005978117966,0.0,0.07863293204270524,0.2062627873976439,0.30091986685805816,0.2580586610357929,0.2965400512141917,0.3306386036599037,0.23533204798978846,0.23807786293405958,1.0,0.1768440385036703,0.2658924938714761,0.4097692940591879,0.14287790821033552,0.14287790821033552,0.0,0.5014514283724335,0.0
PaperlessBilling,0.0,0.0,0.008905547625639713,0.11073789807771107,0.011419435191191632,0.1654847296363895,0.3780519285425558,0.3413840397328189,0.3206031952858984,0.32118942701923436,0.329093086885294,0.3356378623379298,0.3316830659468126,0.1768440385036703,1.0,0.2478606726680076,0.19145483215830925,0.15607529537363024,0.15607529537363024,0.0,0.0,0.0
PaymentMethod,0.0,0.0,0.16144827068826287,0.1493243835136193,0.0,0.16567238997658312,0.31248637128022655,0.3043026796051081,0.2818016870309208,0.2863187278165483,0.3062369863067304,0.27293037342248655,0.27392100652443274,0.2658924938714761,0.2478606726680076,1.0,0.3026556465052365,0.19489462571861232,0.19489462571861232,0.0,0.2259877527396422,0.0
Churn,0.0,0.0,0.1499748601334884,0.1637884721969936,0.0007783153789239917,0.03639700452670124,0.3220138660877818,0.34699142698019597,0.2918293138903578,0.28107496472294224,0.3425018376531092,0.22988544496122446,0.23033511670038812,0.4097692940591879,0.19145483215830925,0.3026556465052365,1.0,0.15041803164967743,0.15041803164967743,0.0,0.35055973924232103,0.0
SeniorCitizen_flag_text,0.0,0.0,0.011381609904963681,0.2108486103582774,0.0,0.14567130587339208,0.2647882576161876,0.21039640386648403,0.18199511267292492,0.1822938458964691,0.22341579053679897,0.18481903582809694,0.18820892981039025,0.14287790821033552,0.15607529537363024,0.19489462571861232,0.15041803164967743,1.0,0.9999289949230477,0.0,0.02764122552737206,0.0
Senior_flag,0.0,0.0,0.011381609904963681,0.2108486103582774,0.0,0.14567130587339208,0.2647882576161876,0.21039640386648403,0.18199511267292492,0.1822938458964691,0.22341579053679897,0.18481903582809694,0.18820892981039025,0.14287790821033552,0.15607529537363024,0.19489462571861232,0.15041803164967743,0.9999289949230477,1.0,0.0,0.02764122552737206,0.0
pseudo_start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
tenure_months_bucket,0.0,0.0,0.3687912179983552,0.15942350437193598,0.017389985998855637,0.23873802378225,0.018778393106607925,0.2320077716640054,0.2608404867230418,0.2607180968775064,0.23204698668549548,0.20001939259391593,0.20458743276192096,0.5014514283724335,0.0,0.2259877527396422,0.35055973924232103,0.02764122552737206,0.02764122552737206,0.0,1.0,0.0
_logic_repair_applied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
