categorical_feature,category,numeric_feature,n_observations,mean_value,median_value,Churn_rate
PhoneService,Yes,Churn_flag,6361,0.2670963684955196,0.0,0.7329036315044805
PhoneService,No,Churn_flag,682,0.24926686217008798,0.0,0.750733137829912
PhoneService,Yes,expected_total_from_tenure_monthly,6361,2361.258575695645,1410.5,0.7329036315044805
PhoneService,No,expected_total_from_tenure_monthly,682,1495.8033724340178,1150.6,0.750733137829912
PhoneService,Yes,expected_min_total_from_contract,6361,28.85639977990882,0.0,0.7329036315044805
PhoneService,No,expected_min_total_from_contract,682,21.569281524926687,0.0,0.750733137829912
PhoneService,Yes,expected_total_senior,1038,2945.22575,2431.35,0.5838150289017341
PhoneService,No,expected_total_senior,104,1454.6023605769233,1019.5249999999999,0.5769230769230769
PhoneService,Yes,expected_total_from_payment_profile,6361,2361.258575695645,1410.5,0.7329036315044805
PhoneService,No,expected_total_from_payment_profile,682,1495.8033724340178,1150.6,0.750733137829912
PhoneService,Yes,total_charges_per_month,6361,69.09493590344748,74.44285714285715,0.7329036315044805
PhoneService,No,total_charges_per_month,682,45.90544326460572,41.083585858585856,0.750733137829912
MultipleLines,No,SeniorCitizen,3390,0.11002949852507375,0.0,0.7495575221238938
MultipleLines,Yes,SeniorCitizen,2971,0.2238303601480983,0.0,0.713901043419724
MultipleLines,No phone service,SeniorCitizen,682,0.15249266862170088,0.0,0.750733137829912
MultipleLines,No,tenure,3390,24.136283185840707,17.0,0.7495575221238938
MultipleLines,Yes,tenure,2971,41.91585324806462,45.0,0.713901043419724
MultipleLines,No phone service,tenure,682,31.740469208211145,29.0,0.750733137829912
MultipleLines,No,MonthlyCharges,3390,54.19948377581121,55.975,0.7495575221238938
MultipleLines,Yes,MonthlyCharges,2971,82.00346987546281,88.05,0.713901043419724
MultipleLines,No phone service,MonthlyCharges,682,42.02859237536657,40.575,0.750733137829912
MultipleLines,No,TotalCharges,3390,1349.9121017699113,690.0,0.7495575221238938
MultipleLines,Yes,TotalCharges,2971,3518.765340289465,3270.25,0.713901043419724
MultipleLines,No phone service,TotalCharges,682,1500.1318181818183,1156.8,0.750733137829912
MultipleLines,No,Churn_flag,3390,0.2504424778761062,0.0,0.7495575221238938
MultipleLines,Yes,Churn_flag,2971,0.286098956580276,0.0,0.713901043419724
MultipleLines,No phone service,Churn_flag,682,0.24926686217008798,0.0,0.750733137829912
MultipleLines,No,expected_total_from_tenure_monthly,3390,1348.1692330383482,688.625,0.7495575221238938
MultipleLines,Yes,expected_total_from_tenure_monthly,2971,3517.2238640188493,3270.6,0.713901043419724
MultipleLines,No phone service,expected_total_from_tenure_monthly,682,1495.8033724340178,1150.6,0.750733137829912
MultipleLines,No,expected_min_total_from_contract,3390,19.348598820058996,0.0,0.7495575221238938
MultipleLines,Yes,expected_min_total_from_contract,2971,39.70508549309997,0.0,0.713901043419724
MultipleLines,No phone service,expected_min_total_from_contract,682,21.569281524926687,0.0,0.750733137829912
MultipleLines,Yes,expected_total_senior,665,3644.873052631579,3476.5499999999997,0.5789473684210527
MultipleLines,No,expected_total_senior,373,1697.8652774798927,999.6,0.5924932975871313
MultipleLines,No phone service,expected_total_senior,104,1454.6023605769233,1019.5249999999999,0.5769230769230769
MultipleLines,No,expected_total_from_payment_profile,3390,1348.1692330383482,688.625,0.7495575221238938
MultipleLines,Yes,expected_total_from_payment_profile,2971,3517.2238640188493,3270.6,0.713901043419724
MultipleLines,No phone service,expected_total_from_payment_profile,682,1495.8033724340178,1150.6,0.750733137829912
MultipleLines,No,total_charges_per_month,3390,56.21615299353201,57.16838942307692,0.7495575221238938
MultipleLines,Yes,total_charges_per_month,2971,83.7900130036203,87.78522727272728,0.713901043419724
MultipleLines,No phone service,total_charges_per_month,682,45.90544326460572,41.083585858585856,0.750733137829912
InternetService,Fiber optic,SeniorCitizen,3096,0.26841085271317827,0.0,0.5810723514211886
InternetService,DSL,SeniorCitizen,2421,0.10698058653448989,0.0,0.8104089219330854
InternetService,No,SeniorCitizen,1526,0.03407601572739188,0.0,0.9259501965923984
InternetService,Fiber optic,tenure,3096,32.91795865633075,30.0,0.5810723514211886
InternetService,DSL,tenure,2421,32.82362660057827,29.0,0.8104089219330854
InternetService,No,tenure,1526,30.551114023591087,25.0,0.9259501965923984
InternetService,Fiber optic,MonthlyCharges,3096,91.4679777131783,91.67500000000001,0.5810723514211886
InternetService,DSL,MonthlyCharges,2421,58.10216852540273,56.15,0.8104089219330854
InternetService,No,MonthlyCharges,1526,21.08902359108781,20.15,0.9259501965923984
InternetService,Fiber optic,TotalCharges,3096,3199.4819205426356,2660.6499999999996,0.5810723514211886
InternetService,DSL,TotalCharges,2421,2118.2974907063194,1596.6,0.8104089219330854
InternetService,No,TotalCharges,1526,668.1189384010485,528.5,0.9259501965923984
InternetService,Fiber optic,Churn_flag,3096,0.4189276485788114,0.0,0.5810723514211886
InternetService,DSL,Churn_flag,2421,0.1895910780669145,0.0,0.8104089219330854
InternetService,No,Churn_flag,1526,0.07404980340760157,0.0,0.9259501965923984
InternetService,Fiber optic,expected_total_from_tenure_monthly,3096,3200.2119509043923,2694.6000000000004,0.5810723514211886
InternetService,DSL,expected_total_from_tenure_monthly,2421,2115.648038000826,1578.2,0.8104089219330854
InternetService,No,expected_total_from_tenure_monthly,1526,662.0338138925296,519.375,0.9259501965923984
InternetService,Fiber optic,expected_min_total_from_contract,3096,31.654476421188626,0.0,0.5810723514211886
InternetService,DSL,expected_min_total_from_contract,2421,32.59900867410162,0.0,0.8104089219330854
InternetService,No,expected_min_total_from_contract,1526,13.985157273918741,19.7,0.9259501965923984
InternetService,Fiber optic,expected_total_senior,831,3145.640529482551,2749.5,0.5270758122743683
InternetService,DSL,expected_total_senior,259,2107.4667779922775,1539.0000000000002,0.6988416988416989
InternetService,No,expected_total_senior,52,933.8807403846156,925.5,0.9038461538461539
InternetService,Fiber optic,expected_total_from_payment_profile,3096,3200.2119509043923,2694.6000000000004,0.5810723514211886
InternetService,DSL,expected_total_from_payment_profile,2421,2115.648038000826,1578.2,0.8104089219330854
InternetService,No,expected_total_from_payment_profile,1526,662.0338138925296,519.375,0.9259501965923984
InternetService,Fiber optic,total_charges_per_month,3096,91.38276630568068,92.06467391304348,0.5810723514211886
InternetService,DSL,total_charges_per_month,2421,60.87059524816696,57.0825,0.8104089219330854
InternetService,No,total_charges_per_month,1526,26.560710360478996,20.35,0.9259501965923984
OnlineSecurity,No,SeniorCitizen,3498,0.230989136649514,0.0,0.5823327615780446
OnlineSecurity,Yes,SeniorCitizen,2019,0.13967310549777118,0.0,0.8538880633977216
OnlineSecurity,No internet service,SeniorCitizen,1526,0.03407601572739188,0.0,0.9259501965923984
OnlineSecurity,No,tenure,3498,25.851057747284163,19.0,0.5823327615780446
OnlineSecurity,Yes,tenure,2019,45.04853888063398,50.0,0.8538880633977216
OnlineSecurity,No internet service,tenure,1526,30.551114023591087,25.0,0.9259501965923984
OnlineSecurity,No,MonthlyCharges,3498,75.69306746712408,79.3,0.5823327615780446
OnlineSecurity,Yes,MonthlyCharges,2019,78.7894299157999,79.85,0.8538880633977216
OnlineSecurity,No internet service,MonthlyCharges,1526,21.08902359108781,20.15,0.9259501965923984
OnlineSecurity,No,TotalCharges,3498,2136.045879645512,1362.0,0.5823327615780446
OnlineSecurity,Yes,TotalCharges,2019,3745.4709083704806,3687.75,0.8538880633977216
OnlineSecurity,No internet service,TotalCharges,1526,668.1189384010485,528.5,0.9259501965923984
OnlineSecurity,No,Churn_flag,3498,0.4176672384219554,0.0,0.5823327615780446
OnlineSecurity,Yes,Churn_flag,2019,0.14611193660227836,0.0,0.8538880633977216
OnlineSecurity,No internet service,Churn_flag,1526,0.07404980340760157,0.0,0.9259501965923984
OnlineSecurity,No,expected_total_from_tenure_monthly,3498,2136.161578044597,1360.8249999999998,0.5823327615780446
OnlineSecurity,Yes,expected_total_from_tenure_monthly,2019,3743.2129271916792,3699.2,0.8538880633977216
OnlineSecurity,No internet service,expected_total_from_tenure_monthly,1526,662.0338138925296,519.375,0.9259501965923984
OnlineSecurity,No,expected_min_total_from_contract,3498,20.383519153802172,0.0,0.5823327615780446
OnlineSecurity,Yes,expected_min_total_from_contract,2019,52.31446706290242,62.05,0.8538880633977216
OnlineSecurity,No internet service,expected_min_total_from_contract,1526,13.985157273918741,19.7,0.9259501965923984
OnlineSecurity,No,expected_total_senior,808,2408.37641769802,1804.325,0.4962871287128713
OnlineSecurity,Yes,expected_total_senior,282,4304.585212765956,4491.9,0.7730496453900709
OnlineSecurity,No internet service,expected_total_senior,52,933.8807403846156,925.5,0.9038461538461539
OnlineSecurity,No,expected_total_from_payment_profile,3498,2136.161578044597,1360.8249999999998,0.5823327615780446
OnlineSecurity,Yes,expected_total_from_payment_profile,2019,3743.2129271916792,3699.2,0.8538880633977216
OnlineSecurity,No internet service,expected_total_from_payment_profile,1526,662.0338138925296,519.375,0.9259501965923984
OnlineSecurity,No,total_charges_per_month,3498,76.01413505913783,78.74621212121212,0.5823327615780446
OnlineSecurity,Yes,total_charges_per_month,2019,81.42214519134991,79.94444444444444,0.8538880633977216
OnlineSecurity,No internet service,total_charges_per_month,1526,26.560710360478996,20.35,0.9259501965923984
OnlineBackup,No,SeniorCitizen,3088,0.19883419689119172,0.0,0.6007124352331606
OnlineBackup,Yes,SeniorCitizen,2429,0.19596541786743515,0.0,0.7846850555784274
OnlineBackup,No internet service,SeniorCitizen,1526,0.03407601572739188,0.0,0.9259501965923984
OnlineBackup,No,tenure,3088,23.681023316062177,17.0,0.6007124352331606
OnlineBackup,Yes,tenure,2429,44.566899958830795,50.0,0.7846850555784274
OnlineBackup,No internet service,tenure,1526,30.551114023591087,25.0,0.9259501965923984
OnlineBackup,No,MonthlyCharges,3088,71.93800194300518,74.75,0.6007124352331606
OnlineBackup,Yes,MonthlyCharges,2429,83.04061712638945,85.8,0.7846850555784274
OnlineBackup,No internet service,MonthlyCharges,1526,21.08902359108781,20.15,0.9259501965923984
OnlineBackup,No,TotalCharges,3088,1827.915284650259,1131.25,0.6007124352331606
OnlineBackup,Yes,TotalCharges,2429,3865.538020584602,3893.6,0.7846850555784274
OnlineBackup,No internet service,TotalCharges,1526,668.1189384010485,528.5,0.9259501965923984
OnlineBackup,No,Churn_flag,3088,0.39928756476683935,0.0,0.6007124352331606
OnlineBackup,Yes,Churn_flag,2429,0.21531494442157267,0.0,0.7846850555784274
OnlineBackup,No internet service,Churn_flag,1526,0.07404980340760157,0.0,0.9259501965923984
OnlineBackup,No,expected_total_from_tenure_monthly,3088,1827.5000647668394,1134.675,0.6007124352331606
OnlineBackup,Yes,expected_total_from_tenure_monthly,2429,3864.3556607657474,3897.9500000000003,0.7846850555784274
OnlineBackup,No internet service,expected_total_from_tenure_monthly,1526,662.0338138925296,519.375,0.9259501965923984
OnlineBackup,No,expected_min_total_from_contract,3088,19.477801165803108,0.0,0.6007124352331606
OnlineBackup,Yes,expected_min_total_from_contract,2429,48.07616673528201,57.75,0.7846850555784274
OnlineBackup,No internet service,expected_min_total_from_contract,1526,13.985157273918741,19.7,0.9259501965923984
OnlineBackup,No,expected_total_senior,614,1966.4330545602606,1344.25,0.4723127035830619
OnlineBackup,Yes,expected_total_senior,476,4101.830420168068,4102.0,0.6911764705882353
OnlineBackup,No internet service,expected_total_senior,52,933.8807403846156,925.5,0.9038461538461539
OnlineBackup,No,expected_total_from_payment_profile,3088,1827.5000647668394,1134.675,0.6007124352331606
OnlineBackup,Yes,expected_total_from_payment_profile,2429,3864.3556607657474,3897.9500000000003,0.7846850555784274
OnlineBackup,No internet service,expected_total_from_payment_profile,1526,662.0338138925296,519.375,0.9259501965923984
OnlineBackup,No,total_charges_per_month,3088,72.3661701647729,74.39302325581396,0.6007124352331606
OnlineBackup,Yes,total_charges_per_month,2429,85.14698316565703,85.60357142857143,0.7846850555784274
OnlineBackup,No internet service,total_charges_per_month,1526,26.560710360478996,20.35,0.9259501965923984
DeviceProtection,No,SeniorCitizen,3095,0.20161550888529886,0.0,0.6087237479806139
DeviceProtection,Yes,SeniorCitizen,2422,0.19240297274979357,0.0,0.7749793559042114
DeviceProtection,No internet service,SeniorCitizen,1526,0.03407601572739188,0.0,0.9259501965923984
DeviceProtection,No,tenure,3095,23.69725363489499,17.0,0.6087237479806139
DeviceProtection,Yes,tenure,2422,44.6065235342692,49.0,0.7749793559042114
DeviceProtection,No internet service,tenure,1526,30.551114023591087,25.0,0.9259501965923984
DeviceProtection,No,MonthlyCharges,3095,70.60105008077545,74.0,0.6087237479806139
DeviceProtection,Yes,MonthlyCharges,2422,84.78115565648224,88.55,0.7749793559042114
DeviceProtection,No internet service,MonthlyCharges,1526,21.08902359108781,20.15,0.9259501965923984
DeviceProtection,No,TotalCharges,3095,1798.63049273021,1120.3,0.6087237479806139
DeviceProtection,Yes,TotalCharges,2422,3908.849246903386,3924.7,0.7749793559042114
DeviceProtection,No internet service,TotalCharges,1526,668.1189384010485,528.5,0.9259501965923984
DeviceProtection,No,Churn_flag,3095,0.3912762520193861,0.0,0.6087237479806139
DeviceProtection,Yes,Churn_flag,2422,0.2250206440957886,0.0,0.7749793559042114
DeviceProtection,No internet service,Churn_flag,1526,0.07404980340760157,0.0,0.9259501965923984
DeviceProtection,No,expected_total_from_tenure_monthly,3095,1800.0230694668821,1119.2,0.6087237479806139
DeviceProtection,Yes,expected_total_from_tenure_monthly,2422,3905.3545417010732,3899.3999999999996,0.7749793559042114
DeviceProtection,No internet service,expected_total_from_tenure_monthly,1526,662.0338138925296,519.375,0.9259501965923984
DeviceProtection,No,expected_min_total_from_contract,3095,16.6892084006462,0.0,0.6087237479806139
DeviceProtection,Yes,expected_min_total_from_contract,2422,51.72227869529314,62.675,0.7749793559042114
DeviceProtection,No internet service,expected_min_total_from_contract,1526,13.985157273918741,19.7,0.9259501965923984
DeviceProtection,No,expected_total_senior,624,2033.0339671474358,1391.85,0.48717948717948717
DeviceProtection,Yes,expected_total_senior,466,4058.472060085837,4147.549999999999,0.6759656652360515
DeviceProtection,No internet service,expected_total_senior,52,933.8807403846156,925.5,0.9038461538461539
DeviceProtection,No,expected_total_from_payment_profile,3095,1800.0230694668821,1119.2,0.6087237479806139
DeviceProtection,Yes,expected_total_from_payment_profile,2422,3905.3545417010732,3899.3999999999996,0.7749793559042114
DeviceProtection,No internet service,expected_total_from_payment_profile,1526,662.0338138925296,519.375,0.9259501965923984
DeviceProtection,No,total_charges_per_month,3095,70.98376149725671,73.175,0.6087237479806139
DeviceProtection,Yes,total_charges_per_month,2422,86.9504598448349,88.02959288052372,0.7749793559042114
DeviceProtection,No internet service,total_charges_per_month,1526,26.560710360478996,20.35,0.9259501965923984
TechSupport,No,SeniorCitizen,3473,0.23898646703138496,0.0,0.5836452634609848
TechSupport,Yes,SeniorCitizen,2044,0.12720156555772993,0.0,0.8483365949119374
TechSupport,No internet service,SeniorCitizen,1526,0.03407601572739188,0.0,0.9259501965923984
TechSupport,No,tenure,3473,25.844514828678378,19.0,0.5836452634609848
TechSupport,Yes,tenure,2044,44.824853228962816,50.0,0.8483365949119374
TechSupport,No internet service,tenure,1526,30.551114023591087,25.0,0.9259501965923984
TechSupport,No,MonthlyCharges,3473,74.5866829830118,78.05,0.5836452634609848
TechSupport,Yes,MonthlyCharges,2044,80.63143786692758,81.67500000000001,0.8483365949119374
TechSupport,No internet service,MonthlyCharges,1526,21.08902359108781,20.15,0.9259501965923984
TechSupport,No,TotalCharges,3473,2089.6153610711203,1345.65,0.5836452634609848
TechSupport,Yes,TotalCharges,2044,3804.6771536203523,3768.7,0.8483365949119374
TechSupport,No internet service,TotalCharges,1526,668.1189384010485,528.5,0.9259501965923984
TechSupport,No,Churn_flag,3473,0.4163547365390153,0.0,0.5836452634609848
TechSupport,Yes,Churn_flag,2044,0.15166340508806261,0.0,0.8483365949119374
TechSupport,No internet service,Churn_flag,1526,0.07404980340760157,0.0,0.9259501965923984
TechSupport,No,expected_total_from_tenure_monthly,3473,2090.304319032537,1340.3,0.5836452634609848
TechSupport,Yes,expected_total_from_tenure_monthly,2044,3801.474168297456,3774.8,0.8483365949119374
TechSupport,No internet service,expected_total_from_tenure_monthly,1526,662.0338138925296,519.375,0.9259501965923984
TechSupport,No,expected_min_total_from_contract,3473,18.262150878203283,0.0,0.5836452634609848
TechSupport,Yes,expected_min_total_from_contract,2044,55.5283801369863,65.925,0.8483365949119374
TechSupport,No internet service,expected_min_total_from_contract,1526,13.985157273918741,19.7,0.9259501965923984
TechSupport,No,expected_total_senior,830,2369.2937295180727,1798.2,0.4939759036144578
TechSupport,Yes,expected_total_senior,260,4589.797615384616,4693.525,0.8038461538461539
TechSupport,No internet service,expected_total_senior,52,933.8807403846156,925.5,0.9038461538461539
TechSupport,No,expected_total_from_payment_profile,3473,2090.304319032537,1340.3,0.5836452634609848
TechSupport,Yes,expected_total_from_payment_profile,2044,3801.474168297456,3774.8,0.8483365949119374
TechSupport,No internet service,expected_total_from_payment_profile,1526,662.0338138925296,519.375,0.9259501965923984
TechSupport,No,total_charges_per_month,3473,74.91933607221694,77.5,0.5836452634609848
TechSupport,Yes,total_charges_per_month,2044,83.21619442240224,82.10599669148057,0.8483365949119374
TechSupport,No internet service,total_charges_per_month,1526,26.560710360478996,20.35,0.9259501965923984
StreamingTV,No,SeniorCitizen,2810,0.18434163701067616,0.0,0.6647686832740214
StreamingTV,Yes,SeniorCitizen,2707,0.21130402659770964,0.0,0.699298115995567
StreamingTV,No internet service,SeniorCitizen,1526,0.03407601572739188,0.0,0.9259501965923984
StreamingTV,No,tenure,2810,24.98576512455516,18.0,0.6647686832740214
StreamingTV,Yes,tenure,2707,41.06760251200591,44.0,0.699298115995567
StreamingTV,No internet service,tenure,1526,30.551114023591087,25.0,0.9259501965923984
StreamingTV,No,MonthlyCharges,2810,65.38768683274021,69.6,0.6647686832740214
StreamingTV,Yes,MonthlyCharges,2707,88.69996638345032,93.2,0.699298115995567
StreamingTV,No internet service,MonthlyCharges,1526,21.08902359108781,20.15,0.9259501965923984
StreamingTV,No,TotalCharges,2810,1735.2875355871886,1113.125,0.6647686832740214
StreamingTV,Yes,TotalCharges,2707,3752.4330535648314,3688.6,0.699298115995567
StreamingTV,No internet service,TotalCharges,1526,668.1189384010485,528.5,0.9259501965923984
StreamingTV,No,Churn_flag,2810,0.33523131672597867,0.0,0.6647686832740214
StreamingTV,Yes,Churn_flag,2707,0.30070188400443293,0.0,0.699298115995567
StreamingTV,No internet service,Churn_flag,1526,0.07404980340760157,0.0,0.9259501965923984
StreamingTV,No,expected_total_from_tenure_monthly,2810,1735.406921708185,1117.0500000000002,0.6647686832740214
StreamingTV,Yes,expected_total_from_tenure_monthly,2707,3750.774528998892,3701.85,0.699298115995567
StreamingTV,No internet service,expected_total_from_tenure_monthly,1526,662.0338138925296,519.375,0.9259501965923984
StreamingTV,No,expected_min_total_from_contract,2810,17.92807829181495,0.0,0.6647686832740214
StreamingTV,Yes,expected_min_total_from_contract,2707,46.74789767270041,53.0,0.699298115995567
StreamingTV,No internet service,expected_min_total_from_contract,1526,13.985157273918741,19.7,0.9259501965923984
StreamingTV,Yes,expected_total_senior,572,3810.896292832167,3707.95,0.5996503496503497
StreamingTV,No,expected_total_senior,518,1891.9469034749036,1211.1999999999998,0.5328185328185329
StreamingTV,No internet service,expected_total_senior,52,933.8807403846156,925.5,0.9038461538461539
StreamingTV,No,expected_total_from_payment_profile,2810,1735.406921708185,1117.0500000000002,0.6647686832740214
StreamingTV,Yes,expected_total_from_payment_profile,2707,3750.774528998892,3701.85,0.699298115995567
StreamingTV,No internet service,expected_total_from_payment_profile,1526,662.0338138925296,519.375,0.9259501965923984
StreamingTV,No,total_charges_per_month,2810,65.87636038680068,69.09049043062201,0.6647686832740214
StreamingTV,Yes,total_charges_per_month,2707,90.57117949438113,92.67375,0.699298115995567
StreamingTV,No internet service,total_charges_per_month,1526,26.560710360478996,20.35,0.9259501965923984
StreamingMovies,No,SeniorCitizen,2785,0.17773788150807898,0.0,0.6631956912028726
StreamingMovies,Yes,SeniorCitizen,2732,0.2177891654465593,0.0,0.7005856515373353
StreamingMovies,No internet service,SeniorCitizen,1526,0.03407601572739188,0.0,0.9259501965923984
StreamingMovies,No,tenure,2785,24.71382405745063,18.0,0.6631956912028726
StreamingMovies,Yes,tenure,2732,41.19765739385066,45.0,0.7005856515373353
StreamingMovies,No internet service,tenure,1526,30.551114023591087,25.0,0.9259501965923984
StreamingMovies,No,MonthlyCharges,2785,65.43414721723519,69.65,0.6631956912028726
StreamingMovies,Yes,MonthlyCharges,2732,88.43927855051244,93.2,0.7005856515373353
StreamingMovies,No internet service,MonthlyCharges,1526,21.08902359108781,20.15,0.9259501965923984
StreamingMovies,No,TotalCharges,2785,1715.0751526032316,1107.25,0.6631956912028726
StreamingMovies,Yes,TotalCharges,2732,3754.5790450219615,3685.5,0.7005856515373353
StreamingMovies,No internet service,TotalCharges,1526,668.1189384010485,528.5,0.9259501965923984
StreamingMovies,No,Churn_flag,2785,0.33680430879712747,0.0,0.6631956912028726
StreamingMovies,Yes,Churn_flag,2732,0.29941434846266474,0.0,0.7005856515373353
StreamingMovies,No internet service,Churn_flag,1526,0.07404980340760157,0.0,0.9259501965923984
