feature_a,category_a,feature_b,category_b,count,Churn_rate
gender,Female,DeviceProtection,No,1538,0.599479843953186
gender,Female,DeviceProtection,Yes,1203,0.7780548628428927
gender,Female,DeviceProtection,No internet service,747,0.9250334672021419
gender,Male,TechSupport,No,1759,0.5861284820920978
gender,Male,TechSupport,Yes,1017,0.8574237954768928
gender,Male,TechSupport,No internet service,779,0.926829268292683
gender,Female,TechSupport,No,1714,0.5810968494749125
gender,Female,TechSupport,Yes,1027,0.8393378773125608
gender,Female,TechSupport,No internet service,747,0.9250334672021419
gender,Male,StreamingTV,No,1424,0.6762640449438202
gender,Male,StreamingTV,Yes,1352,0.6952662721893491
gender,Male,StreamingTV,No internet service,779,0.926829268292683
gender,Female,StreamingTV,No,1386,0.652958152958153
gender,Female,StreamingTV,Yes,1355,0.7033210332103321
gender,Female,StreamingTV,No internet service,747,0.9250334672021419
gender,Male,StreamingMovies,No,1415,0.6734982332155477
gender,Male,StreamingMovies,Yes,1361,0.698016164584864
gender,Male,StreamingMovies,No internet service,779,0.926829268292683
gender,Female,StreamingMovies,No,1370,0.6525547445255474
gender,Female,StreamingMovies,Yes,1371,0.7031363967906638
gender,Female,StreamingMovies,No internet service,747,0.9250334672021419
gender,Male,Contract,Month-to-month,1950,0.583076923076923
gender,Male,Contract,Two year,850,0.9694117647058823
gender,Male,Contract,One year,755,0.8794701986754967
gender,Female,Contract,Month-to-month,1925,0.5625974025974027
gender,Female,Contract,Two year,845,0.9739644970414201
gender,Female,Contract,One year,718,0.8955431754874652
gender,Male,PaperlessBilling,Yes,2085,0.6637889688249401
gender,Male,PaperlessBilling,No,1470,0.8442176870748299
gender,Female,PaperlessBilling,Yes,2086,0.664908916586769
gender,Female,PaperlessBilling,No,1402,0.8288159771754636
gender,Male,PaymentMethod,Electronic check,1195,0.5405857740585774
gender,Male,PaymentMethod,Mailed check,834,0.8105515587529976
gender,Male,PaymentMethod,Bank transfer (automatic),756,0.8386243386243386
gender,Male,PaymentMethod,Credit card (automatic),770,0.8688311688311688
gender,Female,PaymentMethod,Electronic check,1170,0.5538461538461539
gender,Female,PaymentMethod,Mailed check,778,0.8071979434447301
gender,Female,PaymentMethod,Bank transfer (automatic),788,0.8274111675126904
gender,Female,PaymentMethod,Credit card (automatic),752,0.8257978723404256
gender,Male,Churn,No,2625,1.0
gender,Male,Churn,Yes,930,0.0
gender,Female,Churn,No,2549,1.0
gender,Female,Churn,Yes,939,0.0
gender,Male,SeniorCitizen_flag_text,No,2981,0.7671922173767193
gender,Male,SeniorCitizen_flag_text,Yes,574,0.5888501742160279
gender,Female,SeniorCitizen_flag_text,No,2920,0.7606164383561644
gender,Female,SeniorCitizen_flag_text,Yes,568,0.5774647887323944
gender,Male,Senior_flag,False,2981,0.7671922173767193
gender,Male,Senior_flag,True,574,0.5888501742160279
gender,Female,Senior_flag,False,2920,0.7606164383561644
gender,Female,Senior_flag,True,568,0.5774647887323944
gender,Male,pseudo_start,2000-01-01 00:00:00,3555,0.7383966244725738
gender,Female,pseudo_start,2000-01-01 00:00:00,3488,0.7307912844036697
gender,Male,pseudo_end,2000-01-31 00:00:00,329,0.41033434650455924
gender,Male,pseudo_end,2005-11-30 00:00:00,185,0.9837837837837838
gender,Male,pseudo_end,2000-03-01 00:00:00,108,0.49074074074074076
gender,Male,pseudo_end,2000-03-31 00:00:00,99,0.5555555555555556
gender,Male,pseudo_end,2000-04-30 00:00:00,88,0.5909090909090909
gender,Male,pseudo_end,2005-10-31 00:00:00,86,0.9418604651162791
gender,Male,pseudo_end,2000-05-30 00:00:00,67,0.5074626865671642
gender,Male,pseudo_end,2000-07-29 00:00:00,67,0.582089552238806
gender,Male,pseudo_end,2000-08-28 00:00:00,58,0.6724137931034483
gender,Male,pseudo_end,2000-09-27 00:00:00,65,0.676923076923077
gender,Female,pseudo_end,2000-01-31 00:00:00,284,0.34507042253521125
gender,Female,pseudo_end,2005-11-30 00:00:00,177,0.9830508474576272
gender,Female,pseudo_end,2000-03-01 00:00:00,130,0.47692307692307695
gender,Female,pseudo_end,2000-03-31 00:00:00,101,0.504950495049505
gender,Female,pseudo_end,2000-04-30 00:00:00,88,0.4659090909090909
gender,Female,pseudo_end,2005-10-31 00:00:00,84,0.9880952380952381
gender,Female,pseudo_end,2000-05-30 00:00:00,66,0.5303030303030303
gender,Female,pseudo_end,2000-07-29 00:00:00,64,0.640625
gender,Female,pseudo_end,2000-08-28 00:00:00,65,0.6461538461538462
gender,Female,pseudo_end,2000-09-27 00:00:00,54,0.5370370370370371
gender,Male,_logic_repair_applied,False,3555,0.7383966244725738
gender,Female,_logic_repair_applied,False,3488,0.7307912844036697
gender,Male,tenure_months_bucket,0-12,1102,0.5408348457350273
gender,Male,tenure_months_bucket,36-60,777,0.824967824967825
gender,Male,tenure_months_bucket,60+,733,0.922237380627558
gender,Male,tenure_months_bucket,12-24,516,0.7093023255813954
gender,Male,tenure_months_bucket,24-36,427,0.810304449648712
gender,Female,tenure_months_bucket,0-12,1084,0.5101476014760148
gender,Female,tenure_months_bucket,36-60,817,0.8421052631578947
gender,Female,tenure_months_bucket,60+,674,0.9465875370919882
gender,Female,tenure_months_bucket,12-24,508,0.7165354330708661
gender,Female,tenure_months_bucket,24-36,405,0.7555555555555555
Partner,No,Dependents,No,3280,0.6576219512195122
Partner,No,Dependents,Yes,361,0.7867036011080333
Partner,Yes,Dependents,No,1653,0.7459165154264973
Partner,Yes,Dependents,Yes,1749,0.8576329331046312
Partner,No,PhoneService,Yes,3270,0.6663608562691131
Partner,No,PhoneService,No,371,0.706199460916442
Partner,Yes,PhoneService,Yes,3091,0.8032999029440311
Partner,Yes,PhoneService,No,311,0.8038585209003215
Partner,No,MultipleLines,No,1981,0.6925795053003534
Partner,No,MultipleLines,Yes,1289,0.626066718386346
Partner,No,MultipleLines,No phone service,371,0.706199460916442
Partner,Yes,MultipleLines,No,1409,0.829666430092264
Partner,Yes,MultipleLines,Yes,1682,0.7812128418549346
Partner,Yes,MultipleLines,No phone service,311,0.8038585209003215
Partner,No,InternetService,Fiber optic,1600,0.503125
Partner,No,InternetService,DSL,1253,0.7438148443735035
Partner,No,InternetService,No,788,0.8934010152284264
Partner,Yes,InternetService,Fiber optic,1496,0.6644385026737968
Partner,Yes,InternetService,DSL,1168,0.8818493150684932
Partner,Yes,InternetService,No,738,0.9607046070460704
Partner,No,OnlineSecurity,No,2037,0.5287187039764359
Partner,No,OnlineSecurity,Yes,816,0.8088235294117647
Partner,No,OnlineSecurity,No internet service,788,0.8934010152284264
Partner,Yes,OnlineSecurity,No,1461,0.6570841889117043
Partner,Yes,OnlineSecurity,Yes,1203,0.8844555278470491
Partner,Yes,OnlineSecurity,No internet service,738,0.9607046070460704
Partner,No,OnlineBackup,No,1834,0.5474372955288986
Partner,No,OnlineBackup,Yes,1019,0.719332679097154
Partner,No,OnlineBackup,No internet service,788,0.8934010152284264
Partner,Yes,OnlineBackup,No,1254,0.6786283891547049
Partner,Yes,OnlineBackup,Yes,1410,0.8319148936170213
Partner,Yes,OnlineBackup,No internet service,738,0.9607046070460704
Partner,No,DeviceProtection,No,1858,0.5511302475780409
Partner,No,DeviceProtection,Yes,995,0.7165829145728643
Partner,No,DeviceProtection,No internet service,788,0.8934010152284264
Partner,Yes,DeviceProtection,No,1237,0.6952303961196443
Partner,Yes,DeviceProtection,Yes,1427,0.815697266993693
Partner,Yes,DeviceProtection,No internet service,738,0.9607046070460704
Partner,No,TechSupport,No,1988,0.5256539235412475
Partner,No,TechSupport,Yes,865,0.8
Partner,No,TechSupport,No internet service,788,0.8934010152284264
Partner,Yes,TechSupport,No,1485,0.6612794612794612
Partner,Yes,TechSupport,Yes,1179,0.8837998303647159
Partner,Yes,TechSupport,No internet service,738,0.9607046070460704
Partner,No,StreamingTV,No,1667,0.6082783443311338
Partner,No,StreamingTV,Yes,1186,0.6096121416526138
Partner,No,StreamingTV,No internet service,788,0.8934010152284264
Partner,Yes,StreamingTV,No,1143,0.7471566054243219
Partner,Yes,StreamingTV,Yes,1521,0.7692307692307693
Partner,Yes,StreamingTV,No internet service,738,0.9607046070460704
Partner,No,StreamingMovies,No,1642,0.6029232643118149
Partner,No,StreamingMovies,Yes,1211,0.6168455821635013
Partner,No,StreamingMovies,No internet service,788,0.8934010152284264
Partner,Yes,StreamingMovies,No,1143,0.7497812773403325
Partner,Yes,StreamingMovies,Yes,1521,0.7672583826429981
Partner,Yes,StreamingMovies,No internet service,738,0.9607046070460704
Partner,No,Contract,Month-to-month,2495,0.5531062124248497
Partner,No,Contract,Two year,503,0.9662027833001988
Partner,No,Contract,One year,643,0.8942457231726283
Partner,Yes,Contract,Month-to-month,1380,0.6086956521739131
Partner,Yes,Contract,Two year,1192,0.9739932885906041
Partner,Yes,Contract,One year,830,0.8819277108433735
Partner,No,PaperlessBilling,Yes,2182,0.5907424381301558
Partner,No,PaperlessBilling,No,1459,0.7895819054146676
Partner,Yes,PaperlessBilling,Yes,1989,0.7450980392156863
Partner,Yes,PaperlessBilling,No,1413,0.8853503184713376
Partner,No,PaymentMethod,Electronic check,1362,0.4919236417033774
Partner,No,PaymentMethod,Mailed check,974,0.7607802874743327
Partner,No,PaymentMethod,Bank transfer (automatic),637,0.7896389324960753
Partner,No,PaymentMethod,Credit card (automatic),668,0.7889221556886228
Partner,Yes,PaymentMethod,Electronic check,1003,0.6221335992023929
Partner,Yes,PaymentMethod,Mailed check,638,0.8824451410658307
Partner,Yes,PaymentMethod,Bank transfer (automatic),907,0.8632855567805954
Partner,Yes,PaymentMethod,Credit card (automatic),854,0.8934426229508197
Partner,No,Churn,No,2441,1.0
Partner,No,Churn,Yes,1200,0.0
Partner,Yes,Churn,No,2733,1.0
Partner,Yes,Churn,Yes,669,0.0
Partner,No,SeniorCitizen_flag_text,No,3072,0.6998697916666666
Partner,No,SeniorCitizen_flag_text,Yes,569,0.5114235500878734
Partner,Yes,SeniorCitizen_flag_text,No,2829,0.8335100742311771
Partner,Yes,SeniorCitizen_flag_text,Yes,573,0.6544502617801047
Partner,No,Senior_flag,False,3072,0.6998697916666666
Partner,No,Senior_flag,True,569,0.5114235500878734
Partner,Yes,Senior_flag,False,2829,0.8335100742311771
Partner,Yes,Senior_flag,True,573,0.6544502617801047
Partner,No,pseudo_start,2000-01-01 00:00:00,3641,0.6704202142268607
Partner,Yes,pseudo_start,2000-01-01 00:00:00,3402,0.8033509700176367
Partner,No,pseudo_end,2000-01-31 00:00:00,515,0.39029126213592236
Partner,No,pseudo_end,2005-11-30 00:00:00,51,1.0
Partner,No,pseudo_end,2000-03-01 00:00:00,190,0.45789473684210524
Partner,No,pseudo_end,2000-03-31 00:00:00,153,0.5359477124183006
Partner,No,pseudo_end,2000-04-30 00:00:00,128,0.5234375
Partner,No,pseudo_end,2005-10-31 00:00:00,29,0.9655172413793104
Partner,No,pseudo_end,2000-05-30 00:00:00,97,0.5257731958762887
Partner,No,pseudo_end,2000-07-29 00:00:00,83,0.6144578313253012
Partner,No,pseudo_end,2000-08-28 00:00:00,75,0.6133333333333333
Partner,No,pseudo_end,2000-09-27 00:00:00,86,0.6046511627906976
Partner,Yes,pseudo_end,2000-01-31 00:00:00,98,0.32653061224489793
Partner,Yes,pseudo_end,2005-11-30 00:00:00,311,0.9807073954983923
Partner,Yes,pseudo_end,2000-03-01 00:00:00,48,0.5833333333333334
Partner,Yes,pseudo_end,2000-03-31 00:00:00,47,0.5106382978723404
Partner,Yes,pseudo_end,2000-04-30 00:00:00,48,0.5416666666666666
Partner,Yes,pseudo_end,2005-10-31 00:00:00,141,0.9645390070921985
Partner,Yes,pseudo_end,2000-05-30 00:00:00,36,0.5
Partner,Yes,pseudo_end,2000-07-29 00:00:00,48,0.6041666666666666
Partner,Yes,pseudo_end,2000-08-28 00:00:00,48,0.7291666666666666
Partner,Yes,pseudo_end,2000-09-27 00:00:00,33,0.6363636363636364
Partner,No,_logic_repair_applied,False,3641,0.6704202142268607
Partner,Yes,_logic_repair_applied,False,3402,0.8033509700176367
Partner,No,tenure_months_bucket,0-12,1623,0.5113986444855206
Partner,No,tenure_months_bucket,36-60,667,0.8260869565217391
Partner,No,tenure_months_bucket,60+,334,0.9251497005988024
Partner,No,tenure_months_bucket,12-24,590,0.7033898305084746
Partner,No,tenure_months_bucket,24-36,427,0.7868852459016393
Partner,Yes,tenure_months_bucket,0-12,563,0.566607460035524
Partner,Yes,tenure_months_bucket,36-60,927,0.8392664509169363
Partner,Yes,tenure_months_bucket,60+,1073,0.9366262814538676
Partner,Yes,tenure_months_bucket,12-24,434,0.7258064516129032
Partner,Yes,tenure_months_bucket,24-36,405,0.7802469135802469
Dependents,No,PhoneService,Yes,4457,0.6867848328472066
Dependents,No,PhoneService,No,476,0.6911764705882353
Dependents,Yes,PhoneService,Yes,1904,0.8408613445378151
Dependents,Yes,PhoneService,No,206,0.8883495145631068
Dependents,No,MultipleLines,No,2337,0.7090286692340607
Dependents,No,MultipleLines,Yes,2120,0.6622641509433962
Dependents,No,MultipleLines,No phone service,476,0.6911764705882353
Dependents,Yes,MultipleLines,No,1053,0.8395061728395061
Dependents,Yes,MultipleLines,Yes,851,0.8425381903642774
Dependents,Yes,MultipleLines,No phone service,206,0.8883495145631068
Dependents,No,InternetService,Fiber optic,2434,0.5501232539030403
Dependents,No,InternetService,DSL,1616,0.7753712871287128
Dependents,No,InternetService,No,883,0.9037372593431483
Dependents,Yes,InternetService,Fiber optic,662,0.6948640483383686
Dependents,Yes,InternetService,DSL,805,0.8807453416149068
Dependents,Yes,InternetService,No,643,0.9564541213063764
Dependents,No,OnlineSecurity,No,2754,0.5526506899055919
Dependents,No,OnlineSecurity,Yes,1296,0.8256172839506173
Dependents,No,OnlineSecurity,No internet service,883,0.9037372593431483
Dependents,Yes,OnlineSecurity,No,744,0.6922043010752689
Dependents,Yes,OnlineSecurity,Yes,723,0.9045643153526971
Dependents,Yes,OnlineSecurity,No internet service,643,0.9564541213063764
Dependents,No,OnlineBackup,No,2385,0.5656184486373166
Dependents,No,OnlineBackup,Yes,1665,0.7465465465465465
Dependents,No,OnlineBackup,No internet service,883,0.9037372593431483
Dependents,Yes,OnlineBackup,No,703,0.7197724039829303
Dependents,Yes,OnlineBackup,Yes,764,0.8678010471204188
Dependents,Yes,OnlineBackup,No internet service,643,0.9564541213063764
Dependents,No,DeviceProtection,No,2375,0.5696842105263158
Dependents,No,DeviceProtection,Yes,1675,0.7397014925373134
Dependents,No,DeviceProtection,No internet service,883,0.9037372593431483
Dependents,Yes,DeviceProtection,No,720,0.7375
Dependents,Yes,DeviceProtection,Yes,747,0.8540829986613119
Dependents,Yes,DeviceProtection,No internet service,643,0.9564541213063764
Dependents,No,TechSupport,No,2711,0.549981556621173
Dependents,No,TechSupport,Yes,1339,0.8222554144884242
Dependents,No,TechSupport,No internet service,883,0.9037372593431483
Dependents,Yes,TechSupport,No,762,0.7034120734908137
Dependents,Yes,TechSupport,Yes,705,0.8978723404255319
Dependents,Yes,TechSupport,No internet service,643,0.9564541213063764
Dependents,No,StreamingTV,No,2128,0.6296992481203008
Dependents,No,StreamingTV,Yes,1922,0.6514047866805411
Dependents,No,StreamingTV,No internet service,883,0.9037372593431483
Dependents,Yes,StreamingTV,No,682,0.7741935483870968
Dependents,Yes,StreamingTV,Yes,785,0.8165605095541402
Dependents,Yes,StreamingTV,No internet service,643,0.9564541213063764
Dependents,No,StreamingMovies,No,2074,0.624397299903568
Dependents,No,StreamingMovies,Yes,1976,0.6563765182186235
Dependents,No,StreamingMovies,No internet service,883,0.9037372593431483
Dependents,Yes,StreamingMovies,No,711,0.7763713080168776
Dependents,Yes,StreamingMovies,Yes,756,0.8161375661375662
Dependents,Yes,StreamingMovies,No internet service,643,0.9564541213063764
Dependents,No,Contract,Month-to-month,3086,0.5476344782890473
Dependents,No,Contract,Two year,905,0.9668508287292817
Dependents,No,Contract,One year,942,0.8757961783439491
Dependents,Yes,Contract,Month-to-month,789,0.6717363751584284
Dependents,Yes,Contract,Two year,790,0.9772151898734177
Dependents,Yes,Contract,One year,531,0.9077212806026366
Dependents,No,PaperlessBilling,Yes,3098,0.618463524854745
Dependents,No,PaperlessBilling,No,1835,0.8032697547683924
Dependents,Yes,PaperlessBilling,Yes,1073,0.7968313140726934
Dependents,Yes,PaperlessBilling,No,1037,0.8958534233365477
Dependents,No,PaymentMethod,Electronic check,1886,0.5137857900318133
Dependents,No,PaymentMethod,Mailed check,1049,0.76930409914204
Dependents,No,PaymentMethod,Bank transfer (automatic),1012,0.8053359683794467
Dependents,No,PaymentMethod,Credit card (automatic),986,0.8103448275862069
Dependents,Yes,PaymentMethod,Electronic check,479,0.6784968684759917
Dependents,Yes,PaymentMethod,Mailed check,563,0.8827708703374778
Dependents,Yes,PaymentMethod,Bank transfer (automatic),532,0.8853383458646616
Dependents,Yes,PaymentMethod,Credit card (automatic),536,0.9160447761194029
Dependents,No,Churn,No,3390,1.0
Dependents,No,Churn,Yes,1543,0.0
Dependents,Yes,Churn,No,1784,1.0
Dependents,Yes,Churn,Yes,326,0.0
Dependents,No,SeniorCitizen_flag_text,No,3882,0.7194744976816074
Dependents,No,SeniorCitizen_flag_text,Yes,1051,0.5680304471931494
Dependents,Yes,SeniorCitizen_flag_text,No,2019,0.8494304110946013
Dependents,Yes,SeniorCitizen_flag_text,Yes,91,0.7582417582417582
Dependents,No,Senior_flag,False,3882,0.7194744976816074
Dependents,No,Senior_flag,True,1051,0.5680304471931494
Dependents,Yes,Senior_flag,False,2019,0.8494304110946013
Dependents,Yes,Senior_flag,True,91,0.7582417582417582
Dependents,No,pseudo_start,2000-01-01 00:00:00,4933,0.6872085951753497
Dependents,Yes,pseudo_start,2000-01-01 00:00:00,2110,0.8454976303317535
Dependents,No,pseudo_end,2000-01-31 00:00:00,509,0.36738703339882123
Dependents,No,pseudo_end,2005-11-30 00:00:00,200,0.98
Dependents,No,pseudo_end,2000-03-01 00:00:00,210,0.46190476190476193
Dependents,No,pseudo_end,2000-03-31 00:00:00,168,0.5119047619047619
Dependents,No,pseudo_end,2000-04-30 00:00:00,136,0.5367647058823529
Dependents,No,pseudo_end,2005-10-31 00:00:00,105,0.9619047619047619
Dependents,No,pseudo_end,2000-05-30 00:00:00,107,0.4672897196261682
Dependents,No,pseudo_end,2000-07-29 00:00:00,101,0.5544554455445545
Dependents,No,pseudo_end,2000-08-28 00:00:00,87,0.5862068965517241
Dependents,No,pseudo_end,2000-09-27 00:00:00,95,0.5789473684210527
Dependents,Yes,pseudo_end,2000-01-31 00:00:00,104,0.4423076923076923
Dependents,Yes,pseudo_end,2005-11-30 00:00:00,162,0.9876543209876543
Dependents,Yes,pseudo_end,2000-03-01 00:00:00,28,0.6428571428571429
Dependents,Yes,pseudo_end,2000-03-31 00:00:00,32,0.625
Dependents,Yes,pseudo_end,2000-04-30 00:00:00,40,0.5
Dependents,Yes,pseudo_end,2005-10-31 00:00:00,65,0.9692307692307692
Dependents,Yes,pseudo_end,2000-05-30 00:00:00,26,0.7307692307692307
Dependents,Yes,pseudo_end,2000-07-29 00:00:00,30,0.8
Dependents,Yes,pseudo_end,2000-08-28 00:00:00,36,0.8333333333333334
Dependents,Yes,pseudo_end,2000-09-27 00:00:00,24,0.75
Dependents,No,_logic_repair_applied,False,4933,0.6872085951753497
Dependents,Yes,_logic_repair_applied,False,2110,0.8454976303317535
Dependents,No,tenure_months_bucket,0-12,1742,0.4896670493685419
Dependents,No,tenure_months_bucket,36-60,1062,0.7975517890772128
Dependents,No,tenure_months_bucket,60+,835,0.9245508982035928
Dependents,No,tenure_months_bucket,12-24,720,0.6708333333333333
Dependents,No,tenure_months_bucket,24-36,574,0.7578397212543554
Dependents,Yes,tenure_months_bucket,0-12,444,0.6666666666666666
Dependents,Yes,tenure_months_bucket,36-60,532,0.9060150375939849
Dependents,Yes,tenure_months_bucket,60+,572,0.9475524475524476
Dependents,Yes,tenure_months_bucket,12-24,304,0.8125
Dependents,Yes,tenure_months_bucket,24-36,258,0.8410852713178295
PhoneService,Yes,MultipleLines,No,3390,0.7495575221238938
PhoneService,Yes,MultipleLines,Yes,2971,0.713901043419724
PhoneService,No,MultipleLines,No phone service,682,0.750733137829912
PhoneService,Yes,InternetService,Fiber optic,3096,0.5810723514211886
PhoneService,Yes,InternetService,DSL,1739,0.8338125359401956
PhoneService,Yes,InternetService,No,1526,0.9259501965923984
PhoneService,No,InternetService,DSL,682,0.750733137829912
PhoneService,Yes,OnlineSecurity,No,3099,0.57405614714424
PhoneService,Yes,OnlineSecurity,Yes,1736,0.8467741935483871
PhoneService,Yes,OnlineSecurity,No internet service,1526,0.9259501965923984
PhoneService,No,OnlineSecurity,No,399,0.6466165413533834
PhoneService,No,OnlineSecurity,Yes,283,0.8975265017667845
PhoneService,Yes,OnlineBackup,No,2693,0.5863349424433717
PhoneService,Yes,OnlineBackup,Yes,2142,0.7796451914098973
PhoneService,Yes,OnlineBackup,No internet service,1526,0.9259501965923984
PhoneService,No,OnlineBackup,No,395,0.6987341772151898
PhoneService,No,OnlineBackup,Yes,287,0.8222996515679443
PhoneService,Yes,DeviceProtection,No,2718,0.5989698307579102
PhoneService,Yes,DeviceProtection,Yes,2117,0.7657061880018895
PhoneService,Yes,DeviceProtection,No internet service,1526,0.9259501965923984
PhoneService,No,DeviceProtection,No,377,0.6790450928381963
PhoneService,No,DeviceProtection,Yes,305,0.839344262295082
PhoneService,Yes,TechSupport,No,3080,0.5766233766233766
PhoneService,Yes,TechSupport,Yes,1755,0.8393162393162393
PhoneService,Yes,TechSupport,No internet service,1526,0.9259501965923984
