feature_a,feature_b,chi2_stat,df,p_value,significant_flag
Dependents,PhoneService,0.010787865697627113,1,0.9172767598687926,False
Dependents,MultipleLines,4.435045239908596,2,0.10887850842875911,False
Dependents,InternetService,228.87130468239408,2,2.0009104630634743e-50,True
Dependents,OnlineSecurity,266.6556012691868,2,1.248739645508623e-58,True
Dependents,OnlineBackup,186.5751525183354,2,3.0599927711376577e-41,True
Dependents,DeviceProtection,174.86598912918905,2,1.0674140729735032e-38,True
Dependents,TechSupport,234.26096123106674,2,1.3516946846601284e-51,True
Dependents,StreamingTV,152.36293770898268,2,8.218800775004055e-34,True
Dependents,StreamingMovies,140.6887701097446,2,2.8172263241919036e-31,True
Dependents,Contract,420.0418172723388,2,6.152877873541984e-92,True
Dependents,PaperlessBilling,86.87355167130632,1,1.1568614836733204e-20,True
Dependents,PaymentMethod,160.04363077239782,3,1.7935563214873815e-34,True
Dependents,Churn,189.12924940423474,1,4.9249216612154196e-43,True
Dependents,SeniorCitizen_flag_text,312.86220491649726,1,5.196628882267003e-70,True
Dependents,Senior_flag,312.86220491649726,1,5.196628882267003e-70,True
Dependents,pseudo_start,0.0,0,1.0,False
Dependents,tenure_months_bucket,183.0044259551374,4,1.6875084050441802e-38,True
Dependents,_logic_repair_applied,0.0,0,1.0,False
PhoneService,MultipleLines,7042.999999999998,2,0.0,True
PhoneService,InternetService,1441.6233871976851,2,0.0,True
PhoneService,OnlineSecurity,218.83970933969317,2,3.016899938904115e-48,True
PhoneService,OnlineBackup,210.3467238161791,2,2.107605290680284e-46,True
PhoneService,DeviceProtection,209.1298886580566,2,3.872769749888248e-46,True
PhoneService,TechSupport,220.59179725706633,2,1.2563187719667982e-48,True
PhoneService,StreamingTV,229.29615714943404,2,1.6179761449484718e-50,True
PhoneService,StreamingMovies,221.94934665145217,2,6.372527871553543e-49,True
PhoneService,Contract,0.11134637303358412,2,0.9458482013295315,False
PhoneService,PaperlessBilling,1.8066858269697865,1,0.17890630802012192,False
PhoneService,PaymentMethod,0.7467888421450989,3,0.8621473788722153,False
PhoneService,Churn,0.9150329892546948,1,0.3387825358066928,False
PhoneService,SeniorCitizen_flag_text,0.4423519919690537,1,0.5059894281573709,False
PhoneService,Senior_flag,0.4423519919690537,1,0.5059894281573709,False
PhoneService,pseudo_start,0.0,0,1.0,False
PhoneService,tenure_months_bucket,6.130453011092238,4,0.18961548071054038,False
PhoneService,_logic_repair_applied,0.0,0,1.0,False
MultipleLines,InternetService,2217.0141195075425,4,0.0,True
MultipleLines,OnlineSecurity,742.6134219705771,4,2.0627433233527503e-159,True
MultipleLines,OnlineBackup,846.6342119664348,4,6.073056430297738e-182,True
MultipleLines,DeviceProtection,854.8022613283049,4,1.0325188802064614e-183,True
MultipleLines,TechSupport,746.1997257400689,4,3.449656924095101e-160,True
MultipleLines,StreamingTV,965.3806959673257,4,1.1345217439737563e-207,True
MultipleLines,StreamingMovies,969.5516120869314,4,1.4157232232016467e-208,True
MultipleLines,Contract,91.07151384729161,4,7.795766472649456e-19,True
MultipleLines,PaperlessBilling,194.87421762696852,2,4.82615548684713e-43,True
MultipleLines,PaymentMethod,392.5142895934103,6,1.1367151062832025e-81,True
MultipleLines,Churn,11.33044148319756,2,0.0034643829548773,True
MultipleLines,SeniorCitizen_flag_text,151.4536550564988,2,1.2949609503851393e-33,True
MultipleLines,Senior_flag,151.4536550564988,2,1.2949609503851393e-33,True
MultipleLines,pseudo_start,0.0,0,1.0,False
MultipleLines,tenure_months_bucket,810.6165788664065,8,1.05991278942596e-169,True
MultipleLines,_logic_repair_applied,0.0,0,1.0,False
InternetService,OnlineSecurity,7393.058145571624,4,0.0,True
InternetService,OnlineBackup,7044.539401984885,4,0.0,True
InternetService,DeviceProtection,7043.017879444413,4,0.0,True
InternetService,TechSupport,7361.215209681672,4,0.0,True
InternetService,StreamingTV,7243.457839825338,4,0.0,True
InternetService,StreamingMovies,7221.427329149862,4,0.0,True
InternetService,Contract,603.1099040371678,4,3.289672113255868e-129,True
InternetService,PaperlessBilling,1008.6088089424585,2,9.624539043675317e-220,True
InternetService,PaymentMethod,1381.0761619104776,6,3.0319707718157943e-295,True
InternetService,Churn,732.309589667794,2,9.571788222840544e-160,True
InternetService,SeniorCitizen_flag_text,495.80488492911104,2,2.174388724431639e-108,True
InternetService,Senior_flag,495.80488492911104,2,2.174388724431639e-108,True
InternetService,pseudo_start,0.0,0,1.0,False
InternetService,tenure_months_bucket,12.966844007834368,8,0.11299550744375073,False
InternetService,_logic_repair_applied,0.0,0,1.0,False
OnlineSecurity,OnlineBackup,7270.460646541005,4,0.0,True
OnlineSecurity,DeviceProtection,7247.3468889587,4,0.0,True
OnlineSecurity,TechSupport,7569.7229766758255,4,0.0,True
OnlineSecurity,StreamingTV,7056.584665277975,4,0.0,True
OnlineSecurity,StreamingMovies,7064.962676225566,4,0.0,True
OnlineSecurity,Contract,1279.1645711969554,4,1.095260855227521e-275,True
OnlineSecurity,PaperlessBilling,822.8130737914412,2,2.1301550067883827e-179,True
OnlineSecurity,PaymentMethod,1309.9957007466155,6,7.427176940680162e-280,True
OnlineSecurity,Churn,849.9989679615965,2,2.661149635176552e-185,True
OnlineSecurity,SeniorCitizen_flag_text,313.7702771405427,2,7.339222028326395e-69,True
OnlineSecurity,Senior_flag,313.7702771405427,2,7.339222028326395e-69,True
OnlineSecurity,pseudo_start,0.0,0,1.0,False
OnlineSecurity,tenure_months_bucket,766.0014547419032,8,4.362659111001855e-160,True
OnlineSecurity,_logic_repair_applied,0.0,0,1.0,False
OnlineBackup,DeviceProtection,7284.4500391703705,4,0.0,True
OnlineBackup,TechSupport,7298.822720470207,4,0.0,True
OnlineBackup,StreamingTV,7195.057831264632,4,0.0,True
OnlineBackup,StreamingMovies,7174.586977406217,4,0.0,True
OnlineBackup,Contract,941.7810760396659,4,1.4746162886778193e-202,True
OnlineBackup,PaperlessBilling,725.9249613825036,2,2.3302230714330484e-158,True
OnlineBackup,PaymentMethod,1124.283277958252,6,1.1619696858579123e-239,True
OnlineBackup,Churn,601.812790113409,2,2.0797592160864276e-131,True
OnlineBackup,SeniorCitizen_flag_text,235.2800867726225,2,8.12041652775184e-52,True
OnlineBackup,Senior_flag,235.2800867726225,2,8.12041652775184e-52,True
OnlineBackup,pseudo_start,0.0,0,1.0,False
OnlineBackup,tenure_months_bucket,966.1088268689864,8,3.080850729711877e-203,True
OnlineBackup,_logic_repair_applied,0.0,0,1.0,False
DeviceProtection,TechSupport,7434.321765857925,4,0.0,True
DeviceProtection,StreamingTV,7581.9094518507345,4,0.0,True
DeviceProtection,StreamingMovies,7631.314396394716,4,0.0,True
DeviceProtection,Contract,1242.315297870495,4,1.067975082920927e-267,True
DeviceProtection,PaperlessBilling,728.5748140780775,2,6.194258081257639e-159,True
DeviceProtection,PaymentMethod,1160.4208299837471,6,1.7597723604998127e-247,True
DeviceProtection,Churn,558.419369407389,2,5.505219496457244e-122,True
DeviceProtection,SeniorCitizen_flag_text,236.04654276112794,2,5.535342566026122e-52,True
DeviceProtection,Senior_flag,236.04654276112794,2,5.535342566026122e-52,True
DeviceProtection,pseudo_start,0.0,0,1.0,False
DeviceProtection,tenure_months_bucket,965.2099239175541,8,4.815647116961819e-203,True
DeviceProtection,_logic_repair_applied,0.0,0,1.0,False
TechSupport,StreamingTV,7226.6473483160025,4,0.0,True
TechSupport,StreamingMovies,7227.8619299577695,4,0.0,True
TechSupport,Contract,1543.4713078166487,4,0.0,True
TechSupport,PaperlessBilling,764.7731000330007,2,8.543412460322212e-167,True
TechSupport,PaymentMethod,1326.6261332384383,6,1.864283565249669e-283,True
TechSupport,Churn,828.1970684587394,2,1.4430840279998987e-180,True
TechSupport,SeniorCitizen_flag_text,353.54892070333506,2,1.689768958891241e-77,True
TechSupport,Senior_flag,353.54892070333506,2,1.689768958891241e-77,True
TechSupport,pseudo_start,0.0,0,1.0,False
TechSupport,tenure_months_bucket,766.2577178032841,8,3.841838675397667e-160,True
TechSupport,_logic_repair_applied,0.0,0,1.0,False
StreamingTV,StreamingMovies,8374.206314231764,4,0.0,True
StreamingTV,Contract,783.8782120882712,4,2.384153732600665e-168,True
StreamingTV,PaperlessBilling,795.4137757629455,2,1.897112904347248e-173,True
StreamingTV,PaymentMethod,1054.9829131061958,6,1.1439806251706963e-224,True
StreamingTV,Churn,374.2039433109813,2,5.528994485739183e-82,True
StreamingTV,SeniorCitizen_flag_text,242.57561330940644,2,2.115314019345786e-53,True
StreamingTV,Senior_flag,242.57561330940644,2,2.115314019345786e-53,True
StreamingTV,pseudo_start,0.0,0,1.0,False
StreamingTV,tenure_months_bucket,571.3903532145387,8,3.298276722291126e-118,True
StreamingTV,_logic_repair_applied,0.0,0,1.0,False
StreamingMovies,Contract,802.1833469371051,4,2.5847857758081746e-172,True
StreamingMovies,PaperlessBilling,776.8264648795108,2,2.061942039321581e-169,True
StreamingMovies,PaymentMethod,1062.6115416864313,6,2.559348374798173e-226,True
StreamingMovies,Churn,375.6614793452656,2,2.667756755723681e-82,True
StreamingMovies,SeniorCitizen_flag_text,251.48166468702718,2,2.4629203282151804e-55,True
StreamingMovies,Senior_flag,251.48166468702718,2,2.4629203282151804e-55,True
StreamingMovies,pseudo_start,0.0,0,1.0,False
StreamingMovies,tenure_months_bucket,597.4175527302303,8,8.402110648595072e-124,True
StreamingMovies,_logic_repair_applied,0.0,0,1.0,False
Contract,PaperlessBilling,222.26175569027208,2,5.45095984530217e-49,True
Contract,PaymentMethod,1001.5815711333702,6,4.067638353787387e-213,True
Contract,Churn,1184.5965720837926,2,5.863038300673391e-258,True
Contract,SeniorCitizen_flag_text,145.77676674829792,2,2.2129790664281912e-32,True
Contract,Senior_flag,145.77676674829792,2,2.2129790664281912e-32,True
Contract,pseudo_start,0.0,0,1.0,False
Contract,tenure_months_bucket,3548.9696733160745,8,0.0,True
Contract,_logic_repair_applied,0.0,0,1.0,False
PaperlessBilling,PaymentMethod,435.6865186647808,3,4.115239070710319e-94,True
PaperlessBilling,Churn,258.27764906707307,1,4.073354668665985e-58,True
PaperlessBilling,SeniorCitizen_flag_text,171.70098839824468,1,3.1453154718475934e-39,True
PaperlessBilling,Senior_flag,171.70098839824468,1,3.1453154718475934e-39,True
PaperlessBilling,pseudo_start,0.0,0,1.0,False
PaperlessBilling,tenure_months_bucket,0.7064745238248549,4,0.9505280865800414,False
PaperlessBilling,_logic_repair_applied,0.0,0,1.0,False
PaymentMethod,Churn,648.1423274814,3,3.6823546520097993e-140,True
PaymentMethod,SeniorCitizen_flag_text,270.5211403040844,3,2.380773179016624e-58,True
PaymentMethod,Senior_flag,270.5211403040844,3,2.380773179016624e-58,True
PaymentMethod,pseudo_start,0.0,0,1.0,False
PaymentMethod,tenure_months_bucket,1090.6098466721276,12,6.096629055085067e-226,True
PaymentMethod,_logic_repair_applied,0.0,0,1.0,False
Churn,SeniorCitizen_flag_text,159.42630036838742,1,1.510066805092378e-36,True
Churn,Senior_flag,159.42630036838742,1,1.510066805092378e-36,True
Churn,pseudo_start,0.0,0,1.0,False
Churn,tenure_months_bucket,869.5298450873962,4,6.656493042405401e-187,True
Churn,_logic_repair_applied,0.0,0,1.0,False
SeniorCitizen_flag_text,Senior_flag,7035.641146264212,1,0.0,True
SeniorCitizen_flag_text,pseudo_start,0.0,0,1.0,False
SeniorCitizen_flag_text,tenure_months_bucket,9.381683067026216,4,0.05223599828875743,False
SeniorCitizen_flag_text,_logic_repair_applied,0.0,0,1.0,False
Senior_flag,pseudo_start,0.0,0,1.0,False
Senior_flag,tenure_months_bucket,9.381683067026216,4,0.05223599828875743,False
Senior_flag,_logic_repair_applied,0.0,0,1.0,False
pseudo_start,tenure_months_bucket,0.0,0,1.0,False
pseudo_start,_logic_repair_applied,0.0,0,1.0,False
tenure_months_bucket,_logic_repair_applied,0.0,0,1.0,False
