feature_a,feature_b,cramers_v,theils_u_ab,theils_u_ba,association_label
PhoneService,MultipleLines,0.9998579848036578,1.0,0.3376048811070546,Strong
PhoneService,InternetService,0.4521115058725698,0.35745196302627225,0.10728485944349686,Moderate
PhoneService,OnlineSecurity,0.1754649106678818,0.08052001881895704,0.02469413470733677,Very weak / none
PhoneService,OnlineBackup,0.17199435675107955,0.07901627808116343,0.023709599877629207,Very weak / none
PhoneService,DeviceProtection,0.17149135976959817,0.07879618954627975,0.02364893992728873,Very weak / none
PhoneService,TechSupport,0.17617237294854884,0.08083025657984241,0.024743562360110265,Very weak / none
PhoneService,StreamingTV,0.17964574331416858,0.08244717170677504,0.02461217988056418,Very weak / none
PhoneService,StreamingMovies,0.1767185801568631,0.0811123050257305,0.024211413757530133,Very weak / none
PhoneService,Contract,0.0,2.4889464801834498e-05,7.926269268757707e-06,Very weak / none
PhoneService,PaperlessBilling,0.011419435191191632,0.00042599396925093743,0.00020042551935611536,Very weak / none
PhoneService,PaymentMethod,0.0,0.00016661566638993377,3.8747508069578576e-05,Very weak / none
PhoneService,Churn,0.0007783153789239917,0.0002268668782771311,0.00012471416034477074,Very weak / none
PhoneService,SeniorCitizen_flag_text,0.0,0.00011733292668062775,8.4203487366129e-05,Very weak / none
PhoneService,Senior_flag,0.0,0.00011733292668062775,8.4203487366129e-05,Very weak / none
PhoneService,pseudo_start,0.0,0.0,,Very weak / none
PhoneService,_logic_repair_applied,0.0,0.0,,Very weak / none
PhoneService,tenure_months_bucket,0.017389985998855637,0.0013765560921757767,0.00028178048828141755,Very weak / none
MultipleLines,InternetService,0.3964239416824232,0.17617124059028985,0.15661993727879295,Weak
MultipleLines,OnlineSecurity,0.22902150771761742,0.06599345115672137,0.059949017340370676,Weak
MultipleLines,OnlineBackup,0.24461733837506677,0.0741112835942847,0.06586933423854546,Weak
MultipleLines,DeviceProtection,0.24580007528065773,0.07494734008506802,0.06662756919149998,Weak
MultipleLines,TechSupport,0.22957683660799352,0.06625718800742554,0.060077596747328245,Weak
MultipleLines,StreamingTV,0.2612855601121961,0.0827217131235641,0.07314508033898087,Weak
MultipleLines,StreamingMovies,0.261851736104624,0.08327717088324169,0.0736292966873783,Weak
MultipleLines,Contract,0.07863293204270524,0.006853626496165178,0.006464947161621627,Very weak / none
MultipleLines,PaperlessBilling,0.1654847296363895,0.014846243485475938,0.0206898541231204,Very weak / none
MultipleLines,PaymentMethod,0.16567238997658312,0.031003766016022463,0.0213566768581602,Very weak / none
MultipleLines,Churn,0.03639700452670124,0.0008504777978585698,0.0013848378835373707,Very weak / none
MultipleLines,SeniorCitizen_flag_text,0.14567130587339208,0.01141001701359343,0.02425424442738854,Very weak / none
MultipleLines,Senior_flag,0.14567130587339208,0.01141001701359343,0.02425424442738854,Very weak / none
MultipleLines,pseudo_start,0.0,0.0,,Very weak / none
MultipleLines,_logic_repair_applied,0.0,0.0,,Very weak / none
MultipleLines,tenure_months_bucket,0.23873802378225,0.0631326145950945,0.03827913040142802,Weak
InternetService,OnlineSecurity,0.724373183315211,0.5115804069647247,0.5227368278984839,Strong
InternetService,OnlineBackup,0.7070836382983393,0.49327424254029134,0.4931458059791423,Strong
InternetService,DeviceProtection,0.7070072306646231,0.49319442028459703,0.49317819448209904,Strong
InternetService,TechSupport,0.7228106651566129,0.5099020982565032,0.5200610365804071,Strong
InternetService,StreamingTV,0.7170027863156808,0.5037719331120946,0.5010574641369424,Strong
InternetService,StreamingMovies,0.7159109936243645,0.5026013976780142,0.49984614637964814,Strong
InternetService,Contract,0.2062627873976439,0.040362402250315337,0.04282619794596674,Weak
InternetService,PaperlessBilling,0.3780519285425558,0.06926771400294049,0.10858245878379312,Weak
InternetService,PaymentMethod,0.31248637128022655,0.09777925843826223,0.07576243633079331,Weak
InternetService,Churn,0.3220138660877818,0.05244106217492045,0.09604956480622776,Weak
InternetService,SeniorCitizen_flag_text,0.2647882576161876,0.03622211894278071,0.08660905045578632,Weak
InternetService,Senior_flag,0.2647882576161876,0.03622211894278071,0.08660905045578632,Weak
InternetService,pseudo_start,0.0,0.0,,Very weak / none
InternetService,_logic_repair_applied,0.0,0.0,,Very weak / none
InternetService,tenure_months_bucket,0.018778393106607925,0.0008691505994743402,0.000592776923543503,Very weak / none
OnlineSecurity,OnlineBackup,0.7183387336492695,0.5161358138564809,0.504988752952437,Strong
OnlineSecurity,DeviceProtection,0.717195348034698,0.5148922924353126,0.5038867140338428,Strong
OnlineSecurity,TechSupport,0.7329815449984237,0.5319594604530277,0.5309784066863883,Strong
OnlineSecurity,StreamingTV,0.7076882346999048,0.5046774177227857,0.49124511587667813,Strong
OnlineSecurity,StreamingMovies,0.7081084537230841,0.5051271277762457,0.4916365405223776,Strong
OnlineSecurity,Contract,0.30091986685805816,0.09188625625641561,0.09541438953783092,Weak
OnlineSecurity,PaperlessBilling,0.3413840397328189,0.05666977173152947,0.08693828822005288,Weak
OnlineSecurity,PaymentMethod,0.3043026796051081,0.09013442642162184,0.06834845425451958,Weak
OnlineSecurity,Churn,0.34699142698019597,0.0623618999062227,0.11178256340220227,Weak
OnlineSecurity,SeniorCitizen_flag_text,0.21039640386648403,0.025702647851215208,0.06014480149657334,Weak
OnlineSecurity,Senior_flag,0.21039640386648403,0.025702647851215208,0.06014480149657334,Weak
OnlineSecurity,pseudo_start,0.0,0.0,,Very weak / none
OnlineSecurity,_logic_repair_applied,0.0,0.0,,Very weak / none
OnlineSecurity,tenure_months_bucket,0.2320077716640054,0.05361118244982132,0.03578346940373682,Weak
OnlineBackup,DeviceProtection,0.7190298742103919,0.5057662319437836,0.5058813116701107,Strong
OnlineBackup,TechSupport,0.7197392597981257,0.5064834844812741,0.5167088510587869,Strong
OnlineBackup,StreamingTV,0.7146019752630102,0.5010693876695305,0.49849927782406156,Strong
OnlineBackup,StreamingMovies,0.7135841181041668,0.49998980377580254,0.49737837436231785,Strong
OnlineBackup,Contract,0.2580586610357929,0.06537722846517582,0.06938604185542772,Weak
OnlineBackup,PaperlessBilling,0.3206031952858984,0.04839544048940928,0.07588332603128294,Weak
OnlineBackup,PaymentMethod,0.2818016870309208,0.07740207008527838,0.05998917136929924,Weak
OnlineBackup,Churn,0.2918293138903578,0.04414280094029394,0.08087176149409081,Weak
OnlineBackup,SeniorCitizen_flag_text,0.18199511267292492,0.020456179911485073,0.048924574122866916,Very weak / none
OnlineBackup,Senior_flag,0.18199511267292492,0.020456179911485073,0.048924574122866916,Very weak / none
OnlineBackup,pseudo_start,0.0,0.0,,Very weak / none
OnlineBackup,_logic_repair_applied,0.0,0.0,,Very weak / none
OnlineBackup,tenure_months_bucket,0.2608404867230418,0.0674186905678288,0.04599278011329353,Weak
DeviceProtection,TechSupport,0.7263929704004647,0.513750517311738,0.5240033682856808,Strong
DeviceProtection,StreamingTV,0.733571631894728,0.5218261729003505,0.5190314982830032,Strong
DeviceProtection,StreamingMovies,0.7359590442515681,0.5245065486839927,0.521648375685305,Strong
DeviceProtection,Contract,0.2965400512141917,0.08854041145067369,0.09394817278639625,Weak
DeviceProtection,PaperlessBilling,0.32118942701923436,0.048601646072988065,0.0761893175311773,Weak
DeviceProtection,PaymentMethod,0.2863187278165483,0.08013077166131437,0.06208987794283443,Weak
DeviceProtection,Churn,0.28107496472294224,0.04143962903425088,0.07590214846583068,Weak
DeviceProtection,SeniorCitizen_flag_text,0.1822938458964691,0.020504903434746067,0.04902994900122726,Very weak / none
DeviceProtection,Senior_flag,0.1822938458964691,0.020504903434746067,0.04902994900122726,Very weak / none
DeviceProtection,pseudo_start,0.0,0.0,,Very weak / none
DeviceProtection,_logic_repair_applied,0.0,0.0,,Very weak / none
DeviceProtection,tenure_months_bucket,0.2607180968775064,0.06755815091026979,0.04607743519248771,Weak
TechSupport,StreamingTV,0.7161698389001873,0.5128934834891802,0.5001649234042135,Strong
TechSupport,StreamingMovies,0.7162300529878513,0.5129644561186255,0.5001870130752226,Strong
TechSupport,Contract,0.3306386036599037,0.11322806714283466,0.1177928933077059,Weak
TechSupport,PaperlessBilling,0.329093086885294,0.052267902655994875,0.08033344139422241,Weak
TechSupport,PaymentMethod,0.3062369863067304,0.09098853271540404,0.06912359807192138,Weak
TechSupport,Churn,0.3425018376531092,0.06065288116902799,0.10892005186979278,Weak
TechSupport,SeniorCitizen_flag_text,0.22341579053679897,0.028158519086814257,0.06601334160336997,Weak
TechSupport,Senior_flag,0.22341579053679897,0.028158519086814257,0.06601334160336997,Weak
TechSupport,pseudo_start,0.0,0.0,,Very weak / none
TechSupport,_logic_repair_applied,0.0,0.0,,Very weak / none
TechSupport,tenure_months_bucket,0.23204698668549548,0.05344678253640709,0.035739650591804784,Weak
StreamingTV,StreamingMovies,0.7709672064683412,0.5623841367162752,0.5623311606210062,Strong
StreamingTV,Contract,0.23533204798978846,0.0538129816646197,0.05740715195786006,Weak
StreamingTV,PaperlessBilling,0.3356378623379298,0.05326997968395862,0.08395716774924912,Weak
StreamingTV,PaymentMethod,0.27293037342248655,0.07538438001425005,0.05872661811670543,Weak
StreamingTV,Churn,0.22988544496122446,0.029946853122036366,0.05514695610460484,Weak
StreamingTV,SeniorCitizen_flag_text,0.18481903582809694,0.020767799548628233,0.049925950277827806,Very weak / none
StreamingTV,Senior_flag,0.18481903582809694,0.020767799548628233,0.049925950277827806,Very weak / none
StreamingTV,pseudo_start,0.0,0.0,,Very weak / none
StreamingTV,_logic_repair_applied,0.0,0.0,,Very weak / none
StreamingTV,tenure_months_bucket,0.20001939259391593,0.039114766526420056,0.026821522614801363,Weak
StreamingMovies,Contract,0.23807786293405958,0.055172179522309565,0.058862675484684684,Weak
StreamingMovies,PaperlessBilling,0.3316830659468126,0.05188877463325628,0.08178799753693013,Weak
StreamingMovies,PaymentMethod,0.27392100652443274,0.07599834399999836,0.05921049144271976,Weak
StreamingMovies,Churn,0.23033511670038812,0.030031283990155325,0.055307644989832594,Weak
StreamingMovies,SeniorCitizen_flag_text,0.18820892981039025,0.021275148596051535,0.05115043962735828,Very weak / none
StreamingMovies,Senior_flag,0.18820892981039025,0.021275148596051535,0.05115043962735828,Very weak / none
StreamingMovies,pseudo_start,0.0,0.0,,Very weak / none
StreamingMovies,_logic_repair_applied,0.0,0.0,,Very weak / none
StreamingMovies,tenure_months_bucket,0.20458743276192096,0.04097912634401823,0.028102586509609815,Weak
Contract,PaperlessBilling,0.1768440385036703,0.01576810622746599,0.02329570402674909,Very weak / none
Contract,PaymentMethod,0.2658924938714761,0.07665794894558453,0.055979868529483987,Weak
Contract,Churn,0.4097692940591879,0.09857347854350826,0.17015765456730209,Moderate
Contract,SeniorCitizen_flag_text,0.14287790821033552,0.011018709795523229,0.024830625286900613,Very weak / none
Contract,Senior_flag,0.14287790821033552,0.011018709795523229,0.024830625286900613,Very weak / none
Contract,pseudo_start,0.0,0.0,,Very weak / none
Contract,_logic_repair_applied,0.0,0.0,,Very weak / none
Contract,tenure_months_bucket,0.5014514283724335,0.26495546608899706,0.1703086177646647,Moderate
PaperlessBilling,PaymentMethod,0.2478606726680076,0.04640452184388157,0.022937108989293405,Weak
PaperlessBilling,Churn,0.19145483215830925,0.02839237539845962,0.033173923113162196,Very weak / none
PaperlessBilling,SeniorCitizen_flag_text,0.15607529537363024,0.0192269974751721,0.029327299713343243,Very weak / none
PaperlessBilling,Senior_flag,0.15607529537363024,0.0192269974751721,0.029327299713343243,Very weak / none
PaperlessBilling,pseudo_start,0.0,0.0,,Very weak / none
PaperlessBilling,_logic_repair_applied,0.0,0.0,,Very weak / none
PaperlessBilling,tenure_months_bucket,0.0,7.421386244826672e-05,3.22888422158379e-05,Very weak / none
PaymentMethod,Churn,0.3026556465052365,0.03254975617064047,0.07694217675420266,Weak
PaymentMethod,SeniorCitizen_flag_text,0.19489462571861232,0.01501298370568403,0.04632860734008076,Very weak / none
PaymentMethod,Senior_flag,0.19489462571861232,0.01501298370568403,0.04632860734008076,Very weak / none
PaymentMethod,pseudo_start,0.0,0.0,,Very weak / none
PaymentMethod,_logic_repair_applied,0.0,0.0,,Very weak / none
PaymentMethod,tenure_months_bucket,0.2259877527396422,0.0590307662978568,0.0519598014166749,Weak
Churn,SeniorCitizen_flag_text,0.15041803164967743,0.018280818761022832,0.023864983916988863,Very weak / none
Churn,Senior_flag,0.15041803164967743,0.018280818761022832,0.023864983916988863,Very weak / none
Churn,pseudo_start,0.0,0.0,,Very weak / none
Churn,_logic_repair_applied,0.0,0.0,,Very weak / none
Churn,tenure_months_bucket,0.35055973924232103,0.11157148129326554,0.04154564747095775,Weak
SeniorCitizen_flag_text,Senior_flag,0.9999289949230477,1.0,1.0,Strong
SeniorCitizen_flag_text,pseudo_start,0.0,0.0,,Very weak / none
SeniorCitizen_flag_text,_logic_repair_applied,0.0,0.0,,Very weak / none
SeniorCitizen_flag_text,tenure_months_bucket,0.02764122552737206,0.00148725327573038,0.0004242206095923382,Very weak / none
Senior_flag,pseudo_start,0.0,0.0,,Very weak / none
Senior_flag,_logic_repair_applied,0.0,0.0,,Very weak / none
Senior_flag,tenure_months_bucket,0.02764122552737206,0.00148725327573038,0.0004242206095923382,Very weak / none
pseudo_start,_logic_repair_applied,0.0,,,Very weak / none
pseudo_start,tenure_months_bucket,0.0,,0.0,Very weak / none
_logic_repair_applied,tenure_months_bucket,0.0,,0.0,Very weak / none
