section,section_name,check,level,status,n_columns_attempted,n_columns_coerced_ok,n_columns_failed,detail,timestamp,n_columns_imputed,n_high_missing_columns,n_columns_treated,n_rows_dropped,n_columns_with_constraints,n_values_modified,n_columns_consolidated,n_values_consolidated,n_rules_repairable,n_rules_applied,n_rows_repaired,n_features_configured,n_features_success,n_features_error,n_categorical_features,n_one_hot,n_ordinal,n_target,n_rows_changed,n_cells_changed,mode,n_columns_summarized,avg_delta_pct_missing,avg_delta_pct_outliers,config_hash,schema_hash,n_checks_run,n_checks_ok,n_checks_fail,run_status,integrity_index,revalidation_status,n_rows_exported,n_cols_exported,formats,n_columns_visualized,data_readiness_index
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 00:25:48.181831+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 00:25:48.402973+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 00:25:48.459768+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 00:25:48.554834+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 00:25:48.619393+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 00:25:49.197370+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 00:25:49.435264+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 00:25:49.514127+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 00:25:49.746063+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 00:25:49.809361+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 00:25:50.399203+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-12-05 00:25:50.493436+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-12-05 00:25:50.627538+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-12-05 00:25:50.702324+00:00,,,,,,,,,,,,,,,19.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2.6.10,Change log generator,Emit row/column-level before→after change log for selected columns,info,WARN,,,,{},2025-12-05 00:25:50.792990+00:00,,,,,,,,,,,,,,,,,,,0.0,0.0,sampled,,,,,,,,,,,,,,,,
2.6.11,Before/after summary metrics,Compute pre- vs post-clean metrics and deltas for key columns,info,OK,,,,before_after_summary.csv,2025-12-05 00:26:04.005511+00:00,,,,,,,,,,,,,,,,,,,,,,30.0,0.0052061148184959,,,,,,,,,,,,,,
2.6.12,Cleaning metadata & schema version log,"Persist config, schema, version, and integrity metadata for this cleaning run",info,OK,,,,cleaning_metadata.json,2025-12-05 00:26:11.855947+00:00,,,,,,,,,,,,,,,,,,,,,,,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 00:53:25.109073+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 00:53:25.609000+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 00:53:25.734600+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 00:53:25.796651+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 00:53:26.700014+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 00:53:26.993085+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 00:53:27.070754+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 00:53:27.185510+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 00:53:27.224139+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 00:53:27.789944+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 00:53:27.991448+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 00:53:28.067826+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 00:53:28.189354+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 00:53:28.253824+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 00:53:28.751849+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-12-05 00:53:28.836454+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-12-05 00:53:28.940887+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-12-05 00:53:29.002760+00:00,,,,,,,,,,,,,,,19.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2.6.10,Change log generator,Emit row/column-level before→after change log for selected columns,info,WARN,,,,{},2025-12-05 00:53:29.126548+00:00,,,,,,,,,,,,,,,,,,,0.0,0.0,sampled,,,,,,,,,,,,,,,,
2.6.11,Before/after summary metrics,Compute pre- vs post-clean metrics and deltas for key columns,info,OK,,,,before_after_summary.csv,2025-12-05 00:53:29.243825+00:00,,,,,,,,,,,,,,,,,,,,,,30.0,0.0052061148184959,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 00:54:18.152434+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 00:54:18.280850+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 00:54:18.406589+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 00:54:18.492478+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 00:54:19.498153+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 00:54:19.859406+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 00:54:19.928884+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 00:54:20.045597+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 00:54:20.106972+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 00:54:20.827215+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 00:54:21.062384+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 00:54:21.142152+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 00:54:21.428987+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 00:54:21.529371+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 00:54:22.421915+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-12-05 00:54:22.512085+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-12-05 00:54:22.648247+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-12-05 00:54:22.723263+00:00,,,,,,,,,,,,,,,19.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2.6.10,Change log generator,Emit row/column-level before→after change log for selected columns,info,WARN,,,,{},2025-12-05 00:54:22.855387+00:00,,,,,,,,,,,,,,,,,,,0.0,0.0,sampled,,,,,,,,,,,,,,,,
2.6.11,Before/after summary metrics,Compute pre- vs post-clean metrics and deltas for key columns,info,OK,,,,before_after_summary.csv,2025-12-05 00:54:22.961464+00:00,,,,,,,,,,,,,,,,,,,,,,30.0,0.0052061148184959,,,,,,,,,,,,,,
2.6.12,Cleaning metadata & schema version log,"Persist config, schema, version, and integrity metadata for this cleaning run",info,OK,,,,cleaning_metadata.json,2025-12-05 00:54:23.083699+00:00,,,,,,,,,,,,,,,,,,,,,,,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,,,
2.6.13,Re-validation pass,Re-run selected Section 2 checks on cleaned dataset to confirm no regressions,info,FAIL,,,,revalidation_summary.csv,2025-12-05 00:54:23.375136+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,34.0,2.0,,,,,,,,
2.6.14,CI/CD integration & automation,Emit run-level operational log and alert signals for CI/CD,info,OK,,,,pipeline_run_log.json,2025-12-05 00:54:23.435280+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,90.0,FAIL,,,,,
2.6.15,Clean data export,Export final cleaned dataset and record hashes for verification,info,OK,,,,"parquet,csv",2025-12-05 00:54:23.719580+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,34.0,"parquet,csv",,
2.6.16,Cleaning impact dashboard,"Visualize before/after distributions, missingness, and outlier changes",info,OK,,,,cleaning_impact_dashboard.html,2025-12-05 00:54:23.810918+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
2.6.17,Data readiness index (composite),Compute 0–100 readiness score from post-clean metrics & revalidation,info,FAIL,,,,data_readiness_index.csv,2025-12-05 00:54:23.900434+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 14:03:51.858495+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 14:03:51.953160+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 14:03:52.152636+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 14:03:52.229920+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 14:03:52.727596+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 14:03:52.896419+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 14:03:52.956199+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 14:03:53.032624+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 14:03:53.070206+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 14:03:53.548909+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.2,Safe type coercion layer,Coerce columns to configured dtypes with logging and error tracking,info,OK,31.0,31.0,0.0,type_coercion_log.csv,2025-12-05 14:03:53.729225+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.3,Missing value treatment,Apply configured imputation strategies per column type,info,WARN,,,,missing_value_imputations.csv,2025-12-05 14:03:53.794540+00:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.4,Outlier handling,Apply configured outlier policy (winsorize/cap/drop/flag-only) to numeric columns,info,OK,,,,outlier_treatment_report.csv,2025-12-05 14:03:54.013371+00:00,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.5,Range & domain enforcement,Enforce configured numeric ranges and categorical domains,info,OK,,,,domain_enforcement_log.csv,2025-12-05 14:03:54.085006+00:00,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.6,Rare-category consolidation,Group low-frequency categories into configured 'Other' buckets,info,WARN,,,,category_consolidation_map.json,2025-12-05 14:03:54.601122+00:00,,,,,,,1.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.7,Logic-driven field repairs,Apply configured repair strategies to selected logic rule violations,info,OK,,,,logic_repair_log.csv,2025-12-05 14:03:54.680076+00:00,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6.8,Derived feature regeneration,Recompute configured derived features after cleaning and repairs,info,OK,,,,derived_feature_refresh.csv,2025-12-05 14:03:54.778526+00:00,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2.6.9,Categorical encoding preparation,Assign encoding methods to categorical features and estimate dimensionality,info,OK,,,,encoding_plan.csv,2025-12-05 14:03:54.840737+00:00,,,,,,,,,,,,,,,19.0,18.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2.6.10,Change log generator,Emit row/column-level before→after change log for selected columns,info,WARN,,,,{},2025-12-05 14:03:55.010139+00:00,,,,,,,,,,,,,,,,,,,0.0,0.0,sampled,,,,,,,,,,,,,,,,
2.6.11,Before/after summary metrics,Compute pre- vs post-clean metrics and deltas for key columns,info,OK,,,,before_after_summary.csv,2025-12-05 14:03:55.106911+00:00,,,,,,,,,,,,,,,,,,,,,,30.0,0.0052061148184959,,,,,,,,,,,,,,
2.6.12,Cleaning metadata & schema version log,"Persist config, schema, version, and integrity metadata for this cleaning run",info,OK,,,,cleaning_metadata.json,2025-12-05 14:03:55.173585+00:00,,,,,,,,,,,,,,,,,,,,,,,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,,,
