group_feature,numeric_feature,method,statistic,p_value,significant,notes,n_total,k_groups,df_between,df_within,ss_between,ss_within,ss_total,eta_squared
SeniorCitizen,MonthlyCharges,ANOVA,359.20580490195124,3.6122337229899922e-78,True,,7043.0,2.0,1.0,7041.0,308926.1763873536,6055440.02424205,6364366.200629404,0.048539975018534035
SeniorCitizen,MonthlyCharges,KRUSKAL,344.14113288365354,7.998735545266436e-77,True,,,,,,,,,
SeniorCitizen,TotalCharges,ANOVA,75.97303161026875,3.5434142652655805e-18,True,,7043.0,2.0,1.0,7041.0,383964636.64980245,35584929933.029625,35968894569.67943,0.010674907895931608
SeniorCitizen,TotalCharges,KRUSKAL,82.4013986327594,1.1107517592830664e-19,True,,,,,,,,,
SeniorCitizen,expected_total_from_tenure_monthly,ANOVA,76.12662593099273,3.280973330967812e-18,True,,7043.0,2.0,1.0,7041.0,384396611.54476655,35553086831.14532,35937483442.69009,0.01069625846667222
SeniorCitizen,expected_total_from_tenure_monthly,KRUSKAL,83.08853574550909,7.845940038339221e-20,True,,,,,,,,,
SeniorCitizen,expected_min_total_from_contract,ANOVA,15.442017127884233,8.588989265616236e-05,True,,7043.0,2.0,1.0,7041.0,22743.07306982958,10370016.828663524,10392759.901733354,0.0021883574031221855
SeniorCitizen,expected_min_total_from_contract,KRUSKAL,60.01168722896875,9.429578217181956e-15,True,,,,,,,,,
SeniorCitizen,expected_total_from_payment_profile,ANOVA,76.12662593099273,3.280973330967812e-18,True,,7043.0,2.0,1.0,7041.0,384396611.54476655,35553086831.14532,35937483442.69009,0.01069625846667222
SeniorCitizen,expected_total_from_payment_profile,KRUSKAL,83.08853574550909,7.845940038339221e-20,True,,,,,,,,,
SeniorCitizen,total_charges_per_month,ANOVA,353.5621852082483,5.339316175499689e-77,True,,7043.0,2.0,1.0,7041.0,306104.82798425533,6095912.357164785,6402017.185149041,0.04781380916851274
SeniorCitizen,total_charges_per_month,KRUSKAL,335.92878133869937,4.915017811929582e-75,True,,,,,,,,,
Partner,tenure,ANOVA,1186.6430442786018,1.8524097651994337e-240,True,,7043.0,2.0,1.0,7041.0,612501.7699398161,3634306.8650168786,4246808.634956695,0.14422636445121145
Partner,tenure,KRUSKAL,1045.1451222457774,2.7641240327847095e-229,True,,,,,,,,,
Partner,MonthlyCharges,ANOVA,66.57474902702762,3.957443339093459e-16,True,,7043.0,2.0,1.0,7041.0,59613.31361038491,6304752.887019019,6364366.200629404,0.009366732166431507
Partner,MonthlyCharges,KRUSKAL,82.84820608782582,8.860262386092258e-20,True,,,,,,,,,
Partner,TotalCharges,ANOVA,790.1363954244722,7.280538288871833e-165,True,,7043.0,2.0,1.0,7041.0,3629145409.763853,32339749159.915573,35968894569.67943,0.10089677353674086
Partner,TotalCharges,KRUSKAL,815.718752429026,2.063300914380667e-179,True,,,,,,,,,
Partner,expected_total_from_tenure_monthly,ANOVA,790.0233196109975,7.660695237555793e-165,True,,7043.0,2.0,1.0,7041.0,3625509567.409846,32311973875.280243,35937483442.69009,0.10088379096414715
Partner,expected_total_from_tenure_monthly,KRUSKAL,816.4759508294044,1.4123360429244469e-179,True,,,,,,,,,
Partner,expected_total_for_zero_tenure,ANOVA,,,False,imbalanced groups,11.0,2.0,1.0,9.0,0.0,0.0,0.0,
Partner,expected_total_for_zero_tenure,KRUSKAL,,,False,ERROR: All numbers are identical in kruskal,,,,,,,,
Partner,expected_min_total_from_contract,ANOVA,527.1854879017146,1.4520890618641787e-112,True,,7043.0,2.0,1.0,7041.0,723939.9996470902,9668819.90208626,10392759.90173335,0.06965810876919694
Partner,expected_min_total_from_contract,KRUSKAL,572.1008580878472,1.960311324714007e-126,True,,,,,,,,,
Partner,expected_total_senior,ANOVA,128.27517522225858,2.9626904882093984e-28,True,,1142.0,2.0,1.0,1140.0,639980622.830267,5687600182.672808,6327580805.503075,0.10114143817391918
Partner,expected_total_senior,KRUSKAL,122.47636189251563,1.8156558530594423e-28,True,,,,,,,,,
Partner,expected_total_from_payment_profile,ANOVA,790.0233196109975,7.660695237555793e-165,True,,7043.0,2.0,1.0,7041.0,3625509567.409846,32311973875.280243,35937483442.69009,0.10088379096414715
Partner,expected_total_from_payment_profile,KRUSKAL,816.4759508294044,1.4123360429244469e-179,True,,,,,,,,,
Partner,total_charges_per_month,ANOVA,63.59455331370205,1.7709165105699118e-15,True,,7043.0,2.0,1.0,7041.0,57305.65201729977,6344711.53313174,6402017.18514904,0.008951186846269873
Partner,total_charges_per_month,KRUSKAL,76.9268379858089,1.7740980948531686e-18,True,,,,,,,,,
Dependents,tenure,ANOVA,184.564893949792,1.624291989899316e-41,True,,7043.0,2.0,1.0,7041.0,108477.57882461956,4138331.0561320754,4246808.634956695,0.025543316911364834
Dependents,tenure,KRUSKAL,190.8014743667274,2.1251441373824966e-43,True,,,,,,,,,
Dependents,MonthlyCharges,ANOVA,92.72406599047804,8.189516821746845e-22,True,,7043.0,2.0,1.0,7041.0,82723.96102172407,6281642.239607679,6364366.200629403,0.012997988867067878
Dependents,MonthlyCharges,KRUSKAL,80.68138144139442,2.652092064328204e-19,True,,,,,,,,,
Dependents,TotalCharges,ANOVA,27.214344831749703,1.8729793312450528e-07,True,,7043.0,2.0,1.0,7041.0,138488994.85509402,35830405574.82433,35968894569.67943,0.0038502432869270214
Dependents,TotalCharges,KRUSKAL,43.355972538828745,4.5634122700011917e-11,True,,,,,,,,,
Dependents,expected_total_from_tenure_monthly,ANOVA,27.398545390948662,1.7034184019364646e-07,True,,7043.0,2.0,1.0,7041.0,139300969.6634971,35798182473.026596,35937483442.690094,0.00387620268084831
Dependents,expected_total_from_tenure_monthly,KRUSKAL,43.81086895700765,3.6169081887811306e-11,True,,,,,,,,,
Dependents,expected_min_total_from_contract,ANOVA,131.29614455469545,3.940339941477896e-30,True,,7043.0,2.0,1.0,7041.0,190249.99510319898,10202509.906630153,10392759.901733352,0.01830601273406386
Dependents,expected_min_total_from_contract,KRUSKAL,245.09950337316639,3.0397211039997987e-55,True,,,,,,,,,
Dependents,expected_total_senior,ANOVA,19.81795494573662,9.353716876920004e-06,True,,1142.0,2.0,1.0,1140.0,108120167.29369797,6219460638.209375,6327580805.503074,0.017087125493469205
Dependents,expected_total_senior,KRUSKAL,19.260229221613574,1.1405762573257402e-05,True,,,,,,,,,
Dependents,expected_total_from_payment_profile,ANOVA,27.398545390948662,1.7034184019364646e-07,True,,7043.0,2.0,1.0,7041.0,139300969.6634971,35798182473.026596,35937483442.690094,0.00387620268084831
Dependents,expected_total_from_payment_profile,KRUSKAL,43.81086895700765,3.6169081887811306e-11,True,,,,,,,,,
Dependents,total_charges_per_month,ANOVA,96.25154059894876,1.4111815312147757e-22,True,,7043.0,2.0,1.0,7041.0,86336.31776971524,6315680.8673793245,6402017.18514904,0.0134857991274988
Dependents,total_charges_per_month,KRUSKAL,86.5963417013997,1.3309312009710203e-20,True,,,,,,,,,
PhoneService,tenure,ANOVA,0.500477884554003,0.4793136332609933,False,,7043.0,2.0,1.0,7041.0,301.84387665728343,4246506.791080037,4246808.634956694,7.107545985772005e-05
PhoneService,tenure,KRUSKAL,0.49852120733546146,0.4801506124657583,False,,,,,,,,,
PhoneService,MonthlyCharges,ANOVA,459.4152291917001,8.759785775925438e-99,True,,7043.0,2.0,1.0,7041.0,389829.9850576627,5974536.215571742,6364366.200629404,0.06125197274460896
PhoneService,MonthlyCharges,KRUSKAL,404.6113312952458,5.459086588038423e-90,True,,,,,,,,,
PhoneService,TotalCharges,ANOVA,91.35973557905899,1.6173608080664198e-21,True,,7043.0,2.0,1.0,7041.0,460732326.85734314,35508162242.82209,35968894569.679436,0.01280918783769699
PhoneService,TotalCharges,KRUSKAL,51.30536250924328,7.905937837379851e-13,True,,,,,,,,,
PhoneService,expected_total_from_tenure_monthly,ANOVA,91.56710268452782,1.458409099060067e-21,True,,7043.0,2.0,1.0,7041.0,461361412.97314686,35476122029.71694,35937483442.69009,0.012837888710512665
PhoneService,expected_total_from_tenure_monthly,KRUSKAL,50.9675359473815,9.390630848775994e-13,True,,,,,,,,,
PhoneService,expected_total_for_zero_tenure,ANOVA,,,False,imbalanced groups,11.0,2.0,1.0,9.0,0.0,0.0,0.0,
PhoneService,expected_total_for_zero_tenure,KRUSKAL,,,False,ERROR: All numbers are identical in kruskal,,,,,,,,
PhoneService,expected_min_total_from_contract,ANOVA,22.229830963022863,2.4654069959829116e-06,True,,7043.0,2.0,1.0,7041.0,32708.73260304422,10360051.169130305,10392759.901733348,0.0031472614505016054
PhoneService,expected_min_total_from_contract,KRUSKAL,6.734445013113399,0.00945686496106972,True,,,,,,,,,
PhoneService,expected_total_senior,ANOVA,39.140680751546796,5.568964032396165e-10,True,,1142.0,2.0,1.0,1140.0,210039246.6147099,6117541558.888364,6327580805.503074,0.033194241696927765
PhoneService,expected_total_senior,KRUSKAL,37.85816294189837,7.607938280557557e-10,True,,,,,,,,,
PhoneService,expected_total_from_payment_profile,ANOVA,91.56710268452782,1.458409099060067e-21,True,,7043.0,2.0,1.0,7041.0,461361412.97314686,35476122029.71694,35937483442.69009,0.012837888710512665
PhoneService,expected_total_from_payment_profile,KRUSKAL,50.9675359473815,9.390630848775994e-13,True,,,,,,,,,
PhoneService,total_charges_per_month,ANOVA,461.25720510355336,3.683386795386751e-99,True,,7043.0,2.0,1.0,7041.0,393611.74552079436,6008405.439628245,6402017.18514904,0.061482456878414485
PhoneService,total_charges_per_month,KRUSKAL,408.58156062712976,7.462521245768531e-91,True,,,,,,,,,
MultipleLines,tenure,ANOVA,470.6059899066235,1.490812784460338e-192,True,,7043.0,3.0,2.0,7040.0,500819.57142668334,3745989.063530011,4246808.634956694,0.1179284527455027
MultipleLines,tenure,KRUSKAL,858.9490394956875,3.03100013326424e-187,True,,,,,,,,,
MultipleLines,MonthlyCharges,ANOVA,1195.8249992298188,0.0,True,,7043.0,3.0,2.0,7040.0,1613857.2165440624,4750508.984085342,6364366.200629404,0.25357705161347566
MultipleLines,MonthlyCharges,KRUSKAL,1983.5417012760504,0.0,True,,,,,,,,,
MultipleLines,TotalCharges,ANOVA,992.3012322746579,0.0,True,,7043.0,3.0,2.0,7040.0,7909928120.436621,28058966449.2428,35968894569.67942,0.21991023674951707
MultipleLines,TotalCharges,KRUSKAL,1565.1039135038125,0.0,True,,,,,,,,,
MultipleLines,expected_total_from_tenure_monthly,ANOVA,993.5382411696311,0.0,True,,7043.0,3.0,2.0,7040.0,7910703794.648798,28026779648.041286,35937483442.69009,0.2201240330938611
MultipleLines,expected_total_from_tenure_monthly,KRUSKAL,1566.5678831738267,0.0,True,,,,,,,,,
MultipleLines,expected_total_for_zero_tenure,ANOVA,,,False,imbalanced groups,11.0,3.0,2.0,8.0,0.0,0.0,0.0,
MultipleLines,expected_total_for_zero_tenure,KRUSKAL,,,False,ERROR: All numbers are identical in kruskal,,,,,,,,
MultipleLines,expected_min_total_from_contract,ANOVA,249.8650570545993,1.4566070340381412e-105,True,,7043.0,3.0,2.0,7040.0,688827.7183667243,9703932.183366628,10392759.901733352,0.06627957586625652
MultipleLines,expected_min_total_from_contract,KRUSKAL,286.0034472686266,7.85489751337303e-63,True,,,,,,,,,
MultipleLines,expected_total_senior,ANOVA,121.94054913174772,1.031084267917688e-48,True,,1142.0,3.0,2.0,1139.0,1115914707.4429567,5211666098.060118,6327580805.503075,0.17635724327257102
MultipleLines,expected_total_senior,KRUSKAL,213.6855135042441,3.969906800972998e-47,True,,,,,,,,,
MultipleLines,expected_total_from_payment_profile,ANOVA,993.5382411696311,0.0,True,,7043.0,3.0,2.0,7040.0,7910703794.648798,28026779648.041286,35937483442.69009,0.2201240330938611
MultipleLines,expected_total_from_payment_profile,KRUSKAL,1566.5678831738267,0.0,True,,,,,,,,,
MultipleLines,total_charges_per_month,ANOVA,1185.8093038215816,0.0,True,,7043.0,3.0,2.0,7040.0,1613233.9946734083,4788783.19047563,6402017.185149038,0.25198838866219825
MultipleLines,total_charges_per_month,KRUSKAL,1960.8725892456682,0.0,True,,,,,,,,,
InternetService,tenure,ANOVA,5.376106106854902,0.004644810002915552,True,,7043.0,3.0,2.0,7040.0,6476.271793379758,4240332.363163315,4246808.634956694,0.0015249737744412865
InternetService,tenure,KRUSKAL,11.628968208072175,0.0029840193739948274,True,,,,,,,,,
InternetService,MonthlyCharges,ANOVA,16160.584443491358,0.0,True,,7043.0,3.0,2.0,7040.0,5226058.08327955,1138308.117349855,6364366.200629405,0.8211435229422717
InternetService,MonthlyCharges,KRUSKAL,5529.747834096184,0.0,True,,,,,,,,,
InternetService,TotalCharges,ANOVA,802.0073465414886,1.648970038e-314,True,,7043.0,3.0,2.0,7040.0,6674518430.641508,29294376139.037926,35968894569.679436,0.18556362408390226
InternetService,TotalCharges,KRUSKAL,1252.5958578438554,1.005230001411121e-272,True,,,,,,,,,
InternetService,expected_total_from_tenure_monthly,ANOVA,803.9436214809692,3.40796848e-315,True,,7043.0,3.0,2.0,7040.0,6681796321.833884,29255687120.8562,35937483442.69009,0.18592833113897417
InternetService,expected_total_from_tenure_monthly,KRUSKAL,1254.8962973227665,3.1822284633137853e-273,True,,,,,,,,,
InternetService,expected_total_for_zero_tenure,ANOVA,,,False,imbalanced groups,11.0,2.0,1.0,9.0,0.0,0.0,0.0,
InternetService,expected_total_for_zero_tenure,KRUSKAL,,,False,ERROR: All numbers are identical in kruskal,,,,,,,,
InternetService,expected_min_total_from_contract,ANOVA,138.01902938266238,1.6010130461141084e-59,True,,7043.0,3.0,2.0,7040.0,392124.43202800036,10000635.469705349,10392759.90173335,0.03773053892668107
InternetService,expected_min_total_from_contract,KRUSKAL,39.81948020202417,2.2558475047396707e-09,True,,,,,,,,,
InternetService,expected_total_senior,ANOVA,38.889989529931334,4.5919317292368687e-17,True,,1142.0,3.0,2.0,1139.0,404476660.5478518,5923104144.955221,6327580805.503073,0.06392279656011346
InternetService,expected_total_senior,KRUSKAL,69.18474437998081,9.478151406278e-16,True,,,,,,,,,
InternetService,expected_total_from_payment_profile,ANOVA,803.9436214809692,3.40796848e-315,True,,7043.0,3.0,2.0,7040.0,6681796321.833884,29255687120.8562,35937483442.69009,0.18592833113897417
InternetService,expected_total_from_payment_profile,KRUSKAL,1254.8962973227665,3.1822284633137853e-273,True,,,,,,,,,
InternetService,total_charges_per_month,ANOVA,15353.837388643613,0.0,True,,7043.0,3.0,2.0,7040.0,5208031.032376311,1193986.1527727284,6402017.185149039,0.8134984461549938
InternetService,total_charges_per_month,KRUSKAL,5484.743503503759,0.0,True,,,,,,,,,
PaymentMethod,tenure,ANOVA,446.4750270313799,1.4885105720481231e-265,True,,7043.0,4.0,3.0,7039.0,678920.1962435317,3567888.4387131627,4246808.634956694,0.15986597339356093
PaymentMethod,tenure,KRUSKAL,1158.8573414648963,6.18949150377748e-251,True,,,,,,,,,
PaymentMethod,MonthlyCharges,ANOVA,450.7992597484254,6.451945827445105e-268,True,,7043.0,4.0,3.0,7039.0,1025711.6802784947,5338654.520350909,6364366.200629404,0.16116478026940953
PaymentMethod,MonthlyCharges,KRUSKAL,1103.2512441974302,7.173095887256946e-239,True,,,,,,,,,
PaymentMethod,TotalCharges,ANOVA,329.61298830000476,2.827024149917611e-200,True,,7043.0,4.0,3.0,7039.0,4430512947.555436,31538381622.123993,35968894569.67943,0.1231762332582278
PaymentMethod,TotalCharges,KRUSKAL,1083.1265352463263,1.6662545142085725e-234,True,,,,,,,,,
PaymentMethod,expected_total_from_tenure_monthly,ANOVA,330.21392439268664,1.2836883068328294e-200,True,,7043.0,4.0,3.0,7039.0,4433718629.907574,31503764812.78251,35937483442.69008,0.12337309697764665
PaymentMethod,expected_total_from_tenure_monthly,KRUSKAL,1084.4142019784265,8.75760970959e-235,True,,,,,,,,,
PaymentMethod,expected_total_for_zero_tenure,ANOVA,,,False,imbalanced groups,10.0,2.0,1.0,8.0,0.0,0.0,0.0,
PaymentMethod,expected_total_for_zero_tenure,KRUSKAL,,,False,ERROR: All numbers are identical in kruskal,,,,,,,,
PaymentMethod,expected_min_total_from_contract,ANOVA,242.15351578152112,1.5246857657407978e-149,True,,7043.0,4.0,3.0,7039.0,972244.9815569005,9420514.92017645,10392759.90173335,0.0935502206102871
PaymentMethod,expected_min_total_from_contract,KRUSKAL,812.7774065778557,7.329728323972313e-176,True,,,,,,,,,
PaymentMethod,expected_total_senior,ANOVA,49.009421770640735,8.631623017087522e-30,True,,1142.0,4.0,3.0,1138.0,723978806.2002726,5603601999.302802,6327580805.503075,0.11441636676858093
PaymentMethod,expected_total_senior,KRUSKAL,143.96839645759397,5.268892622452465e-31,True,,,,,,,,,
PaymentMethod,expected_total_from_payment_profile,ANOVA,330.21392439268664,1.2836883068328294e-200,True,,7043.0,4.0,3.0,7039.0,4433718629.907574,31503764812.78251,35937483442.69008,0.12337309697764665
PaymentMethod,expected_total_from_payment_profile,KRUSKAL,1084.4142019784265,8.75760970959e-235,True,,,,,,,,,
PaymentMethod,total_charges_per_month,ANOVA,448.7773903034031,8.205927920010034e-267,True,,7043.0,4.0,3.0,7039.0,1027895.0814837638,5374122.1036652755,6402017.185149039,0.1605580009794732
PaymentMethod,total_charges_per_month,KRUSKAL,1097.5846867603013,1.2163758330321338e-237,True,,,,,,,,,
