feature_1,feature_2,method,correlation_value
expected_total_for_zero_tenure,total_charges_per_month,pearson,
expected_min_total_from_contract,expected_min_total_from_contract,pearson,1.0
expected_min_total_from_contract,expected_total_senior,pearson,0.6792964544131889
expected_min_total_from_contract,expected_total_from_payment_profile,pearson,0.7367976122604283
expected_min_total_from_contract,total_charges_per_month,pearson,0.3847120691848862
expected_total_senior,expected_total_senior,pearson,1.0
expected_total_senior,expected_total_from_payment_profile,pearson,0.9999945897853122
expected_total_senior,total_charges_per_month,pearson,0.5785615982515052
expected_total_from_payment_profile,expected_total_from_payment_profile,pearson,1.0
expected_total_from_payment_profile,total_charges_per_month,pearson,0.6485388232130165
total_charges_per_month,total_charges_per_month,pearson,1.0
tenure,tenure,spearman,1.0
tenure,MonthlyCharges,spearman,0.27634951467339053
tenure,TotalCharges,spearman,0.8896687747763236
tenure,expected_total_from_tenure_monthly,spearman,0.8900105107673252
tenure,expected_total_for_zero_tenure,spearman,
tenure,expected_min_total_from_contract,spearman,0.6768192473905307
tenure,expected_total_senior,spearman,0.927475954229548
tenure,expected_total_from_payment_profile,spearman,0.8900105107673252
tenure,total_charges_per_month,spearman,0.2745646944913991
MonthlyCharges,MonthlyCharges,spearman,1.0
MonthlyCharges,TotalCharges,spearman,0.638035797591008
MonthlyCharges,expected_total_from_tenure_monthly,spearman,0.6383285929751644
MonthlyCharges,expected_total_for_zero_tenure,spearman,
MonthlyCharges,expected_min_total_from_contract,spearman,0.20808921456944113
MonthlyCharges,expected_total_senior,spearman,0.628262900150954
MonthlyCharges,expected_total_from_payment_profile,spearman,0.6383285929751644
MonthlyCharges,total_charges_per_month,spearman,0.9908537018273285
TotalCharges,TotalCharges,spearman,1.0
TotalCharges,expected_total_from_tenure_monthly,spearman,0.9996103720110949
TotalCharges,expected_total_for_zero_tenure,spearman,
TotalCharges,expected_min_total_from_contract,spearman,0.6055012361939043
TotalCharges,expected_total_senior,spearman,0.9996151982804534
TotalCharges,expected_total_from_payment_profile,spearman,0.9996103720110949
TotalCharges,total_charges_per_month,spearman,0.6379176835682341
expected_total_from_tenure_monthly,expected_total_from_tenure_monthly,spearman,1.0
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,spearman,
expected_total_from_tenure_monthly,expected_min_total_from_contract,spearman,0.6053923677741696
expected_total_from_tenure_monthly,expected_total_senior,spearman,0.9999988760201978
expected_total_from_tenure_monthly,expected_total_from_payment_profile,spearman,1.0
expected_total_from_tenure_monthly,total_charges_per_month,spearman,0.6353099779868897
expected_total_for_zero_tenure,expected_total_for_zero_tenure,spearman,
expected_total_for_zero_tenure,expected_min_total_from_contract,spearman,
expected_total_for_zero_tenure,expected_total_senior,spearman,
expected_total_for_zero_tenure,expected_total_from_payment_profile,spearman,
expected_total_for_zero_tenure,total_charges_per_month,spearman,
expected_min_total_from_contract,expected_min_total_from_contract,spearman,1.0
expected_min_total_from_contract,expected_total_senior,spearman,0.5847210061000752
expected_min_total_from_contract,expected_total_from_payment_profile,spearman,0.6053923677741696
expected_min_total_from_contract,total_charges_per_month,spearman,0.2057383803039129
expected_total_senior,expected_total_senior,spearman,1.0
expected_total_senior,expected_total_from_payment_profile,spearman,0.9999988760201978
expected_total_senior,total_charges_per_month,spearman,0.6187671206399445
expected_total_from_payment_profile,expected_total_from_payment_profile,spearman,1.0
expected_total_from_payment_profile,total_charges_per_month,spearman,0.6353099779868897
total_charges_per_month,total_charges_per_month,spearman,1.0
tenure,tenure,kendall,1.0
tenure,MonthlyCharges,kendall,0.19055138228553958
tenure,TotalCharges,kendall,0.7347493589876212
tenure,expected_total_from_tenure_monthly,kendall,0.7359904582848333
tenure,expected_total_for_zero_tenure,kendall,
tenure,expected_min_total_from_contract,kendall,0.515765490171429
tenure,expected_total_senior,kendall,0.8105480944501245
tenure,expected_total_from_payment_profile,kendall,0.7359904582848333
tenure,total_charges_per_month,kendall,0.18887224766154026
MonthlyCharges,MonthlyCharges,kendall,1.0
MonthlyCharges,TotalCharges,kendall,0.45981139280660005
MonthlyCharges,expected_total_from_tenure_monthly,kendall,0.4606984239444568
MonthlyCharges,expected_total_for_zero_tenure,kendall,
MonthlyCharges,expected_min_total_from_contract,kendall,0.21493798543278936
MonthlyCharges,expected_total_senior,kendall,0.4496577610517899
MonthlyCharges,expected_total_from_payment_profile,kendall,0.4606984239444568
MonthlyCharges,total_charges_per_month,kendall,0.9253090828743527
TotalCharges,TotalCharges,kendall,1.0
TotalCharges,expected_total_from_tenure_monthly,kendall,0.9832628462200499
TotalCharges,expected_total_for_zero_tenure,kendall,
TotalCharges,expected_min_total_from_contract,kendall,0.4919912073338261
TotalCharges,expected_total_senior,kendall,0.9837947058511582
TotalCharges,expected_total_from_payment_profile,kendall,0.9832628462200499
TotalCharges,total_charges_per_month,kendall,0.4602800739373317
expected_total_from_tenure_monthly,expected_total_from_tenure_monthly,kendall,1.0
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,kendall,
expected_total_from_tenure_monthly,expected_min_total_from_contract,kendall,0.4921359579128676
expected_total_from_tenure_monthly,expected_total_senior,kendall,0.999920935906306
expected_total_from_tenure_monthly,expected_total_from_payment_profile,kendall,1.0
expected_total_from_tenure_monthly,total_charges_per_month,kendall,0.45736190402406307
expected_total_for_zero_tenure,expected_total_for_zero_tenure,kendall,1.0
expected_total_for_zero_tenure,expected_min_total_from_contract,kendall,
expected_total_for_zero_tenure,expected_total_senior,kendall,
expected_total_for_zero_tenure,expected_total_from_payment_profile,kendall,
expected_total_for_zero_tenure,total_charges_per_month,kendall,
expected_min_total_from_contract,expected_min_total_from_contract,kendall,1.0
expected_min_total_from_contract,expected_total_senior,kendall,0.4758664049121241
expected_min_total_from_contract,expected_total_from_payment_profile,kendall,0.49213595791286757
expected_min_total_from_contract,total_charges_per_month,kendall,0.1978167808352401
expected_total_senior,expected_total_senior,kendall,1.0
expected_total_senior,expected_total_from_payment_profile,kendall,0.999920935906306
expected_total_senior,total_charges_per_month,kendall,0.44088217041410926
expected_total_from_payment_profile,expected_total_from_payment_profile,kendall,1.0
expected_total_from_payment_profile,total_charges_per_month,kendall,0.45736190402406307
total_charges_per_month,total_charges_per_month,kendall,1.0
