source_section,source_file,test_family,test_name,test_type,outcome_col,group_col,effect_type,effect_value,effect_value_signed,effect_abs,effect_band,magnitude_label,p_value,statistic,n_total,notes,p_value_display
2.7.8,point_biserial_results.csv,correlation,TotalCharges,point_biserial,,,r_squared,0.039346378388773064,0.039346378388773064,0.039346378388773064,small,small,2.0214711348071308e-63,,,Variance explained (r^2),2.0214711348071308e-63
2.7.8,point_biserial_results.csv,correlation,expected_total_from_tenure_monthly,point_biserial,,,r,-0.1985245340850047,-0.1985245340850047,0.1985245340850047,small,small,1.5881049481300381e-63,,,Point-biserial correlation,1.5881049481300381e-63
2.7.8,point_biserial_results.csv,correlation,expected_total_from_tenure_monthly,point_biserial,,,r_squared,0.039411990633668195,0.039411990633668195,0.039411990633668195,small,small,1.5881049481300381e-63,,,Variance explained (r^2),1.5881049481300381e-63
2.7.8,point_biserial_results.csv,correlation,expected_min_total_from_contract,point_biserial,,,r,-0.28747575732285102,-0.28747575732285102,0.28747575732285102,small,small,4.3284940089826417e-134,,,Point-biserial correlation,4.3284940089826417e-134
2.7.8,point_biserial_results.csv,correlation,expected_min_total_from_contract,point_biserial,,,r_squared,0.082642311048346739,0.082642311048346739,0.082642311048346739,small,small,4.3284940089826417e-134,,,Variance explained (r^2),4.3284940089826417e-134
2.7.8,point_biserial_results.csv,correlation,expected_total_senior,point_biserial,,,r,-0.34287546375400668,-0.34287546375400668,0.34287546375400668,medium,medium,7.4988996195045098e-33,,,Point-biserial correlation,7.4988996195045098e-33
2.7.8,point_biserial_results.csv,correlation,expected_total_senior,point_biserial,,,r_squared,0.11756358364452515,0.11756358364452515,0.11756358364452515,medium,medium,7.4988996195045098e-33,,,Variance explained (r^2),7.4988996195045098e-33
2.7.8,point_biserial_results.csv,correlation,expected_total_from_payment_profile,point_biserial,,,r,-0.1985245340850047,-0.1985245340850047,0.1985245340850047,small,small,1.5881049481300381e-63,,,Point-biserial correlation,1.5881049481300381e-63
2.7.8,point_biserial_results.csv,correlation,expected_total_from_payment_profile,point_biserial,,,r_squared,0.039411990633668195,0.039411990633668195,0.039411990633668195,small,small,1.5881049481300381e-63,,,Variance explained (r^2),1.5881049481300381e-63
2.7.8,point_biserial_results.csv,correlation,total_charges_per_month,point_biserial,,,r,0.1940394772917656,0.1940394772917656,0.1940394772917656,small,small,1.0246250849608531e-60,,,Point-biserial correlation,1.0246250849608531e-60
2.7.8,point_biserial_results.csv,correlation,total_charges_per_month,point_biserial,,,r_squared,0.037651318747661616,0.037651318747661616,0.037651318747661616,small,small,1.0246250849608531e-60,,,Variance explained (r^2),1.0246250849608531e-60
2.7.6,proportion_tests.csv,risk,Churn rate by Contract,two_proportion_z,Churn,Contract,risk_difference,0.3987781901227519,0.3987781901227519,0.3987781901227519,very large,very large,0,29.722496885877881,,Absolute difference in proportions (rate_A - rate_B),0.0
2.7.6,proportion_tests.csv,risk,Churn rate by Contract,two_proportion_z,Churn,Contract,relative_risk,15.081854838709679,15.081854838709679,2.7134923549303758,very large,very large,0,29.722496885877881,,Relative risk (rate_A / rate_B),0.0
2.7.6,proportion_tests.csv,risk,Churn rate by Contract,two_proportion_z,Churn,Contract,odds_ratio,25.579814189189189,25.579814189189189,3.2418035322145875,very large,very large,0,29.722496885877881,,Odds ratio from 2x2 table,0.0
2.7.6,proportion_tests.csv,risk,TechSupport by SeniorCitizen,two_proportion_z,TechSupport,SeniorCitizen,risk_difference,0.074650887335133601,0.074650887335133601,0.074650887335133601,medium,medium,3.622940467629121e-07,5.0877722669352323,,Absolute difference in proportions (rate_A - rate_B),3.6229404676291210e-07
2.7.6,proportion_tests.csv,risk,TechSupport by SeniorCitizen,two_proportion_z,TechSupport,SeniorCitizen,relative_risk,1.3278896666797022,1.3278896666797022,0.2835909652832137,medium,medium,3.622940467629121e-07,5.0877722669352323,,Relative risk (rate_A / rate_B),3.6229404676291210e-07
2.7.6,proportion_tests.csv,risk,TechSupport by SeniorCitizen,two_proportion_z,TechSupport,SeniorCitizen,odds_ratio,1.4699725341454759,1.4699725341454759,0.38524371636131377,medium,medium,3.622940467629121e-07,5.0877722669352323,,Odds ratio from 2x2 table,3.6229404676291210e-07
2.7.6,proportion_tests.csv,risk,OnlineBackup by PaymentMethod,two_proportion_z,OnlineBackup,PaymentMethod,risk_difference,0.1516808397903672,0.1516808397903672,0.1516808397903672,large,large,0,10.424105721508294,,Absolute difference in proportions (rate_A - rate_B),0.0
2.7.6,proportion_tests.csv,risk,OnlineBackup by PaymentMethod,two_proportion_z,OnlineBackup,PaymentMethod,relative_risk,1.7862042242510352,1.7862042242510352,0.58009282320216893,large,large,0,10.424105721508294,,Relative risk (rate_A / rate_B),0.0
2.7.6,proportion_tests.csv,risk,OnlineBackup by PaymentMethod,two_proportion_z,OnlineBackup,PaymentMethod,odds_ratio,2.1995954776475468,2.1995954776475468,0.78827346966084144,large,large,0,10.424105721508294,,Odds ratio from 2x2 table,0.0
