section,section_name,stage,wall_clock_sec,cpu_time_sec,peak_memory_mb,rows_processed,perf_severity,notes
2.2.1,Type inference (numeric/categorical/other),2.2,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.2.2,Type casting & safe conversions,2.2,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.2.3,Datetime parsing & standardization,2.2,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.2.4,Boolean / flag normalization,2.2,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.2.5,Mixed-type column diagnostics,2.2,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.2.6,Type-mismatch / coercion error report,2.2,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.2.7,Post-cast profile snapshot,2.2,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.2.8,Section 2.2 aggregated report,2.2,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.2.9,Section 2.2 summary & gating hook,2.2,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.1,Base numeric validation,2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.2,Range rule enforcement,2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.3,Outlier detection (IQR & Z),2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.4,Enhanced numeric metrics,2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.5,Aggregated numeric report,2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.6,Unified numeric profile,2.3A,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.7.1,Time-series outliers,2.3B,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.7.2,Global temporal anomalies,2.3B,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.7.3,Correlation-based anomalies,2.3B,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.7.4,Rule confidence scores,2.3B,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.8,DQ rule catalog / model readiness,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.9,Model readiness impact summary,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.10,Dashboard & alert integration,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.11,Numeric audit metadata,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.12,Forecast sensitivity preview,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.13,Numeric explainability & bias diagnostics,2.3C,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.14,Data drift & monitoring hooks,2.3D,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.15,Cost & performance profiling,2.3D,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.3.16,Data contracts & threshold enforcement,2.3D,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.4.0,Section 2.4 driver / orchestration,2.4,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.4.1,Categorical profiling,2.4,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.4.2,Domain / allowed-values checks,2.4,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.4.3,Rare category handling,2.4,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.4.4,High-cardinality diagnostics,2.4,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.4.5,Categorical leakage / target overlap checks,2.4,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.4.6,Section 2.4 aggregated report,2.4,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.4.7,Section 2.4 summary & gating hook,2.4,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.5.0,Section 2.5 driver / orchestration,2.5,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.5.1,Row-level logic checks,2.5,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.5.2,Cross-column business rules,2.5,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.5.3,Temporal / lifecycle consistency checks,2.5,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.5.4,Section 2.5 aggregated report,2.5,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.5.5,Section 2.5 summary & gating hook,2.5,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.6.0,Section 2.6 driver / orchestration,2.6,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.6.1,Apply cleaned dataset write-out,2.6,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.6.2,Section 2 summary assembly,2.6,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
2.6.3,Final Section 2 status & export,2.6,,,,,,No instrumentation captured; populate SECTION_PERF_STATS to record real timings.
