feature_i,feature_j,cramers_v,theils_u_ij,theils_u_ji,relation_strength,is_target_relation,base_score
gender,PaperlessBilling,0.011754,0.0001,0.000102,weak,False,0.011754
gender,PaymentMethod,0.018646,0.000251,0.000127,weak,False,0.018646
gender,Churn,0.008612,5.4e-05,6.4e-05,weak,False,0.008612
gender,SeniorCitizen_flag_text,0.001874,3e-06,4e-06,weak,False,0.001874
Partner,Dependents,0.452676,0.157105,0.178221,moderate,False,0.452676
Partner,PhoneService,0.017706,0.000227,0.000494,weak,False,0.017706
Partner,MultipleLines,0.143898,0.014995,0.011023,weak,False,0.143898
Partner,InternetService,0.000907,1e-06,0.0,weak,False,0.000907
Partner,OnlineSecurity,0.15201,0.016754,0.011188,weak,False,0.15201
Partner,OnlineBackup,0.153337,0.01705,0.011139,weak,False,0.153337
Partner,DeviceProtection,0.166568,0.020137,0.013159,weak,False,0.166568
Partner,TechSupport,0.127642,0.011795,0.007862,weak,False,0.127642
Partner,StreamingTV,0.137343,0.013672,0.008887,weak,False,0.137343
Partner,StreamingMovies,0.129574,0.012164,0.007906,weak,False,0.129574
Partner,Contract,0.296039,0.064522,0.044741,weak,False,0.296039
Partner,PaperlessBilling,0.014877,0.00016,0.000164,weak,False,0.014877
Partner,PaymentMethod,0.162762,0.019209,0.009727,weak,False,0.162762
Partner,Churn,0.150448,0.016538,0.019796,weak,False,0.150448
Partner,SeniorCitizen_flag_text,0.016479,0.000196,0.000306,weak,False,0.016479
Dependents,PhoneService,0.001762,3e-06,5e-06,weak,False,0.001762
Dependents,MultipleLines,0.025094,0.000517,0.000335,weak,False,0.025094
Dependents,InternetService,0.180267,0.026674,0.015367,weak,False,0.180267
Dependents,OnlineSecurity,0.194579,0.031121,0.01832,weak,False,0.194579
Dependents,OnlineBackup,0.16276,0.021417,0.012335,weak,False,0.16276
Dependents,DeviceProtection,0.15757,0.01996,0.011499,weak,False,0.15757
Dependents,TechSupport,0.182377,0.027187,0.015974,weak,False,0.182377
Dependents,StreamingTV,0.147082,0.01717,0.009838,weak,False,0.147082
Dependents,StreamingMovies,0.141335,0.01571,0.009001,weak,False,0.141335
Dependents,Contract,0.244212,0.048297,0.029522,weak,False,0.244212
Dependents,PaperlessBilling,0.111377,0.010076,0.009099,weak,False,0.111377
Dependents,PaymentMethod,0.150744,0.019396,0.008658,weak,False,0.150744
Dependents,Churn,0.164221,0.023697,0.025004,weak,False,0.164221
Dependents,SeniorCitizen_flag_text,0.211185,0.044489,0.061282,weak,False,0.211185
PhoneService,MultipleLines,1.0,1.0,0.337605,strong,False,1.0
PhoneService,InternetService,0.452425,0.357452,0.107285,moderate,False,0.452425
PhoneService,OnlineSecurity,0.176272,0.08052,0.024694,weak,False,0.176272
PhoneService,OnlineBackup,0.172818,0.079016,0.02371,weak,False,0.172818
PhoneService,DeviceProtection,0.172317,0.078796,0.023649,weak,False,0.172317
PhoneService,TechSupport,0.176977,0.08083,0.024744,weak,False,0.176977
PhoneService,StreamingTV,0.180434,0.082447,0.024612,weak,False,0.180434
PhoneService,StreamingMovies,0.17752,0.081112,0.024211,weak,False,0.17752
PhoneService,Contract,0.003976,2.5e-05,8e-06,weak,False,0.003976
PhoneService,PaperlessBilling,0.016505,0.000426,0.0002,weak,False,0.016505
PhoneService,PaymentMethod,0.010297,0.000167,3.9e-05,weak,False,0.010297
PhoneService,Churn,0.011942,0.000227,0.000125,weak,False,0.011942
PhoneService,SeniorCitizen_flag_text,0.008576,0.000117,8.4e-05,weak,False,0.008576
MultipleLines,InternetService,0.396726,0.176171,0.15662,moderate,False,0.396726
MultipleLines,OnlineSecurity,0.229608,0.065993,0.059949,weak,False,0.229608
MultipleLines,OnlineBackup,0.245163,0.074111,0.065869,weak,False,0.245163
MultipleLines,DeviceProtection,0.246342,0.074947,0.066628,weak,False,0.246342
MultipleLines,TechSupport,0.230162,0.066257,0.060078,weak,False,0.230162
MultipleLines,StreamingTV,0.261791,0.082722,0.073145,weak,False,0.261791
MultipleLines,StreamingMovies,0.262356,0.083277,0.073629,weak,False,0.262356
MultipleLines,Contract,0.080408,0.006854,0.006465,weak,False,0.080408
MultipleLines,PaperlessBilling,0.166341,0.014846,0.02069,weak,False,0.166341
MultipleLines,PaymentMethod,0.16693,0.031004,0.021357,weak,False,0.16693
MultipleLines,Churn,0.040109,0.00085,0.001385,weak,False,0.040109
MultipleLines,SeniorCitizen_flag_text,0.146643,0.01141,0.024254,weak,False,0.146643
InternetService,OnlineSecurity,0.724466,0.51158,0.522737,strong,False,0.724466
InternetService,OnlineBackup,0.707184,0.493274,0.493146,strong,False,0.707184
InternetService,DeviceProtection,0.707108,0.493194,0.493178,strong,False,0.707108
InternetService,TechSupport,0.722904,0.509902,0.520061,strong,False,0.722904
InternetService,StreamingTV,0.717099,0.503772,0.501057,strong,False,0.717099
InternetService,StreamingMovies,0.716008,0.502601,0.499846,strong,False,0.716008
InternetService,Contract,0.206921,0.040362,0.042826,weak,False,0.206921
InternetService,PaperlessBilling,0.378427,0.069268,0.108582,moderate,False,0.378427
InternetService,PaymentMethod,0.313123,0.097779,0.075762,moderate,False,0.313123
InternetService,Churn,0.322455,0.052441,0.09605,moderate,False,0.322455
InternetService,SeniorCitizen_flag_text,0.265324,0.036222,0.086609,weak,False,0.265324
OnlineSecurity,OnlineBackup,0.718434,0.516136,0.504989,strong,False,0.718434
OnlineSecurity,DeviceProtection,0.717291,0.514892,0.503887,strong,False,0.717291
OnlineSecurity,TechSupport,0.733071,0.531959,0.530978,strong,False,0.733071
OnlineSecurity,StreamingTV,0.707788,0.504677,0.491245,strong,False,0.707788
OnlineSecurity,StreamingMovies,0.708208,0.505127,0.491637,strong,False,0.708208
OnlineSecurity,Contract,0.301349,0.091886,0.095414,moderate,False,0.301349
OnlineSecurity,PaperlessBilling,0.3418,0.05667,0.086938,moderate,False,0.3418
OnlineSecurity,PaymentMethod,0.304959,0.090134,0.068348,moderate,False,0.304959
OnlineSecurity,Churn,0.3474,0.062362,0.111783,moderate,False,0.3474
OnlineSecurity,SeniorCitizen_flag_text,0.21107,0.025703,0.060145,weak,False,0.21107
OnlineBackup,DeviceProtection,0.719125,0.505766,0.505881,strong,False,0.719125
OnlineBackup,TechSupport,0.719834,0.506483,0.516709,strong,False,0.719834
OnlineBackup,StreamingTV,0.714699,0.501069,0.498499,strong,False,0.714699
OnlineBackup,StreamingMovies,0.713682,0.49999,0.497378,strong,False,0.713682
OnlineBackup,Contract,0.258572,0.065377,0.069386,weak,False,0.258572
OnlineBackup,PaperlessBilling,0.321046,0.048395,0.075883,moderate,False,0.321046
OnlineBackup,PaymentMethod,0.282517,0.077402,0.059989,weak,False,0.282517
OnlineBackup,Churn,0.292316,0.044143,0.080872,weak,False,0.292316
OnlineBackup,SeniorCitizen_flag_text,0.182774,0.020456,0.048925,weak,False,0.182774
DeviceProtection,TechSupport,0.726485,0.513751,0.524003,strong,False,0.726485
DeviceProtection,StreamingTV,0.733661,0.521826,0.519031,strong,False,0.733661
DeviceProtection,StreamingMovies,0.736047,0.524507,0.521648,strong,False,0.736047
DeviceProtection,Contract,0.296976,0.08854,0.093948,weak,False,0.296976
DeviceProtection,PaperlessBilling,0.321631,0.048602,0.076189,moderate,False,0.321631
DeviceProtection,PaymentMethod,0.287021,0.080131,0.06209,weak,False,0.287021
DeviceProtection,Churn,0.28158,0.04144,0.075902,weak,False,0.28158
DeviceProtection,SeniorCitizen_flag_text,0.183071,0.020505,0.04903,weak,False,0.183071
TechSupport,StreamingTV,0.716266,0.512893,0.500165,strong,False,0.716266
TechSupport,StreamingMovies,0.716327,0.512964,0.500187,strong,False,0.716327
TechSupport,Contract,0.331021,0.113228,0.117793,moderate,False,0.331021
TechSupport,PaperlessBilling,0.329524,0.052268,0.080333,moderate,False,0.329524
TechSupport,PaymentMethod,0.306888,0.090989,0.069124,moderate,False,0.306888
TechSupport,Churn,0.342916,0.060653,0.10892,moderate,False,0.342916
TechSupport,SeniorCitizen_flag_text,0.22405,0.028159,0.066013,weak,False,0.22405
StreamingTV,StreamingMovies,0.771042,0.562384,0.562331,strong,False,0.771042
StreamingTV,Contract,0.235901,0.053813,0.057407,weak,False,0.235901
StreamingTV,PaperlessBilling,0.336061,0.05327,0.083957,moderate,False,0.336061
StreamingTV,PaymentMethod,0.273671,0.075384,0.058727,weak,False,0.273671
StreamingTV,Churn,0.230502,0.029947,0.055147,weak,False,0.230502
StreamingTV,SeniorCitizen_flag_text,0.185586,0.020768,0.049926,weak,False,0.185586
StreamingMovies,Contract,0.23864,0.055172,0.058863,weak,False,0.23864
StreamingMovies,PaperlessBilling,0.332111,0.051889,0.081788,moderate,False,0.332111
StreamingMovies,PaymentMethod,0.274659,0.075998,0.05921,weak,False,0.274659
StreamingMovies,Churn,0.230951,0.030031,0.055308,weak,False,0.230951
StreamingMovies,SeniorCitizen_flag_text,0.188962,0.021275,0.05115,weak,False,0.188962
Contract,PaperlessBilling,0.177645,0.015768,0.023296,weak,False,0.177645
Contract,PaymentMethod,0.266655,0.076658,0.05598,weak,False,0.266655
Contract,Churn,0.410116,0.098573,0.170158,moderate,False,0.410116
Contract,SeniorCitizen_flag_text,0.143868,0.011019,0.024831,weak,False,0.143868
PaperlessBilling,PaymentMethod,0.248719,0.046405,0.022937,weak,False,0.248719
PaperlessBilling,Churn,0.191825,0.028392,0.033174,weak,False,0.191825
PaperlessBilling,SeniorCitizen_flag_text,0.15653,0.019227,0.029327,weak,False,0.15653
PaymentMethod,Churn,0.303359,0.03255,0.076942,moderate,False,0.303359
PaymentMethod,SeniorCitizen_flag_text,0.195985,0.015013,0.046329,weak,False,0.195985
Churn,SeniorCitizen_flag_text,0.150889,0.018281,0.023865,weak,False,0.150889
