feature_1,feature_2,method,correlation_value
expected_total_senior,expected_total_from_payment_profile,pearson,0.9999945897853122
expected_total_from_payment_profile,expected_total_from_payment_profile,pearson,1.0
tenure,tenure,spearman,1.0
tenure,MonthlyCharges,spearman,0.27634951467339053
tenure,TotalCharges,spearman,0.8873795923254663
tenure,expected_total_from_tenure_monthly,spearman,0.8900105107673252
tenure,expected_total_for_zero_tenure,spearman,
tenure,expected_min_total_from_contract,spearman,0.6768192473905307
tenure,expected_total_senior,spearman,0.927475954229548
tenure,expected_total_from_payment_profile,spearman,0.8900105107673252
MonthlyCharges,MonthlyCharges,spearman,1.0
MonthlyCharges,TotalCharges,spearman,0.637456887807472
MonthlyCharges,expected_total_from_tenure_monthly,spearman,0.6383285929751644
MonthlyCharges,expected_total_for_zero_tenure,spearman,
MonthlyCharges,expected_min_total_from_contract,spearman,0.20808921456944113
MonthlyCharges,expected_total_senior,spearman,0.628262900150954
MonthlyCharges,expected_total_from_payment_profile,spearman,0.6383285929751644
TotalCharges,TotalCharges,spearman,1.0
TotalCharges,expected_total_from_tenure_monthly,spearman,0.9973074044282513
TotalCharges,expected_total_for_zero_tenure,spearman,
TotalCharges,expected_min_total_from_contract,spearman,0.6044786222220405
TotalCharges,expected_total_senior,spearman,0.9996151982804534
TotalCharges,expected_total_from_payment_profile,spearman,0.9973074044282513
expected_total_from_tenure_monthly,expected_total_from_tenure_monthly,spearman,1.0
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,spearman,
expected_total_from_tenure_monthly,expected_min_total_from_contract,spearman,0.6053923677741696
expected_total_from_tenure_monthly,expected_total_senior,spearman,0.9999988760201978
expected_total_from_tenure_monthly,expected_total_from_payment_profile,spearman,1.0
expected_total_for_zero_tenure,expected_total_for_zero_tenure,spearman,
expected_total_for_zero_tenure,expected_min_total_from_contract,spearman,
expected_total_for_zero_tenure,expected_total_senior,spearman,
expected_total_for_zero_tenure,expected_total_from_payment_profile,spearman,
expected_min_total_from_contract,expected_min_total_from_contract,spearman,1.0
expected_min_total_from_contract,expected_total_senior,spearman,0.5847210061000752
expected_min_total_from_contract,expected_total_from_payment_profile,spearman,0.6053923677741696
expected_total_senior,expected_total_senior,spearman,1.0
expected_total_senior,expected_total_from_payment_profile,spearman,0.9999988760201978
expected_total_from_payment_profile,expected_total_from_payment_profile,spearman,1.0
tenure,tenure,kendall,1.0
tenure,MonthlyCharges,kendall,0.19055138228553958
tenure,TotalCharges,kendall,0.7321477624062788
tenure,expected_total_from_tenure_monthly,kendall,0.7359904582848333
tenure,expected_total_for_zero_tenure,kendall,
tenure,expected_min_total_from_contract,kendall,0.515765490171429
tenure,expected_total_senior,kendall,0.8105480944501245
tenure,expected_total_from_payment_profile,kendall,0.7359904582848333
MonthlyCharges,MonthlyCharges,kendall,1.0
MonthlyCharges,TotalCharges,kendall,0.4593906293374497
MonthlyCharges,expected_total_from_tenure_monthly,kendall,0.4606984239444568
MonthlyCharges,expected_total_for_zero_tenure,kendall,
MonthlyCharges,expected_min_total_from_contract,kendall,0.21493798543278936
MonthlyCharges,expected_total_senior,kendall,0.4496577610517899
MonthlyCharges,expected_total_from_payment_profile,kendall,0.4606984239444568
TotalCharges,TotalCharges,kendall,1.0
TotalCharges,expected_total_from_tenure_monthly,kendall,0.9801657468812426
TotalCharges,expected_total_for_zero_tenure,kendall,
TotalCharges,expected_min_total_from_contract,kendall,0.49095986635649963
TotalCharges,expected_total_senior,kendall,0.9837947058511582
TotalCharges,expected_total_from_payment_profile,kendall,0.9801657468812426
expected_total_from_tenure_monthly,expected_total_from_tenure_monthly,kendall,1.0
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,kendall,
expected_total_from_tenure_monthly,expected_min_total_from_contract,kendall,0.4921359579128676
expected_total_from_tenure_monthly,expected_total_senior,kendall,0.999920935906306
expected_total_from_tenure_monthly,expected_total_from_payment_profile,kendall,1.0
expected_total_for_zero_tenure,expected_total_for_zero_tenure,kendall,1.0
expected_total_for_zero_tenure,expected_min_total_from_contract,kendall,
expected_total_for_zero_tenure,expected_total_senior,kendall,
expected_total_for_zero_tenure,expected_total_from_payment_profile,kendall,
expected_min_total_from_contract,expected_min_total_from_contract,kendall,1.0
expected_min_total_from_contract,expected_total_senior,kendall,0.4758664049121241
expected_min_total_from_contract,expected_total_from_payment_profile,kendall,0.49213595791286757
expected_total_senior,expected_total_senior,kendall,1.0
expected_total_senior,expected_total_from_payment_profile,kendall,0.999920935906306
expected_total_from_payment_profile,expected_total_from_payment_profile,kendall,1.0
