apply_coercion,avg_readiness,bucket_width,check,dataset_version_id,delta_threshold,detail,details,dtype_after_enforce,encoded_target,feature_groups_csv,feature_groups_json,feature_groups_yaml,feature_space_json,feature_space_yaml,full_row_dupes,git_hash,group_counts_json,has_full_dupes,imbalance_ratio,level,max_cardinality,max_null_pct,max_null_pct_col,max_outlier_pct,max_psi,n_actual,n_alerts,n_anomalies,n_anomalous_buckets,n_applied,n_attempted,n_binary,n_binary_candidates,n_binary_features,n_binary_numeric,n_boolean,n_buckets,n_candidate_ids,n_categorical,n_cols,n_columns,n_columns_checked,n_columns_coerced_ok,n_constant_cols,n_continuous,n_contracts,n_contracts_fail_hard,n_contracts_warn_soft,n_corr_pairs,n_critical,n_datetime,n_drift_high,n_drift_medium,n_excluded_from_model,n_expected,n_failed,n_feature_groups,n_features,n_features_checked,n_features_monitored,n_features_simulated,n_flags,n_groups,n_hard_rules,n_high_bias_risk,n_high_card_cols,n_high_cv,n_high_outlier_cols,n_id,n_id_columns,n_id_configured,n_id_in_df,n_ids,n_inconsistent_rows,n_invalid_raw,n_invalid_target_vals,n_low_readiness,n_mismatched,n_missing,n_neg,n_non_01_values,n_non_null,n_non_unique,n_null_raw,n_numeric,n_numeric_checked,n_numeric_cols,n_numeric_with_rules,n_ok,n_pairs_anomalous,n_pairs_checked,n_perf_critical,n_perf_warn,n_pos,n_preview_cols,n_preview_rows,n_protected,n_protected_columns,n_red,n_renamed_pairs,n_required,n_rows,n_rules,n_sections,n_soft_rules,n_target,n_time_buckets,n_time_outliers,n_unassigned,n_unexpected,n_valid_ok,n_warn,n_yellow,n_zero_inflated,overall_null_pct,pct_invalid_raw,pseudo_time_col,raw_target_col,raw_target_column,section,section_name,source_catalog_csv,status,target_column,temporal_enabled,time_bucket,time_column,timestamp,top_missing_col,top_missing_pct,total_mem_mb,total_runtime_sec,window_size
,,,Feature group catalog (column-level),,,Feature groups registered for 22 column(s); catalog written to feature_groups_2_1_5.csv.,,,,feature_groups_2_1_5.csv,feature_groups_2_1_5.json,feature_groups_2_1_5.yaml,,,,,"{""categorical_low_card"": 15, ""id"": 1, ""numeric_continuous"": 3, ""numeric_flag"": 1, ""target"": 1, ""target_aux"": 1}",,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,0.0,,,,,,,,,,,2.1.5,Feature group registration,,OK,,,,,2025-12-11 13:12:13.158780,,,,,
,,,Feature space config (groups → columns),,,"Feature space scaffolding built from feature_groups_2_1_5.csv; JSON: feature_space_2_1_6.json, YAML: feature_space_2_1_6.yaml.",,,,,,,feature_space_2_1_6.json,feature_space_2_1_6.yaml,,,"{""categorical_low_card"": 15, ""id"": 1, ""numeric_continuous"": 3, ""numeric_flag"": 1, ""target"": 1, ""target_aux"": 1}",,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.1.6,Feature space scaffolding,feature_groups_2_1_5.csv,OK,,,,,2025-12-11 13:12:13.227602,,,,,
,,,Schema-driven dtype alignment (read-only),,,Baseline: dtype_baseline_report.csv; Enforcement: dtype_enforcement_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.7A,Column-type alignment audit (no coercion),,WARN,,,,,2025-12-11 13:12:13.301557,,,,,
,,,Apply SCHEMA_EXPECTED_DTYPES to df (mutable),,,Coercion skipped or no applicable columns.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.7.5,Optional dtype coercion apply phase,,SKIP,,,,,2025-12-11 13:12:13.404841,,,,,
,,,Compare df columns to EXPECTED_SCHEMA_COLUMNS / SCHEMA_EXPECTED_DTYPES,,,Column comparison: schema_column_comparison.csv; Drift summary: schema_drift_report.csv,,,,,,,,,,,,,,info,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,2.1.8,Structural drift detection & expected schema comparison,,OK,,,,,2025-12-11 13:12:13.459304,,,,,
,,,Feature roles & groups catalog,,,Roles: feature_roles.csv; Groups YAML: feature_groups_2_1_9.yaml,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,,,,,,,,,,,2.1.9,Column role classification & feature group registration,,OK,,,,,2025-12-11 21:12:13.554548+00:00,,,,,
,,,Column-level missingness baseline,,,Missingness baseline: missingness_baseline.csv,,,,,,,,,,,,,,info,,0.1562,TotalCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0071,,,,,2.1.10,Missingness baseline (pre-coercion),,OK,,,,,2025-12-11 13:12:13.716948,,,,,
,,,Binary vs continuous numeric classification,,,Audit written to binary_continuous_audit.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.11,Binary vs continuous feature audit,,OK,,,,,2025-12-11 13:12:13.815734,,,,,
,,,Per-column cardinality overview,,,Cardinality summary written to feature_cardinality_summary.csv,,,,,,,,,,,,,,info,7043.0,,,,,,,,,,,,,,,,,,,,22.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.12,Feature cardinality summary,,OK,,,,,2025-12-11 13:12:13.883199,,,,,
,,,Merged schema consistency snapshot,,,Schema consistency report written to schema_consistency_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.13,Structural summary report (Section 2.1),,OK,,,,,2025-12-11 13:12:13.961301,,,,,
,,,Column type detection summary & type map artifact,,,Type map → column_type_map.json; summary → type_detection_summary.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,5.0,,,12.0,,22.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.1,Auto-detect data types,,OK,,,,,2025-12-11 21:12:14.465391+00:00,,,,,
0.0,,,Coerce numeric/datetime-like strings with audit log,,,Coercion log → coercion_log.csv; df mutated only when APPLY_COERCION=True & success is high,,,,,,,,,,,,,,info,,,,,,,,,,0.0,0.0,,,,,,,,,,22.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.2,Coercion attempt & logging,,OK,,,,,2025-12-11 21:12:14.581144+00:00,,,,,
,,,Detect binary-like columns and flag semantics,,,Binary catalog → binary_field_report.csv; feeds downstream numeric/categorical checks,,,,,,,,,,,,,,info,,,,,,,,,,,,,8.0,6.0,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.3,Binary field detection,,OK,,,,,2025-12-11 21:12:14.833562+00:00,,,,,
,,,Map SeniorCitizen 0/1 into human-readable + boolean flags,,,seniorcitizen_flag_summary.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7043.0,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,2.2.4,SeniorCitizen binary flag retype,,OK,,,,,2025-12-11 21:12:14.936320+00:00,,,,,
,,,"Ensure target flag exists, is 0/1, and matches raw label",,,target_field_validation.csv; type map updated at column_type_map.json,,Int8,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,Churn,2.2.5,Churn flag validation,,OK,Churn_flag,,,,2025-12-11 21:12:15.035704+00:00,,,,,
,,,Persist ID/protected contracts for downstream steps,,,protected_columns.json; id_protected_registry.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.2.6,ID & protected columns registration,,OK,,,,,2025-12-11 21:12:15.107141+00:00,,,,,
,,,Assign each column into numeric/categorical/binary/id/target groups,,,feature_group_registry.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,info,,,,,,,,,,,,7.0,,,,,,,12.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.2.7,Feature group classification,,OK,,,,,2025-12-11 21:12:15.281566+00:00,,,,,
,,,Plot distribution of column types and feature groups,,,type_distribution_by_feature_group.png under /Users/b/DATA/PROJECTS/Telco/Level_3/resources/figures/section2,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.8,Type summary visualization,,INFO,,,,,2025-12-11 21:12:16.768069+00:00,,,,,
,,,"Numeric dtype validity, nulls & non-finite values",,,numeric_validation_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,2.3.1,Base numeric validation,,OK,,,,,2025-12-11 21:12:16.890819+00:00,,,,,
,,,Apply min/max domain rules to numeric columns,,,range_violation_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.3.2,Range rule enforcement,,OK,,,,,2025-12-11 21:12:17.009733+00:00,,,,,
,,,Apply min/max domain rules to numeric columns,,,range_violation_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2.3.2,Range rule enforcement,,OK,,,,,2025-12-11 21:12:17.138555+00:00,,,,,
,,,IQR and Z-score based outliers per numeric feature,,,outlier_report_iqr_z.csv,,,,,,,,,,,,,,info,,,,16.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.3,Outlier detection (IQR & Z),,WARN,,,,,2025-12-11 21:12:17.469338+00:00,,,,,
,,,"CV, MAD, entropy, zero/negative %, etc.",,,numeric_metrics_enhanced.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.3.4,Enhanced numeric metrics,,WARN,,,,,2025-12-11 21:12:17.581508+00:00,,,,,
,,,Merge core numeric validation diagnostics into one table,,,numeric_integrity_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.3.5,Aggregated numeric report,,OK,,,,,2025-12-11 21:12:17.682411+00:00,,,,,
,,,Final per-column numeric snapshot,,,numeric_profile_df.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.6,Unified numeric profile,,OK,,,,,2025-12-11 21:12:17.751938+00:00,,,,,
,,,Determine whether dataset supports real temporal diagnostics,,,"No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.3.7.0,Temporal capability detector,,OK,,0.0,M,,2025-12-11 21:12:17.812721+00:00,,,,,
,,,Mini monitoring: bucketed stats + correlation drift,,,"Skipped: No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.3.7,Temporal & correlation diagnostics,,SKIP,,,M,,2025-12-11 21:12:17.859173+00:00,,,,,
,,,Bucketed temporal outliers per numeric feature,,,Skipped: dataset does not support real temporal diagnostics.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7.1,Time-series outliers,,SKIP,,,M,,2025-12-11 21:12:17.918633+00:00,,,,,
,,,Identify periods with cross-metric temporal spikes,,,Skipped: dataset does not support real temporal diagnostics.,,,,,,,,,,,,,,info,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.7.2,Global temporal anomalies,,SKIP,,,,,2025-12-11 21:12:17.970988+00:00,,,,,
,,,Detect correlation drift vs baseline,,0.0,Skipped: dataset does not support real temporal diagnostics.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.7.3,Correlation-based anomalies,,SKIP,,,,,2025-12-11 21:12:18.022945+00:00,,,,,0.0
,,,Assign confidence & hardness to numeric rules,,,rule_confidence_scores.csv under numeric_integrity,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,2.3.7.4,Rule confidence scores,,OK,,,,,2025-12-11 21:12:18.101727+00:00,,,,,
,,12.0,Simulate temporal behavior using tenure-like buckets,,,Pseudo-temporal profile → pseudo_temporal_profile.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tenure,,,2.3.7.5,Pseudo-temporal profile (tenure buckets),,OK,,,,,2025-12-11 21:12:18.188935+00:00,,,,,
,,12.0,Simulate temporal behavior using tenure-like buckets,,,Pseudo-temporal profile → pseudo_temporal_profile.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tenure,,,2.3.8,Pseudo-temporal profile (tenure buckets),,OK,,,,,2025-12-11 21:12:18.264091+00:00,,,,,
,0.9770806,,Per-feature readiness scores based on numeric quality,,,model_readiness_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.9,Model readiness impact summary,,OK,,,,,2025-12-11 21:17:50.667383+00:00,,,,,
,,,Severity-coded summary for dashboards/alerts,,,dashboard_alerts.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,2.3.10,Dashboard & alert integration,,OK,,,,,2025-12-11 21:19:35.628092+00:00,,,,,
,,,Lineage record for numeric integrity run,,,numeric_audit_metadata.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.11,Numeric audit metadata,,OK,,,,,2025-12-11 21:20:27.816715+00:00,,,,,
,,,Lineage record for numeric integrity run,,,numeric_audit_metadata.json,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.11,Numeric audit metadata,,OK,,,,,2025-12-11 21:21:28.855810+00:00,,,,,
,,,Optional scenario impact simulation,,,forecast_sensitivity.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.12,Forecast sensitivity preview,,INFO,,,,,2025-12-11 21:22:11.486762+00:00,,,,,
,,,Relate numeric issues to target & fairness risk,,,numeric_bias_risk_report.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.13,Numeric explainability & bias diagnostics,,OK,,,,,2025-12-11 21:22:55.193722+00:00,,,,,
