blanks,column,convertible_pct,convertible_pct_raw,convertible_pct_stripped,dtype,empty_strings,examples,examples_after_strip,infinite_count,kurtosis,likely_numeric_text,max,mean,median,min,mixed_python_types,n_levels,n_not_allowed,n_rows,n_violations,non_convertible_count,non_convertible_count_after_strip,nulls,pct_blank,pct_missing,pct_not_allowed,q1,q3,rule,run_ts,section,skew,std,suggested_fix,threshold,top_count,top_freq,top_value,total_issues,unique_count,whitespace_only
,DeviceProtection,,0.0,0.0,,,,"['No', 'Yes', 'No internet service']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,TechSupport,,0.0,0.0,,,,"['No', 'Yes', 'No internet service']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,StreamingTV,,0.0,0.0,,,,"['No', 'Yes', 'No internet service']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,StreamingMovies,,0.0,0.0,,,,"['No', 'Yes', 'No internet service']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,Contract,,0.0,0.0,,,,"['Month-to-month', 'One year', 'Two year']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,PaperlessBilling,,0.0,0.0,,,,"['Yes', 'No']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,PaymentMethod,,0.0,0.0,,,,"['Electronic check', 'Mailed check', 'Bank transfer (automatic)', 'Credit card (automatic)']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,Churn,,0.0,0.0,,,,"['No', 'Yes']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,MonthlyCharges,,,,float64,,[],,,-1.2572596945495056,,118.75,64.76169246059918,70.35,18.25,,,,7043.0,0.0,,,,,,,35.5,89.85,distribution_summary,2025-10-28T13:31:53,2.6_numeric_distribution_outliers,-0.2205244339439803,30.090047097678493,,,,,,,,
,SeniorCitizen,,,,int64,,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",,,1.3625958957939108,,1.0,0.1621468124378816,0.0,0.0,,,,7043.0,1142.0,,,,,,,0.0,0.0,outliers_IQR>1.5×,2025-10-28T13:31:53,2.6_numeric_distribution_outliers,1.8336327440928564,0.3686116056100131,,1.5,,,,,,
,TotalCharges,,,,float64,,[],,,-0.2317987608693794,,8684.8,2283.300440841866,1397.475,18.8,,,,7043.0,0.0,,,,,,,401.45,3794.7375,distribution_summary,2025-10-28T13:31:53,2.6_numeric_distribution_outliers,0.9616424997242504,2266.771361883145,,,,,,,,
,tenure,,,,int64,,[],,,-1.387371635971685,,72.0,32.37114865824223,29.0,0.0,,,,7043.0,0.0,,,,,,,9.0,55.0,distribution_summary,2025-10-28T13:31:53,2.6_numeric_distribution_outliers,0.2395397495619829,24.55948102309446,,,,,,,,
,SeniorCitizen,100.00,,,,,,,0.0,,,,,,,1.0,,,,,0.0,,,,,,,,existing_numeric_check,,2.5_numeric_verification,,,"ensure finite; investigate NaN origins (blanks, bad parses)",,,,,,,
,tenure,100.00,,,,,,,0.0,,,,,,,1.0,,,,,0.0,,,,,,,,existing_numeric_check,,2.5_numeric_verification,,,"ensure finite; investigate NaN origins (blanks, bad parses)",,,,,,,
,MonthlyCharges,100.00,,,,,,,0.0,,,,,,,1.0,,,,,0.0,,,,,,,,existing_numeric_check,,2.5_numeric_verification,,,"ensure finite; investigate NaN origins (blanks, bad parses)",,,,,,,
,TotalCharges,99.84,,,,,,,0.0,,,,,,,1.0,,,,,11.0,,,,,,,,existing_numeric_check,,2.5_numeric_verification,,,"ensure finite; investigate NaN origins (blanks, bad parses)",,,,,,,
,customerID,,0.00,0.00,,,,"['7590-VHVEG', '5575-GNVDE', '3668-QPYBK', '7795-CFOCW', '9237-HQITU']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,gender,,0.00,0.00,,,,"['Female', 'Male']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,Partner,,0.00,0.00,,,,"['Yes', 'No']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,Dependents,,0.00,0.00,,,,"['No', 'Yes']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,PhoneService,,0.00,0.00,,,,"['No', 'Yes']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,MultipleLines,,0.00,0.00,,,,"['No phone service', 'No', 'Yes']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,InternetService,,0.00,0.00,,,,"['DSL', 'Fiber optic', 'No']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,OnlineSecurity,,0.00,0.00,,,,"['No', 'Yes', 'No internet service']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,OnlineBackup,,0.00,0.00,,,,"['Yes', 'No', 'No internet service']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,DeviceProtection,,0.00,0.00,,,,"['No', 'Yes', 'No internet service']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,TechSupport,,0.00,0.00,,,,"['No', 'Yes', 'No internet service']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,StreamingTV,,0.00,0.00,,,,"['No', 'Yes', 'No internet service']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,StreamingMovies,,0.00,0.00,,,,"['No', 'Yes', 'No internet service']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,Contract,,0.00,0.00,,,,"['Month-to-month', 'One year', 'Two year']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,PaperlessBilling,,0.00,0.00,,,,"['Yes', 'No']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,PaymentMethod,,0.00,0.00,,,,"['Electronic check', 'Mailed check', 'Bank transfer (automatic)', 'Credit card (automatic)']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
,Churn,,0.00,0.00,,,,"['No', 'Yes']",,,False,,,,,1.0,,,,,,7043.0,,,,,,,text_to_numeric_probe,,2.5_numeric_verification,,,"strip [$ , space %]; then pd.to_numeric(errors='coerce'); set dtype",,,,,,,
