col_x,col_y,cramers_v,theils_u_x_given_y,theils_u_y_given_x
Dependents,MultipleLines,0.025094016713979598,0.0005166050969973993,0.0003347660316496376
Dependents,InternetService,0.18026724788255377,0.026673963381216356,0.0153667590323658
Dependents,OnlineSecurity,0.19457924376849997,0.03112080937309179,0.018319550313005622
Dependents,OnlineBackup,0.16276014139235462,0.02141664481557832,0.012334827213719198
Dependents,DeviceProtection,0.15757010710298983,0.019960496923002797,0.011498780695816582
Dependents,TechSupport,0.18237744041561058,0.027186775167409243,0.015974230408317674
Dependents,StreamingTV,0.14708243957321443,0.01717025042276741,0.00983841024777045
Dependents,StreamingMovies,0.1413353739608838,0.015710414007293765,0.00900108818599398
Dependents,Contract,0.24421223608441336,0.04829656237611617,0.029521842854375036
Dependents,PaperlessBilling,0.11137722919364426,0.010075607150941714,0.009099023215064481
Dependents,PaymentMethod,0.15074411049283012,0.01939555507302943,0.008657731964034262
Dependents,Churn,0.16422140157972526,0.02369681451389209,0.025003949982593796
PhoneService,MultipleLines,0.9999999999999999,1.0,0.3376048811070547
PhoneService,InternetService,0.4524254899613093,0.35745196302627175,0.10728485944349683
PhoneService,OnlineSecurity,0.1762723605675485,0.08052001881895715,0.024694134707336845
PhoneService,OnlineBackup,0.1728180227250205,0.07901627808116356,0.023709599877629137
PhoneService,DeviceProtection,0.17231743005277741,0.07879618954627986,0.02364893992728866
PhoneService,TechSupport,0.17697659510424157,0.08083025657984252,0.024743562360110338
PhoneService,StreamingTV,0.18043448482833935,0.08244717170677514,0.02461217988056425
PhoneService,StreamingMovies,0.17752032784170305,0.08111230502573073,0.02421141375753021
PhoneService,Contract,0.003976117347714688,2.4889464801834342e-05,7.926269268603586e-06
PhoneService,PaperlessBilling,0.016504805732569666,0.00042599396925093483,0.00020042551935611476
PhoneService,PaymentMethod,0.010297221766590071,0.0001666156663896908,3.8747508069465934e-05
PhoneService,Churn,0.011941980029003072,0.00022686687827700873,0.0001247141603447703
MultipleLines,InternetService,0.3967257478475792,0.1761712405902899,0.15661993727879264
MultipleLines,OnlineSecurity,0.2296082852243332,0.06599345115672148,0.05994901734037065
MultipleLines,OnlineBackup,0.2451625133577186,0.07411128359428479,0.06586933423854541
MultipleLines,DeviceProtection,0.24634229842709157,0.0749473400850681,0.06662756919149979
MultipleLines,TechSupport,0.2301620412310231,0.06625718800742549,0.06007759674732821
MultipleLines,StreamingTV,0.26179145274171745,0.08272171312356416,0.0731450803389808
MultipleLines,StreamingMovies,0.2623563766827923,0.08327717088324157,0.07362929668737796
MultipleLines,Contract,0.08040766226914968,0.0068536264961651565,0.0064649471616213
MultipleLines,PaperlessBilling,0.16634063233977742,0.014846243485475889,0.020689854123120337
MultipleLines,PaymentMethod,0.1669298080382473,0.031003766016022526,0.021356676858160138
MultipleLines,Churn,0.04010925283378871,0.0008504777978588937,0.001384837883537499
InternetService,OnlineSecurity,0.7244663512387673,0.5115804069647244,0.5227368278984835
InternetService,OnlineBackup,0.7071840538053834,0.49327424254029106,0.49314580597914215
InternetService,DeviceProtection,0.7071076787208628,0.49319442028459676,0.49317819448209876
InternetService,TechSupport,0.7229044786509223,0.509902098256503,0.5200610365804069
InternetService,StreamingTV,0.7170990155772046,0.5037719331120943,0.5010574641369422
InternetService,StreamingMovies,0.7160076798944879,0.5026013976780139,0.49984614637964786
InternetService,Contract,0.2069209140289707,0.04036240225031522,0.04282619794596677
InternetService,PaperlessBilling,0.3784273654205174,0.06926771400294043,0.1085824587837928
InternetService,PaymentMethod,0.3131230023778106,0.09777925843826195,0.07576243633079299
InternetService,Churn,0.32245455521230887,0.05244106217492044,0.09604956480622742
OnlineSecurity,OnlineBackup,0.71843440495081,0.5161358138564807,0.5049887529524367
OnlineSecurity,DeviceProtection,0.7172914967880095,0.5148922924353124,0.5038867140338426
OnlineSecurity,TechSupport,0.7330711886624743,0.5319594604530273,0.530978406686388
OnlineSecurity,StreamingTV,0.7077883928176425,0.5046774177227854,0.4912451158766779
OnlineSecurity,StreamingMovies,0.70820843311728,0.5051271277762455,0.4916365405223774
OnlineSecurity,Contract,0.30134873250567035,0.09188625625641535,0.09541438953783049
OnlineSecurity,PaperlessBilling,0.3417997554251128,0.05666977173152945,0.0869382882200525
OnlineSecurity,PaymentMethod,0.3049587460138044,0.09013442642162157,0.06834845425451938
OnlineSecurity,Churn,0.3474004326740552,0.06236189990622251,0.11178256340220202
OnlineBackup,DeviceProtection,0.7191252573931048,0.5057662319437833,0.5058813116701104
OnlineBackup,TechSupport,0.7198343476353798,0.5064834844812739,0.5167088510587866
OnlineBackup,StreamingTV,0.7146992106850566,0.5010693876695302,0.49849927782406134
OnlineBackup,StreamingMovies,0.713681781452499,0.4999898037758022,0.4973783743623176
OnlineBackup,Contract,0.2585717875284732,0.06537722846517563,0.06938604185542752
OnlineBackup,PaperlessBilling,0.3210458207980537,0.04839544048940914,0.07588332603128271
OnlineBackup,PaymentMethod,0.28251664070616206,0.0774020700852783,0.05998917136929895
OnlineBackup,Churn,0.2923155121954445,0.04414280094029382,0.08087176149409053
DeviceProtection,TechSupport,0.7264853065275643,0.5137505173117378,0.5240033682856806
DeviceProtection,StreamingTV,0.7336610359551202,0.52182617290035,0.5190314982830029
DeviceProtection,StreamingMovies,0.7360474814569772,0.5245065486839924,0.5216483756853046
DeviceProtection,Contract,0.29697649313511804,0.08854041145067329,0.09394817278639583
DeviceProtection,PaperlessBilling,0.3216312457665022,0.04860164607298793,0.07618931753117708
DeviceProtection,PaymentMethod,0.28702116041733605,0.08013077166131413,0.062089877942834146
DeviceProtection,Churn,0.281579732968073,0.041439629034250906,0.07590214846583043
TechSupport,StreamingTV,0.7162664167382016,0.51289348348918,0.5001649234042133
TechSupport,StreamingMovies,0.7163266056091843,0.5129644561186253,0.5001870130752223
TechSupport,Contract,0.3310209176488737,0.11322806714283448,0.1177928933077054
TechSupport,PaperlessBilling,0.3295243087543918,0.05226790265599472,0.08033344139422229
TechSupport,PaymentMethod,0.30688837112191486,0.09098853271540391,0.06912359807192107
TechSupport,Churn,0.3429161982469257,0.06065288116902781,0.10892005186979241
StreamingTV,StreamingMovies,0.7710419124234426,0.5623841367162747,0.5623311606210056
StreamingTV,Contract,0.23590136543928766,0.053812981664619695,0.05740715195785989
StreamingTV,PaperlessBilling,0.3360606862742847,0.05326997968395847,0.08395716774924887
StreamingTV,PaymentMethod,0.2736710577877493,0.07538438001425012,0.058726618116704925
StreamingTV,Churn,0.2305023384466809,0.02994685312203642,0.055146956104604516
StreamingMovies,Contract,0.238639856353762,0.05517217952230927,0.05886267548468436
StreamingMovies,PaperlessBilling,0.3321109249335916,0.051888774633255995,0.08178799753692965
StreamingMovies,PaymentMethod,0.27465873933463103,0.07599834399999801,0.05921049144271948
StreamingMovies,Churn,0.23095080906926801,0.030031283990155096,0.055307644989832275
Contract,PaperlessBilling,0.17764521997131164,0.0157681062274661,0.02329570402674902
Contract,PaymentMethod,0.26665474765414915,0.07665794894558431,0.0559798685294836
Contract,Churn,0.4101156965761409,0.09857347854350781,0.1701576545673015
PaperlessBilling,PaymentMethod,0.2487185726719847,0.04640452184388155,0.02293710898929323
PaperlessBilling,Churn,0.1918253316664679,0.028392375398459537,0.03317392311316208
PaymentMethod,Churn,0.30335862555407056,0.032549756170640265,0.07694217675420226
