_rule,MonthlyCharges,tenure,TotalCharges,customerID,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PhoneService,MultipleLines
total_vs_monthly_times_tenure,74.75,30.0,2111.3,0191-ZHSKZ,,,,,,,,,
total_vs_monthly_times_tenure,25.9,45.0,1216.6,3887-PBQAO,,,,,,,,,
total_vs_monthly_times_tenure,75.15,7.0,496.9,9191-MYQKX,,,,,,,,,
total_vs_monthly_times_tenure,99.3,9.0,918.75,4445-ZJNMU,,,,,,,,,
total_vs_monthly_times_tenure,20.65,48.0,1057.0,1862-QRWPE,,,,,,,,,
total_vs_monthly_times_tenure,33.75,29.0,1009.25,3016-KSVCP,,,,,,,,,
total_vs_monthly_times_tenure,82.05,30.0,2570.2,4767-HZZHQ,,,,,,,,,
total_vs_monthly_times_tenure,84.0,66.0,5714.25,7233-PAHHL,,,,,,,,,
total_vs_monthly_times_tenure,100.9,72.0,7459.05,9848-JQJTX,,,,,,,,,
total_vs_monthly_times_tenure,21.05,5.0,113.85,0278-YXOOG,,,,,,,,,
total_vs_monthly_times_tenure,24.3,5.0,100.2,6180-YBIQI,,,,,,,,,
total_vs_monthly_times_tenure,104.15,72.0,7303.05,6728-DKUCO,,,,,,,,,
total_vs_monthly_times_tenure,30.15,32.0,927.65,9750-BOOHV,,,,,,,,,
total_vs_monthly_times_tenure,94.35,43.0,3921.3,8597-CWYHH,,,,,,,,,
total_vs_monthly_times_tenure,19.4,72.0,1363.25,2848-YXSMW,,,,,,,,,
total_vs_monthly_times_tenure,89.85,3.0,248.4,3071-VBYPO,,,,,,,,,
total_vs_monthly_times_tenure,100.25,10.0,1064.65,5299-RULOA,,,,,,,,,
total_vs_monthly_times_tenure,85.2,27.0,2151.6,9445-ZUEQE,,,,,,,,,
total_vs_monthly_times_tenure,20.7,6.0,112.75,2928-HLDBA,,,,,,,,,
total_vs_monthly_times_tenure,20.85,4.0,62.9,7219-TLZHO,,,,,,,,,
total_vs_monthly_times_tenure,88.95,33.0,3027.65,4622-YNKIJ,,,,,,,,,
total_vs_monthly_times_tenure,85.95,13.0,1215.65,2876-GZYZC,,,,,,,,,
total_vs_monthly_times_tenure,58.6,25.0,1502.65,6207-WIOLX,,,,,,,,,
total_vs_monthly_times_tenure,50.55,67.0,3260.1,8587-XYZSF,,,,,,,,,
total_vs_monthly_times_tenure,44.35,2.0,81.25,2372-HWUHI,,,,,,,,,
total_vs_monthly_times_tenure,25.7,43.0,1188.2,7799-LGRDP,,,,,,,,,
total_vs_monthly_times_tenure,75.0,23.0,1778.5,7850-VWJUU,,,,,,,,,
total_vs_monthly_times_tenure,19.6,57.0,1170.55,6217-KDYWC,,,,,,,,,
total_vs_monthly_times_tenure,101.05,61.0,5971.25,1095-WGNGG,,,,,,,,,
total_vs_monthly_times_tenure,23.95,71.0,1756.2,1131-QQZEB,,,,,,,,,
total_vs_monthly_times_tenure,69.5,15.0,1071.4,3466-BYAVD,,,,,,,,,
total_vs_monthly_times_tenure,108.15,70.0,7930.55,1679-JRFBR,,,,,,,,,
total_vs_monthly_times_tenure,86.1,62.0,5215.25,9073-ZZIAY,,,,,,,,,
total_vs_monthly_times_tenure,20.15,22.0,419.9,2749-CTKAJ,,,,,,,,,
total_vs_monthly_times_tenure,56.0,13.0,764.55,8992-VONJD,,,,,,,,,
total_vs_monthly_times_tenure,82.4,20.0,1592.35,0867-MKZVY,,,,,,,,,
total_vs_monthly_times_tenure,89.05,72.0,6254.45,5997-OPVFA,,,,,,,,,
total_vs_monthly_times_tenure,84.25,43.0,3539.25,7654-YWJUF,,,,,,,,,
total_vs_monthly_times_tenure,104.4,2.0,242.8,1875-QIVME,,,,,,,,,
total_vs_monthly_times_tenure,81.95,14.0,1181.75,6727-IOTLZ,,,,,,,,,
total_vs_monthly_times_tenure,24.7,34.0,780.2,1744-JHKYS,,,,,,,,,
total_vs_monthly_times_tenure,74.45,15.0,1145.7,2656-FMOKZ,,,,,,,,,
total_vs_monthly_times_tenure,76.45,7.0,503.6,2070-FNEXE,,,,,,,,,
total_vs_monthly_times_tenure,79.25,13.0,1111.65,1918-ZBFQJ,,,,,,,,,
total_vs_monthly_times_tenure,30.4,3.0,82.15,8167-GJLRN,,,,,,,,,
total_vs_monthly_times_tenure,19.65,13.0,244.8,0956-SYCWG,,,,,,,,,
total_vs_monthly_times_tenure,56.6,40.0,2379.1,8017-UVSZU,,,,,,,,,
total_vs_monthly_times_tenure,71.9,43.0,3173.35,7100-FQPRV,,,,,,,,,
total_vs_monthly_times_tenure,109.7,72.0,8129.3,9680-NIAUV,,,,,,,,,
total_vs_monthly_times_tenure,19.3,59.0,1192.7,2146-EGVDT,,,,,,,,,
total_vs_monthly_times_tenure,101.9,27.0,2681.15,9323-HGFWY,,,,,,,,,
total_vs_monthly_times_tenure,68.85,44.0,2958.95,9142-KZXOP,,,,,,,,,
total_vs_monthly_times_tenure,55.45,72.0,4179.2,6348-SNFUS,,,,,,,,,
total_vs_monthly_times_tenure,106.6,19.0,1934.45,7825-ECJRF,,,,,,,,,
total_vs_monthly_times_tenure,46.0,2.0,84.5,7841-TZDMQ,,,,,,,,,
total_vs_monthly_times_tenure,19.75,61.0,1124.2,7157-SMCFK,,,,,,,,,
total_vs_monthly_times_tenure,20.0,29.0,540.05,4709-LKHYG,,,,,,,,,
total_vs_monthly_times_tenure,58.75,57.0,3437.45,0699-NDKJM,,,,,,,,,
total_vs_monthly_times_tenure,45.25,72.0,3139.8,9286-BHDQG,,,,,,,,,
total_vs_monthly_times_tenure,84.2,65.0,5324.5,2040-LDIWQ,,,,,,,,,
total_vs_monthly_times_tenure,70.15,4.0,268.35,9408-SSNVZ,,,,,,,,,
total_vs_monthly_times_tenure,24.75,71.0,1836.9,4443-EMBNA,,,,,,,,,
total_vs_monthly_times_tenure,50.05,4.0,179.35,0742-MOABM,,,,,,,,,
total_vs_monthly_times_tenure,19.35,12.0,219.35,5961-VUSRV,,,,,,,,,
total_vs_monthly_times_tenure,50.6,24.0,1288.75,6778-JFCMK,,,,,,,,,
total_vs_monthly_times_tenure,85.3,47.0,4107.25,0945-TSONX,,,,,,,,,
total_vs_monthly_times_tenure,20.25,72.0,1566.9,7083-MIOPC,,,,,,,,,
total_vs_monthly_times_tenure,25.15,29.0,702.0,1984-GPTEH,,,,,,,,,
total_vs_monthly_times_tenure,95.0,11.0,1120.3,0094-OIFMO,,,,,,,,,
total_vs_monthly_times_tenure,19.75,16.0,284.35,9227-UAQFT,,,,,,,,,
total_vs_monthly_times_tenure,74.7,41.0,3187.65,7576-ASEJU,,,,,,,,,
total_vs_monthly_times_tenure,75.35,4.0,273.4,0221-WMXNQ,,,,,,,,,
total_vs_monthly_times_tenure,65.0,41.0,2531.8,0303-UNCIP,,,,,,,,,
total_vs_monthly_times_tenure,74.4,15.0,1074.3,9947-OTFQU,,,,,,,,,
total_vs_monthly_times_tenure,99.0,42.0,4298.45,0959-WHOKV,,,,,,,,,
total_vs_monthly_times_tenure,93.5,51.0,4619.55,4075-JFPGR,,,,,,,,,
total_vs_monthly_times_tenure,59.55,67.0,4103.9,4111-BNXIF,,,,,,,,,
total_vs_monthly_times_tenure,44.6,2.0,80.55,4959-JOSRX,,,,,,,,,
total_vs_monthly_times_tenure,45.0,29.0,1228.65,5046-NUHWD,,,,,,,,,
total_vs_monthly_times_tenure,41.15,3.0,132.2,7273-TEFQD,,,,,,,,,
total_vs_monthly_times_tenure,89.85,57.0,4925.35,7529-ZDFXI,,,,,,,,,
total_vs_monthly_times_tenure,88.1,61.0,5526.75,0123-CRBRT,,,,,,,,,
total_vs_monthly_times_tenure,24.9,50.0,1195.25,6292-TOSSS,,,,,,,,,
total_vs_monthly_times_tenure,19.35,59.0,1099.6,6323-AYBRX,,,,,,,,,
total_vs_monthly_times_tenure,85.4,5.0,401.1,6432-TWQLB,,,,,,,,,
total_vs_monthly_times_tenure,105.05,52.0,5624.85,4484-GLZOU,,,,,,,,,
total_vs_monthly_times_tenure,95.15,18.0,1779.95,9512-UIBFX,,,,,,,,,
total_vs_monthly_times_tenure,76.0,22.0,1783.6,6202-DYYFX,,,,,,,,,
total_vs_monthly_times_tenure,44.35,20.0,927.15,3808-HFKDE,,,,,,,,,
total_vs_monthly_times_tenure,76.1,24.0,1712.7,7534-BFESC,,,,,,,,,
total_vs_monthly_times_tenure,61.2,35.0,2021.2,3727-OWVYD,,,,,,,,,
total_vs_monthly_times_tenure,86.8,23.0,1940.8,2294-SALNE,,,,,,,,,
total_vs_monthly_times_tenure,89.35,6.0,567.8,4847-TAJYI,,,,,,,,,
total_vs_monthly_times_tenure,19.7,12.0,220.35,1563-IWQEX,,,,,,,,,
total_vs_monthly_times_tenure,100.8,35.0,3437.5,6851-WEFYX,,,,,,,,,
total_vs_monthly_times_tenure,95.45,4.0,396.1,8098-LLAZX,,,,,,,,,
total_vs_monthly_times_tenure,24.8,52.0,1229.1,1248-DYXUB,,,,,,,,,
total_vs_monthly_times_tenure,74.9,32.0,2303.35,0265-EDXBD,,,,,,,,,
total_vs_monthly_times_tenure,75.55,29.0,2054.4,4115-BNPJY,,,,,,,,,
total_vs_monthly_times_tenure,101.15,38.0,3741.85,3167-SNQPL,,,,,,,,,
total_vs_monthly_times_tenure,78.75,48.0,3682.45,4091-TVOCN,,,,,,,,,
total_vs_monthly_times_tenure,89.05,22.0,1886.25,7277-OZCGZ,,,,,,,,,
total_vs_monthly_times_tenure,19.9,71.0,1355.1,3973-SKMLN,,,,,,,,,
total_vs_monthly_times_tenure,82.45,54.0,4350.1,5020-ZSTTY,,,,,,,,,
total_vs_monthly_times_tenure,48.6,9.0,422.3,7102-JJVTX,,,,,,,,,
total_vs_monthly_times_tenure,102.7,52.0,5138.1,4983-CLMLV,,,,,,,,,
total_vs_monthly_times_tenure,82.9,11.0,880.05,5701-YVSVF,,,,,,,,,
total_vs_monthly_times_tenure,35.9,28.0,973.65,5697-GOMBF,,,,,,,,,
total_vs_monthly_times_tenure,82.65,17.0,1470.05,2739-CACDQ,,,,,,,,,
total_vs_monthly_times_tenure,19.85,35.0,739.35,9385-EHGDO,,,,,,,,,
total_vs_monthly_times_tenure,19.2,8.0,161.95,9498-FIMXL,,,,,,,,,
total_vs_monthly_times_tenure,75.8,68.0,5293.95,4322-RCYMT,,,,,,,,,
total_vs_monthly_times_tenure,104.6,43.0,4759.85,6680-NENYN,,,,,,,,,
total_vs_monthly_times_tenure,88.15,68.0,6148.45,2088-IEBAU,,,,,,,,,
total_vs_monthly_times_tenure,94.8,36.0,3565.65,7982-VCELR,,,,,,,,,
total_vs_monthly_times_tenure,54.65,32.0,1830.1,6035-BXTTY,,,,,,,,,
total_vs_monthly_times_tenure,85.75,71.0,6223.8,6885-PKOAM,,,,,,,,,
total_vs_monthly_times_tenure,20.5,63.0,1328.15,9639-BUJXT,,,,,,,,,
total_vs_monthly_times_tenure,20.25,41.0,865.0,5924-SNGKP,,,,,,,,,
total_vs_monthly_times_tenure,90.4,2.0,168.2,2034-GDRCN,,,,,,,,,
total_vs_monthly_times_tenure,19.45,70.0,1303.5,8966-SNIZF,,,,,,,,,
total_vs_monthly_times_tenure,44.95,23.0,996.85,6243-OZGFH,,,,,,,,,
total_vs_monthly_times_tenure,97.0,64.0,6430.9,4654-DLAMQ,,,,,,,,,
total_vs_monthly_times_tenure,44.6,17.0,681.4,5160-UXJED,,,,,,,,,
total_vs_monthly_times_tenure,89.15,7.0,574.35,4115-NZRKS,,,,,,,,,
total_vs_monthly_times_tenure,84.8,4.0,371.9,0219-YTZUE,,,,,,,,,
total_vs_monthly_times_tenure,41.9,21.0,840.1,0623-IIHUG,,,,,,,,,
total_vs_monthly_times_tenure,80.25,10.0,846.0,4572-DVCGN,,,,,,,,,
total_vs_monthly_times_tenure,54.1,16.0,889.0,3351-NGXYI,,,,,,,,,
total_vs_monthly_times_tenure,30.75,27.0,805.1,9057-MSWCO,,,,,,,,,
total_vs_monthly_times_tenure,20.2,5.0,83.75,9294-TDIPC,,,,,,,,,
total_vs_monthly_times_tenure,98.8,41.0,3959.15,5229-DTFYB,,,,,,,,,
total_vs_monthly_times_tenure,85.65,2.0,181.5,0259-GBZSH,,,,,,,,,
total_vs_monthly_times_tenure,35.75,24.0,830.8,6122-EFVKN,,,,,,,,,
total_vs_monthly_times_tenure,96.1,37.0,3646.8,6862-CQUMB,,,,,,,,,
total_vs_monthly_times_tenure,89.65,61.0,5308.7,2863-IMQDR,,,,,,,,,
total_vs_monthly_times_tenure,86.75,17.0,1410.25,5686-CMAWK,,,,,,,,,
total_vs_monthly_times_tenure,86.2,41.0,3339.05,5651-CRHKQ,,,,,,,,,
total_vs_monthly_times_tenure,108.1,48.0,5067.45,6583-SZVGP,,,,,,,,,
total_vs_monthly_times_tenure,85.45,55.0,4874.7,0533-BNWKF,,,,,,,,,
total_vs_monthly_times_tenure,90.4,44.0,4063.0,8782-LKFPK,,,,,,,,,
total_vs_monthly_times_tenure,20.05,23.0,415.1,5876-QMYLD,,,,,,,,,
total_vs_monthly_times_tenure,20.05,11.0,237.7,9442-JTWDL,,,,,,,,,
total_vs_monthly_times_tenure,99.45,69.0,7007.6,0979-PHULV,,,,,,,,,
total_vs_monthly_times_tenure,19.7,20.0,419.4,5495-GPSRW,,,,,,,,,
total_vs_monthly_times_tenure,19.8,72.0,1468.75,7606-BPHHN,,,,,,,,,
total_vs_monthly_times_tenure,93.95,32.0,2861.45,0111-KLBQG,,,,,,,,,
total_vs_monthly_times_tenure,81.35,3.0,233.7,0334-GDDSO,,,,,,,,,
total_vs_monthly_times_tenure,24.45,46.0,1066.15,4163-NCJAK,,,,,,,,,
total_vs_monthly_times_tenure,70.65,48.0,3545.05,1996-DBMUS,,,,,,,,,
total_vs_monthly_times_tenure,24.8,40.0,1024.7,5249-QYHEX,,,,,,,,,
total_vs_monthly_times_tenure,24.3,5.0,132.25,2233-FAGXV,,,,,,,,,
total_vs_monthly_times_tenure,69.85,7.0,515.45,5605-IYGFG,,,,,,,,,
total_vs_monthly_times_tenure,100.55,29.0,2830.45,7663-ZTEGJ,,,,,,,,,
total_vs_monthly_times_tenure,40.7,10.0,449.3,8111-BKVDS,,,,,,,,,
total_vs_monthly_times_tenure,75.6,18.0,1395.05,4360-PNRQB,,,,,,,,,
total_vs_monthly_times_tenure,53.45,2.0,119.5,2181-UAESM,,,,,,,,,
total_vs_monthly_times_tenure,45.4,12.0,518.9,2957-LOLHO,,,,,,,,,
total_vs_monthly_times_tenure,19.75,41.0,899.45,6048-NJXHX,,,,,,,,,
total_vs_monthly_times_tenure,20.85,36.0,720.05,4980-URKXC,,,,,,,,,
total_vs_monthly_times_tenure,114.05,72.0,8468.2,4376-KFVRS,,,,,,,,,
total_vs_monthly_times_tenure,112.95,16.0,1882.55,0771-WLCLA,,,,,,,,,
total_vs_monthly_times_tenure,114.65,54.0,6049.5,0206-TBWLC,,,,,,,,,
total_vs_monthly_times_tenure,25.05,52.0,1270.25,0732-OCQOC,,,,,,,,,
total_vs_monthly_times_tenure,24.7,64.0,1642.75,8592-PLTMQ,,,,,,,,,
total_vs_monthly_times_tenure,24.4,61.0,1417.9,4785-FCIFB,,,,,,,,,
total_vs_monthly_times_tenure,92.9,28.0,2768.35,5149-CUZUJ,,,,,,,,,
total_vs_monthly_times_tenure,80.8,30.0,2369.3,0942-KOWSM,,,,,,,,,
total_vs_monthly_times_tenure,19.65,6.0,100.9,4719-UMSIY,,,,,,,,,
total_vs_monthly_times_tenure,69.45,24.0,1614.05,6614-VBEGU,,,,,,,,,
total_vs_monthly_times_tenure,101.15,4.0,385.9,0880-TKATG,,,,,,,,,
total_vs_monthly_times_tenure,99.8,7.0,673.25,3811-VBYBZ,,,,,,,,,
total_vs_monthly_times_tenure,20.65,17.0,330.6,4933-IKULF,,,,,,,,,
total_vs_monthly_times_tenure,70.05,9.0,564.4,1304-BCCFO,,,,,,,,,
total_vs_monthly_times_tenure,80.25,24.0,1861.5,2359-KMGLI,,,,,,,,,
total_vs_monthly_times_tenure,76.05,35.0,2747.2,3780-DDGSE,,,,,,,,,
total_vs_monthly_times_tenure,75.7,7.0,554.05,4431-EDMIQ,,,,,,,,,
total_vs_monthly_times_tenure,96.1,5.0,453.4,0306-JAELE,,,,,,,,,
total_vs_monthly_times_tenure,69.0,15.0,994.8,6227-HWPWX,,,,,,,,,
total_vs_monthly_times_tenure,19.65,11.0,225.75,0486-LGCCH,,,,,,,,,
total_vs_monthly_times_tenure,81.45,20.0,1671.6,4612-SSVHJ,,,,,,,,,
total_vs_monthly_times_tenure,108.5,72.0,8003.8,5168-MQQCA,,,,,,,,,
total_vs_monthly_times_tenure,100.15,15.0,1415.0,9094-AZPHK,,,,,,,,,
total_vs_monthly_times_tenure,88.6,72.0,6201.95,3649-JPUGY,,,,,,,,,
total_vs_monthly_times_tenure,74.4,2.0,139.4,0388-EOPEX,,,,,,,,,
total_vs_monthly_times_tenure,43.75,22.0,903.6,8205-OTCHB,,,,,,,,,
total_vs_monthly_times_tenure,60.9,28.0,1785.65,4134-BSXLX,,,,,,,,,
total_vs_monthly_times_tenure,28.45,5.0,131.05,6235-VDHOM,,,,,,,,,
total_vs_monthly_times_tenure,99.7,12.0,1238.45,7783-YKGDV,,,,,,,,,
total_vs_monthly_times_tenure,94.1,20.0,1782.4,5609-CEBID,,,,,,,,,
total_vs_monthly_times_tenure,94.2,2.0,167.5,7218-HKQFK,,,,,,,,,
total_vs_monthly_times_tenure,80.5,6.0,502.85,4636-QRJKY,,,,,,,,,
total_vs_monthly_times_tenure,94.3,20.0,1818.3,4332-MUOEZ,,,,,,,,,
total_vs_monthly_times_tenure,106.45,61.0,6300.15,8535-SFUTN,,,,,,,,,
total_vs_monthly_times_tenure,74.35,5.0,334.8,5956-VKDTT,,,,,,,,,
total_vs_monthly_times_tenure,70.05,5.0,302.6,6705-LXORM,,,,,,,,,
total_vs_monthly_times_tenure,75.2,27.0,1929.35,0257-ZESQC,,,,,,,,,
total_vs_monthly_times_tenure,20.05,12.0,265.45,7531-GQHME,,,,,,,,,
total_vs_monthly_times_tenure,51.6,29.0,1442.0,4109-CYRBD,,,,,,,,,
total_vs_monthly_times_tenure,100.05,34.0,3480.0,8397-MVTAZ,,,,,,,,,
total_vs_monthly_times_tenure,21.1,24.0,490.65,8067-NIOYM,,,,,,,,,
total_vs_monthly_times_tenure,20.05,70.0,1360.25,1403-GYAFU,,,,,,,,,
total_vs_monthly_times_tenure,79.95,2.0,174.45,4234-XTNEA,,,,,,,,,
total_vs_monthly_times_tenure,89.55,12.0,1021.75,5348-CAGXB,,,,,,,,,
total_vs_monthly_times_tenure,81.55,63.0,5029.05,0621-HJWXJ,,,,,,,,,
total_vs_monthly_times_tenure,95.65,69.0,6744.2,8905-IAZPF,,,,,,,,,
total_vs_monthly_times_tenure,80.6,60.0,4946.7,5394-MEITZ,,,,,,,,,
total_vs_monthly_times_tenure,58.95,11.0,601.6,2782-LFZVW,,,,,,,,,
total_vs_monthly_times_tenure,86.05,10.0,834.1,1342-JPNKI,,,,,,,,,
total_vs_monthly_times_tenure,86.3,39.0,3266.0,6986-IJDHX,,,,,,,,,
total_vs_monthly_times_tenure,101.9,50.0,5265.5,4676-MQUEA,,,,,,,,,
total_vs_monthly_times_tenure,19.75,15.0,311.6,8138-EALND,,,,,,,,,
total_vs_monthly_times_tenure,19.35,55.0,1153.25,2075-PUEPR,,,,,,,,,
total_vs_monthly_times_tenure,25.6,23.0,514.75,1982-FEBTD,,,,,,,,,
total_vs_monthly_times_tenure,23.6,3.0,89.05,7343-EOBEU,,,,,,,,,
total_vs_monthly_times_tenure,69.7,7.0,516.15,3701-SFMUH,,,,,,,,,
total_vs_monthly_times_tenure,101.9,15.0,1667.25,6967-QIQRV,,,,,,,,,
total_vs_monthly_times_tenure,73.5,71.0,5357.75,5781-RFZRP,,,,,,,,,
total_vs_monthly_times_tenure,40.4,11.0,422.6,0308-IVGOK,,,,,,,,,
total_vs_monthly_times_tenure,19.25,60.0,1103.25,7293-LSCDV,,,,,,,,,
total_vs_monthly_times_tenure,110.85,28.0,3204.4,6030-REHUX,,,,,,,,,
total_vs_monthly_times_tenure,81.05,61.0,4747.65,9548-LIGTA,,,,,,,,,
total_vs_monthly_times_tenure,70.5,9.0,597.9,8270-RKSAP,,,,,,,,,
total_vs_monthly_times_tenure,20.1,5.0,85.1,8752-IMQOS,,,,,,,,,
total_vs_monthly_times_tenure,99.15,72.0,7422.1,0742-LAFQK,,,,,,,,,
total_vs_monthly_times_tenure,90.4,71.0,6668.05,0795-LAFGP,,,,,,,,,
total_vs_monthly_times_tenure,24.9,46.0,1174.8,5512-IDZEI,,,,,,,,,
total_vs_monthly_times_tenure,83.5,63.0,5435.0,0459-SPZHJ,,,,,,,,,
total_vs_monthly_times_tenure,84.3,30.0,2438.6,0215-BQKGS,,,,,,,,,
total_vs_monthly_times_tenure,61.65,12.0,713.75,0719-SYFRB,,,,,,,,,
total_vs_monthly_times_tenure,54.85,16.0,916.15,8208-EUMTE,,,,,,,,,
total_vs_monthly_times_tenure,65.55,4.0,237.2,5172-MIGPM,,,,,,,,,
total_vs_monthly_times_tenure,20.4,65.0,1414.45,0374-FIUCA,,,,,,,,,
total_vs_monthly_times_tenure,19.95,2.0,47.7,5173-ZXXXL,,,,,,,,,
total_vs_monthly_times_tenure,109.55,32.0,3608.0,2731-GJRDG,,,,,,,,,
total_vs_monthly_times_tenure,86.65,72.0,6094.25,4723-BEGSG,,,,,,,,,
total_vs_monthly_times_tenure,47.85,51.0,2356.75,8672-OAUPW,,,,,,,,,
total_vs_monthly_times_tenure,29.95,9.0,248.95,6543-CPZMK,,,,,,,,,
total_vs_monthly_times_tenure,65.0,9.0,663.05,4765-OXPPD,,,,,,,,,
total_vs_monthly_times_tenure,48.85,15.0,631.4,9396-ZSFLL,,,,,,,,,
total_vs_monthly_times_tenure,25.25,8.0,186.3,6464-KEXXH,,,,,,,,,
total_vs_monthly_times_tenure,102.85,66.0,6976.75,7134-MJPDY,,,,,,,,,
total_vs_monthly_times_tenure,87.55,57.0,4884.85,5240-CAOYT,,,,,,,,,
total_vs_monthly_times_tenure,78.55,7.0,522.95,4059-IIEBK,,,,,,,,,
total_vs_monthly_times_tenure,34.55,10.0,362.6,4881-JVQOD,,,,,,,,,
total_vs_monthly_times_tenure,19.7,20.0,406.95,5148-HKFIR,,,,,,,,,
total_vs_monthly_times_tenure,90.05,49.0,4547.25,4554-YGZIH,,,,,,,,,
total_vs_monthly_times_tenure,55.0,46.0,2473.95,9931-KGHOA,,,,,,,,,
total_vs_monthly_times_tenure,20.35,10.0,176.3,7665-VIGUD,,,,,,,,,
total_vs_monthly_times_tenure,54.55,40.0,2236.2,9411-TPQQV,,,,,,,,,
total_vs_monthly_times_tenure,25.4,68.0,1620.2,9574-BOSMD,,,,,,,,,
total_vs_monthly_times_tenure,56.15,43.0,2499.3,4580-TMHJU,,,,,,,,,
total_vs_monthly_times_tenure,89.85,49.0,4287.2,4908-XAXAY,,,,,,,,,
total_vs_monthly_times_tenure,25.25,15.0,394.85,8404-VLQFB,,,,,,,,,
total_vs_monthly_times_tenure,89.5,2.0,161.5,5644-PDMZC,,,,,,,,,
total_vs_monthly_times_tenure,70.0,24.0,1732.6,3509-GWQGF,,,,,,,,,
total_vs_monthly_times_tenure,69.55,3.0,222.3,9576-ANLXO,,,,,,,,,
total_vs_monthly_times_tenure,20.1,35.0,655.3,5845-BZZIB,,,,,,,,,
total_vs_monthly_times_tenure,24.8,17.0,475.25,1140-UKVZG,,,,,,,,,
total_vs_monthly_times_tenure,95.1,10.0,865.1,5183-SNMJQ,,,,,,,,,
total_vs_monthly_times_tenure,20.35,37.0,697.65,2085-JVGAD,,,,,,,,,
total_vs_monthly_times_tenure,45.25,10.0,428.7,8095-WANWK,,,,,,,,,
total_vs_monthly_times_tenure,19.5,57.0,1167.6,8755-OGKNA,,,,,,,,,
total_vs_monthly_times_tenure,74.75,3.0,238.1,2800-VEQXM,,,,,,,,,
total_vs_monthly_times_tenure,24.85,22.0,493.4,9092-GDZKO,,,,,,,,,
total_vs_monthly_times_tenure,34.7,2.0,62.25,0822-GAVAP,,,,,,,,,
total_vs_monthly_times_tenure,81.4,45.0,3775.85,2826-UWHIS,,,,,,,,,
