feature_1,feature_2,method,correlation_value
TotalCharges,expected_min_total_from_contract,spearman,0.6048596626891911
TotalCharges,expected_total_senior,spearman,0.9996161973730436
TotalCharges,expected_total_from_payment_profile,spearman,0.9976240232204451
TotalCharges,total_charges_per_month,spearman,0.6348203328465489
expected_total_from_tenure_monthly,expected_total_from_tenure_monthly,spearman,1.0
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,spearman,
expected_total_from_tenure_monthly,expected_min_total_from_contract,spearman,0.6018847248118582
expected_total_from_tenure_monthly,expected_total_senior,spearman,0.9999988760201978
expected_total_from_tenure_monthly,expected_total_from_payment_profile,spearman,1.0
expected_total_from_tenure_monthly,total_charges_per_month,spearman,0.6266063066019751
expected_total_for_zero_tenure,expected_total_for_zero_tenure,spearman,
expected_total_for_zero_tenure,expected_min_total_from_contract,spearman,
expected_total_for_zero_tenure,expected_total_senior,spearman,
expected_total_for_zero_tenure,expected_total_from_payment_profile,spearman,
expected_total_for_zero_tenure,total_charges_per_month,spearman,
expected_min_total_from_contract,expected_min_total_from_contract,spearman,1.0
expected_min_total_from_contract,expected_total_senior,spearman,0.5847515746682719
expected_min_total_from_contract,expected_total_from_payment_profile,spearman,0.6018847248118582
expected_min_total_from_contract,total_charges_per_month,spearman,0.2062737979939504
expected_total_senior,expected_total_senior,spearman,1.0
expected_total_senior,expected_total_from_payment_profile,spearman,0.9999988760201978
expected_total_senior,total_charges_per_month,spearman,0.6186843006991974
expected_total_from_payment_profile,expected_total_from_payment_profile,spearman,1.0
expected_total_from_payment_profile,total_charges_per_month,spearman,0.6266063066019751
total_charges_per_month,total_charges_per_month,spearman,1.0
tenure,tenure,kendall,1.0
tenure,MonthlyCharges,kendall,0.19055138228553958
tenure,TotalCharges,kendall,0.7321477624062788
tenure,expected_total_from_tenure_monthly,kendall,0.7360556339599179
tenure,expected_total_for_zero_tenure,kendall,
tenure,expected_min_total_from_contract,kendall,0.5123026744070098
tenure,expected_total_senior,kendall,0.810675255303996
tenure,expected_total_from_payment_profile,kendall,0.7360556339599179
tenure,total_charges_per_month,kendall,0.183271639072081
MonthlyCharges,MonthlyCharges,kendall,1.0
MonthlyCharges,TotalCharges,kendall,0.4593906293374497
MonthlyCharges,expected_total_from_tenure_monthly,kendall,0.46080512580464145
MonthlyCharges,expected_total_for_zero_tenure,kendall,
MonthlyCharges,expected_min_total_from_contract,kendall,0.21472198714262425
MonthlyCharges,expected_total_senior,kendall,0.4495318151015021
MonthlyCharges,expected_total_from_payment_profile,kendall,0.46080512580464145
MonthlyCharges,total_charges_per_month,kendall,0.9220437185618763
TotalCharges,TotalCharges,kendall,1.0
TotalCharges,expected_total_from_tenure_monthly,kendall,0.9803695437219265
TotalCharges,expected_total_for_zero_tenure,kendall,
TotalCharges,expected_min_total_from_contract,kendall,0.49139157820353324
TotalCharges,expected_total_senior,kendall,0.983797776198972
TotalCharges,expected_total_from_payment_profile,kendall,0.9803695437219265
TotalCharges,total_charges_per_month,kendall,0.4573127047895266
expected_total_from_tenure_monthly,expected_total_from_tenure_monthly,kendall,1.0
expected_total_from_tenure_monthly,expected_total_for_zero_tenure,kendall,
expected_total_from_tenure_monthly,expected_min_total_from_contract,kendall,0.4886766079980022
expected_total_from_tenure_monthly,expected_total_senior,kendall,0.999920935906306
expected_total_from_tenure_monthly,expected_total_from_payment_profile,kendall,1.0
expected_total_from_tenure_monthly,total_charges_per_month,kendall,0.4514324150101366
expected_total_for_zero_tenure,expected_total_for_zero_tenure,kendall,
expected_total_for_zero_tenure,expected_min_total_from_contract,kendall,
expected_total_for_zero_tenure,expected_total_senior,kendall,
expected_total_for_zero_tenure,expected_total_from_payment_profile,kendall,
expected_total_for_zero_tenure,total_charges_per_month,kendall,
expected_min_total_from_contract,expected_min_total_from_contract,kendall,1.0
expected_min_total_from_contract,expected_total_senior,kendall,0.4758403698659211
expected_min_total_from_contract,expected_total_from_payment_profile,kendall,0.4886766079980022
expected_min_total_from_contract,total_charges_per_month,kendall,0.1975010397922848
expected_total_senior,expected_total_senior,kendall,1.0
expected_total_senior,expected_total_from_payment_profile,kendall,0.999920935906306
expected_total_senior,total_charges_per_month,kendall,0.4407562865402219
expected_total_from_payment_profile,expected_total_from_payment_profile,kendall,1.0
expected_total_from_payment_profile,total_charges_per_month,kendall,0.4514324150101366
total_charges_per_month,total_charges_per_month,kendall,1.0
