column,rule,value,count,note
TotalCharges,rare_level,2570.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,529.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,69.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,130.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,151.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,82.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2254.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,85.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,44.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,46.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,3496.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,70.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1714.95,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,989.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,5714.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,44.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,135.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,74.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2497.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,118.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,94.4,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,96.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,52.0,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,25.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,93.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,664.4,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1025.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,835.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2151.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,238.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,42.9,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,229.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,25.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,79.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,45.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1493.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,45.4,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,3756.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,78.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,70.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2180.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,280.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,71.0,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1873.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,867.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1201.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,246.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,347.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,4858.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,45.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,854.9,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1060.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,592.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,74.4,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,262.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,259.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,45.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,816.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,260.9,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,564.35,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,20.95,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1077.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,482.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,113.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,3297.0,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,19.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,3645.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,33.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,161.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,3132.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,69.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,7334.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,77.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,294.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,683.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2640.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,777.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2651.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,63.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,90.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1672.35,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,25.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,330.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,253.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,487.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,5597.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,503.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,581.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,340.35,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,74.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1443.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,587.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1110.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,50.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,849.9,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2560.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,43.95,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,184.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,498.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,50.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,348.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2032.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,44.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,4528.0,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,155.35,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,69.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,467.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,71.35,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,20.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,24.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,128.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,41.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,5731.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,223.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,96.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,93.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,576.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,75.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,144.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,90.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,288.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,49.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,256.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1706.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,70.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,45.95,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,45.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,402.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1885.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1381.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2661.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,57.4,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,71.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,477.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,5969.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,69.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,163.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,318.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,99.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,264.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,84.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,61.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1139.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,134.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1463.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1305.95,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,69.4,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,84.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,273.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1183.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,3187.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,91.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,300.4,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,55.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1008.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,51.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1235.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,316.9,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,654.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,147.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,193.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,235.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,343.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,553.0,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,69.35,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,620.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,246.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2440.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,49.95,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,25.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,25.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,181.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,76.35,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,202.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,3533.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,4370.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,45.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,987.95,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,4017.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,740.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1149.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,49.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,494.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,844.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,340.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,669.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,18.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,196.9,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1161.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,144.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,505.95,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1046.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,729.95,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1167.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,70.0,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,162.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,268.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,86.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,469.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,90.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,60.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,245.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1672.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,382.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,434.5,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2404.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,5682.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1782.0,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1043.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,2104.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,307.4,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,50.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,202.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,372.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,151.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,178.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1058.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1174.35,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,355.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,143.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,475.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,415.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,275.7,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,515.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,92.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,33.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,168.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,20.65,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,3729.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,91.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,20.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,71.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,493.4,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,145.15,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,74.45,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,926.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,53.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,48.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1620.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,137.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,511.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,522.95,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,3418.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,45.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,85.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,470.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,601.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,460.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,727.8,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1782.4,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,131.05,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1130.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,184.4,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,55.0,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,75.1,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1642.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,167.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,858.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,69.2,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,19.6,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,398.55,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1468.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,89.3,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1218.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,214.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,90.85,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,1410.25,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,83.75,2,prop=0.0003 < 0.0050
TotalCharges,rare_level,3959.15,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,2878.55,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,945.7,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,1373.05,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,492.55,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,1406.0,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,19.15,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,6962.85,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,8126.65,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,690.25,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,181.5,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,830.8,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,5608.4,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,3646.8,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,3662.25,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,25.35,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,2566.5,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,5308.7,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,4016.75,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,3339.05,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,50.65,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,4732.35,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,805.1,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,5067.45,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,6823.4,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,4874.7,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,2348.45,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,4063.0,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,889.0,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,2595.25,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,2309.55,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,846.0,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,367.55,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,3944.5,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,5965.95,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,3694.7,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,2524.45,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,1803.7,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,415.1,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,624.15,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,237.7,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,7007.6,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,3848.8,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,419.4,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,840.1,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,5812.0,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,2861.45,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,371.9,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,574.35,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,233.7,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,1066.15,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,2149.05,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,4473.0,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,3545.05,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,1195.75,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,6858.9,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,1024.7,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,1845.9,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,681.4,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,132.25,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,515.45,1,prop=0.0001 < 0.0050
TotalCharges,rare_level,2830.45,1,prop=0.0001 < 0.0050
